variable_name,description,label,datatype,value_constraints,units,required,unique,CDE,form_name
internal id,Identifier for the participant to whom the rest of the data belongs,,string,,,true,TRUE,Identity,
cohort,Participant's Cohort Group of 1; 2; 3; 4; 5,,categorical,"1, 1; 2, 2; 3, 3; 4, 4; 5, 5",,true,,,
pcr test positive,Participant's PCR test results,,categorical,"0, No; 1, Yes",,false,,,
pcr test date_deid,Number of days from day of Consent when PCR Test Occurred,,integer,De-identified Value in Days,days,false,,,
consent submission date_deid,This is considered as day 0 for all DEID dates,,integer,De-identified Value in Days,days,true,,,
29789-consent_18yrs,Eligibility age of 18 or older,How old are you?,categorical,"1, I am 18 or older; 2, I am under the age of 18",,true,,,Consent
29790-consent_applies,COVID related eligibility,Which of the following statements below best applies to you?,categorical,"1, I know I have recently been exposed to COVID-19 (in the last 14 days) or I am COVID Positive; 2, I have COVID-19 symptoms (things like sore throat, fever, cough, loss of smell or taste) or I am COVID Positive; 3, I have not been exposed to COVID-19 and I do not have any COVID-19 symptoms; 4, None of these descriptions apply to me",,true,,,Consent
32985-consent_applies_cohort4,(Cohort 4 only) Demographics eligibility,What is your race?,categorical,"1, White; 2, Black or African American; 3, Asian; 4, American Indian or Alaska Native; 5, Other; 6, None of the Above; 7, Prefer not to answer",,true,,,Consent
29791-consent_english,English eligibility,Are you able to provide written consent in English?,categorical,"1, Yes; 2, No",,true,,,Consent
29792-consent_covid+,COVID related testing eligibility,Have you tested Positive for COVID-19 in the last 30 days?,categorical,"1, Yes; 2, No",,true,,,Consent
29793-consent_location,Site visit eligibility,"Will you be within the greater Richmond, VA area for the next 10 days?",categorical,"1, Yes; 2, No",,true,,,Consent
29794-consent_noeligble,"Ineligible, research follow-up opt-in",Based on the responses you have provided you are not eligible to be in this study. Would you like to be contacted for future research studies?,categorical,"1, Please contact me for future research studies.; 2, Please do not contact me for future research studies.",,true,,,Consent
32795-future_researchname,Participant Name for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your name:",text,,,true,,,Consent
32797-future_researchphone,Participant Phone number for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your phone number:",text,,,true,,,Consent
32799-future_researchemail,Participant Email for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your email address:",text,,,true,,,Consent
34683-consent_invited,Invited by Research Staff member,Have you been invited by study staff to participate in an in-person observation appointment?,categorical,"1, Yes; 2, No",,true,,,Consent
34684-consent_travel,Willingness to travel for observation,Are you willing to travel to VCU to complete an in-person observation appointment (about 2 hours long)?,categorical,"1, Yes; 2, No",,true,,,Consent
29826-storage_permission,Storage permission,I agree that my data may be stored and used for future research as described earlier.,categorical,"1, Yes; 2, No",,true,,,Consent
29829-consent,Consent/Agreement by participant,"If you select the ""Yes, I consent/agree to participate..."" option then you are indicating the following: You have read and you understand this consent and any questions you may have had were answered to your satisfaction. You freely consent to participate in this study and give your permission to have your data used as described in this consent.",categorical,"1, YES, I consent/agree to participate in the COVID-CARE study and give the VCU my permission to use my data as described in this consent.; 2, NO, I decline to participate in the COVID-CARE study.",,true,,,Consent
shipment confirmation submission date_deid,"Number of days from day of Consent when Participant completed survey forms ""Confirm Your Shipping Address""",,integer,De-identified Value in Days,days,false,,,
32730-howreceive,How should at-home test kits be delivered to participant,Please let us know how you would like to receive your at-home COVID-19 test kit. There is no cost to you.,categorical,"1, Deliver to me; 2, I will pick-up from VCU; 3, Hospitalized at VCUHS – deliver to room",,true,,,Confirm Your Shipping Address
29858-shipping_placement,Where should at-home test kits be left for the participant,Where should we leave the kit? (Please wear a mask if you plan to meet the delivery driver),categorical,"1, At my front door; 2, With a front desk; 3, Call me when you get here; 4, Other",,true,,,Confirm Your Shipping Address
