variable_name,datatype,label,value_constraints
id_participant_external,string,Participant identifier,
demog__zipcodes,string,,
demog__gender,string,,"['male', 'female', 'other', None, nan]"
demog__age,double,,
demog__have_children,double,,"[nan, False, True]"
demog__education,string,,"[nan, ""college graduate, associate or bachelor's degree"", 'graduate degree', 'some college, no degree', 'doctorate degree, md', 'high school graduate, diploma or the equivalent (for example, ged)', 'trade/technical/vocational training', 'did not finish high school, no diploma', 'doctorate degree', ""i'd prefer not to answer""]"
demog__relationship_status,string,,"[nan, 'single, never married', 'divorced', 'married', 'single, but cohabiting with a significant other', 'separated', 'in a domestic partnership or civil union', 'widowed', ""i'd prefer not to answer""]"
demog__weight,double,,
demog__height_inches,double,,
demog__race,string,,"[nan, 'prefer not to answer', 'white / caucasian', 'black or african american', 'american indian or alaskan native', 'asian or pacific islander', 'hispanic or latino']"
demog__bmi,double,,
