variable_name,description,datatype,value_constraints
immunizationdate,The date and time vaccine was administered.,string,ISO 8601 date-time format
administered-by,"The EHR,Pharmacy or Lab administering the vaccine",string,"32 bytes ASCII "
valid-dose-count,Total Series of Doses needed,string,32 bytes ASCII Alpha
vaccineproduct,This identifies the vaccine substance administered - CVX codes.,string,
vaccinemanufacturer,"Marketing Authorization Holder - if no MAH present, then manufacturer",string,32 bytes ASCII Alpha
vaccineshortdescription,Description of vaccine from CVX,string,2 bytes ASCII Alpha
countryofvaccination,Country of vaccination,string,32 bytes ASCII Alpha
series-completion-date,Date time when vaccination dosage was completed,integer,Epoch Time
vaccine-group-name,Group name for vaccines in this dictionary,string,Covid
vaccinecodesystem,System encoding vaccine product administered,string,"256 bytes ASCII "
vaccinecode,Code for vaccine product administered,string,"256 bytes ASCII "
record-request-date,The date and time at which the C2G system received request for results,string,ISO 8601 date-time format
record-receive-date,The date and time at which the C2G system receive this result,string,ISO 8601 date-time format
