Variable Name,Description,Prompt,Data Type,Permissible Values
record_id,Unique Identifier,Record ID,text,
current_age,Age of participant,5.1 Current Age (years),text,
gender,Gender of participant,7. Gender,dropdown,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me | 5, Prefer not to answer"
race,Race of participant,8. Race,dropdown,"1, American Indian/Alaskan Native | 2, Asian | 3, Black/African American | 4, Native Hawaiian/Pacific Islander | 5, White | 6, Other | 7, Unknown | 8, Prefers not to identify"
ethnicity,Ethnicity of participant,9. Ethnicity,dropdown,"1, Hispanic/Latino | 2, Not Hispanic/Latino | 3, Unknown | 4, Prefers not to identify"
height,Height of participant,10. Height (inches),text,
weight,Weight of participant,11. Weight (lbs),text,
bmi,BMI of participant,"12. BMI


",calc,([weight]/([height]*[height]))*703
education,Education of participant,"What is the highest grade or level of school you have completed or the highest degree you have received? (ENTER HIGHEST LEVEL OF SCHOOL)
",dropdown,"0, NEVER ATTENDED/KINDERGARTEN Only | 1, 1ST GRADE | 2, 2ND GRADE | 3, 3RD GRADE | 4, 4TH GRADE | 5, 5TH GRADE | 6, 6TH GRADE | 7, 7TH GRADE | 8, 8TH GRADE | 9, 9TH GRADE | 10, 10TH GRADE | 11, 11TH GRADE | 12, 12TH GRADE, NO DIPLOMA | 13, HIGH SCHOOL GRADUATE | 14, GED OR EQUIVALENT | 15, SOME COLLEGE, NO DEGR | 16, ASSOCIATE DEGREE: OCUPATIONAL, TECHNICAL, OR VOCATIONAL PROGRAM | 17, ASSOCIATE DEGREE: ACADEMIC PROGRAM | 18, BACHELOR'S DEGREE (EXAMPLE: BA, AB, BS, BBA) | 19, MASTER'S DEGREE (EXAMPLE: MA, MS, Meng, Med, MBA) | 20, PROFESSIONAL SCHOOL DEGREE (EXAMPLE: MD, DDS, DVM, JD) | 21, DOCTORAL DEGREE (EXAMPLE: PhD, EdD) | 22, REFUSED | 99, DON'T KNOW"
housing,Housing of participant,What type of housing do you live in?,radio,"1, Detached House | 2, Duplex/Triplex | 3, Row House | 4, Low rise housing (1-3 floors) | 5, High rise housing (>3 floors) | 6, Mobile home/trailer | 7, Boat, RV, Van, etc. | 8, Other | 9, Prefer not to answer | 10, Don't know"
