Variable name,Human-readable description [Formal definitions taken from Official Garmin API Documentation),Data Type
id_participant_external,Participant external identifier,String
dt,Evidation based date of record,Date
calendarDate,"The calendar date this summary would be displayed on in Garmin Connect. The date format is ‚ ""yyyy-mm-dd""",String
durationInSeconds,The duration of the measurement period in seconds.,Long
startTimeInSeconds,"Start time of the summary in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).",Long
startTimeOffsetInSeconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data.",Long
timeOffsetBodyBatteryValues[map].key,Collection of mappings between offset from start time (in seconds) to a body battery value recorded for that time. Information on and a list of devices that support Body Battery are available here: https://support.garmin.com/ms-MY/?faq=2qczgfbN00AIMJbX33dRq9 .,Map
timeOffsetBodyBatteryValues[map].value,Collection of mappings between offset from start time (in seconds) to a body battery value recorded for that time. Information on and a list of devices that support Body Battery are available here: https://support.garmin.com/ms-MY/?faq=2qczgfbN00AIMJbX33dRq9 .,Map
timeOffsetStressLevelValues[map].key,Collection of mappings between offset from start time (in seconds) to a stress level value recorded for that time.,Map
timeOffsetStressLevelValues[map].value,Collection of mappings between offset from start time (in seconds) to a stress level value recorded for that time.,Map
