Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Unit,CDE Reference
sample_id,Sample,text,Unique identifier for a spiked (contrived) sample,,,,RADx-rad DCC
sample_group,Sample,text,Unique identifier for a grouping of samples or runs,,,,RADx-rad DCC
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,RADx-rad Minimum CDE
cohort_id,Clinical,text,Identifier for groups of patients,,,,RADx-rad DCC
protocol_id,Technology Metadata,text,Unique name or identifier for biosensor protocol,,example: ddPCR_SARS-CoV-2,,RADx-rad DCC
technology_platform,Technology Metadata,text,Abbreviation or short label for technology,,example: ddPCR,,RADx-rad DCC
analyte_type,Technology Metadata,list,Type of analyte(s) or target(s) to be detected,antigen|viral RNA|virus|antibody|human IgA|human RBD IgA|human IgG|human RBD IgG|human IgM|human RBD IM| neutralizing antibody|EV RNA | VOC,example: virus,,RADx-rad DCC
voc_specimen_type,VOC,category,Specimen type from which VOC was collected,Breath | Skin | Hand odor,,,RADx-rad DCC
voc_compound_name,VOC,text,Name of compound/metabolite detected,,Example:  Acetone,,RADx-rad DCC|https://pubchem.ncbi.nlm.nih.gov/
voc_compound_formula,VOC,text,Chemical formula of compound,,Example: C3H6O,,RADx-rad DCC
voc_compound_inchikey,VOC,text,InChIKey of compound (unique identifier for data linking),,Example: CSCPPACGZOOCGX-UHFFFAOYSA-N,,RADx-rad DCC|https://pubchem.ncbi.nlm.nih.gov/|https://iupac.org/who-we-are/divisions/division-details/inchi/
voc_compound_concentration,VOC,float,Concentation of compound,,,nmol/L,RADx-rad DCC
voc_compound_retention_time,VOC,float,Retention time,,,,RADx-rad DCC
voc_compound_retention_time_unit,VOC,float,Unit of retention time,,Example: s,,RADx-rad DCC
voc_compound_detail,VOC,text,Comments about the detection of compound,,Example: probable compound based on retention time,,RADx-rad DCC
voc_relative_abundance,VOC,float,The relative abundance of a VOC in a sample.,,,,RADx-rad DCC
peak_id,VOC,text,Unique identifer for the peak in a mass spectrum defined by the mass and retention time.,,Example: peak_1,,RADx-rad DCC
peak_mass,VOC,float,The most probable mass of the peak after the identification or mass-to-charge ratio (m/z) when not identified.,,g/mol when peak identified  and m/z when peak not identified . Example: 57.1,m/z,RADx-rad DCC
peak_retention_time,VOC,float,The measure of time taken for a peak to pass through a chromatography column.,,Example: 22.1,minutes,RADx-rad DCC
assay_result,Assay Results,category,"Measured result. If other, specify result in assay_result_other",positive|negative|failed|lost |other,,,RADx-rad DCC
assay_result_other,Assay Results,text,Description of other assay result,,,,RADx-rad DCC
assay_readout,Assay Results,float,Numerical assay readout,,Example: 0.7,,RADx-rad DCC
assay_readout_unit,Assay Results,text,Unit of the assay readout,,Example: F,,RADx-rad DCC
assay_readout_description,Assay Results,text,Description of assay readout type,,Example: capacitance,,
