variable_name,description,label,datatype,value_constraints,units,required,unique,CDE,form_name,source_file,source_directory,Digest (variable_name|source_file|source_directory)
internal id,Identifier for the participant to whom the rest of the data belongs,,string,,,true,TRUE,Identity,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,474068b9fba025124d71b150e22d72da233c146d7ae8ce2acaf15413b0c9ceeefe243104c4394631d809e955c098dea341aaca8bc75985d11b9f1b5d27d1f030
cohort,Participant's Cohort Group of 1; 2; 3; 4; 5,,categorical,"1, 1; 2, 2; 3, 3; 4, 4; 5, 5",,true,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,ffd6ed2176d1464e4cd8acf23016d679f45d9d1b1158cc44d6e79b701080122f9b9ad9933b4a69275558031ef08fd3a762bd4c42fd03658a495684fa9fb0c148
pcr test positive,Participant's PCR test results,,categorical,"0, No; 1, Yes",,false,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,41cc06ad37d37564f377c9755429713d2d5ffaa0399ac9ae0da294e02bcfd7911e8ef7fcc9a476f2be09afea9740ec2cb671641cd37d89eec7f85bf9dc96e1f6
pcr test date_deid,Number of days from day of Consent when PCR Test Occurred,,integer,De-identified Value in Days,days,false,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,1d5f76d606ccbbb8d4908dbc44b356bb34bb78b630162c6784966b9693cbc6d6f6aa3d7e12404fdcc2aacb90aa54437897f527f9436e59154508534c827a5992
consent submission date_deid,This is considered as day 0 for all DEID dates,,integer,De-identified Value in Days,days,true,,,,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,2df8c9de711157c855ada809d5a4c4d312448078c15385f199a7f199062306f259c46bee406d8c5d4f3d1534f09f7d201d8c5911512fa0376e6ae25099a5a0da
29789-consent_18yrs,Eligibility age of 18 or older,How old are you?,categorical,"1, I am 18 or older; 2, I am under the age of 18",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,6c246555bf0dd517bf4db0703e8e04a13be47fdb319906b5ed3d2b65480e8369944abb6e8538cd00fd40835a177a90255b3a4313acc72471288b6e5e3edbf691
29790-consent_applies,COVID related eligibility,Which of the following statements below best applies to you?,categorical,"1, I know I have recently been exposed to COVID-19 (in the last 14 days) or I am COVID Positive; 2, I have COVID-19 symptoms (things like sore throat, fever, cough, loss of smell or taste) or I am COVID Positive; 3, I have not been exposed to COVID-19 and I do not have any COVID-19 symptoms; 4, None of these descriptions apply to me",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,cdbee608a44b192fa7cc1dfe5155c8c59d067094a84d9569436ce8752545ea7a28f14f220256de47326dadeaa403e10979665a11a56a525ffbc4860ca73e1fd6
32985-consent_applies_cohort4,(Cohort 4 only) Demographics eligibility,What is your race?,categorical,"1, White; 2, Black or African American; 3, Asian; 4, American Indian or Alaska Native; 5, Other; 6, None of the Above; 7, Prefer not to answer",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,557b2b1cb40e92cda744f3c509a31d51e328112cc04feb7ab919ca214bfedfba074b0077f0f52940a06da9d6fd00fc3e1c2daf47682aa38364cb48d1291ee7bb
29791-consent_english,English eligibility,Are you able to provide written consent in English?,categorical,"1, Yes; 2, No",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,40596d4dfa52599606f911744ffc458394af07a90dddf3ebd78aa6a0f8692d37ee724fca0482d78c0c395949c837db23e69e17401fe267bef72e04f27bd70d58
29792-consent_covid+,COVID related testing eligibility,Have you tested Positive for COVID-19 in the last 30 days?,categorical,"1, Yes; 2, No",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,cea4b08da8d9ee990c67ac81910c6988e0d7f78e891ae5c924239bd5603c89912eb2d4ea1524f05b402094269ad87cf8f56e6b5a9682fabb39fde0eebca0ed7a
29793-consent_location,Site visit eligibility,"Will you be within the greater Richmond, VA area for the next 10 days?",categorical,"1, Yes; 2, No",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,3d375bc5beb3b7c6abcae0e409ac5fddb41de8a9a370ccfc2a27abafba85af9bf2979924423c8c0e77eb09eab9747f52773b3744ae8ac003d61f39e9c97690d5
29794-consent_noeligble,"Ineligible, research follow-up opt-in",Based on the responses you have provided you are not eligible to be in this study. Would you like to be contacted for future research studies?,categorical,"1, Please contact me for future research studies.; 2, Please do not contact me for future research studies.",,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,5356169e4826b493ea4b5ce43c8abe445d1bf90bf26d435073c9631d574efde675beee1d19eb4fc249175c5f3ee933dd9e2d86e37ed1644ae0f9a2227805c74b
32795-future_researchname,Participant Name for future research (not included for deidentification purposes),"If you would like to participate in furture research activiies, please provide your name:",text,,,true,,,Consent,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT,3192b9957883902ccd0c70e4e17c54c296ddce7770c250dc883f353a68e557aab5375de36c075ff3227f1699bcef5ce5e427649400d7b18acac13c27b3d047d4
