variable_name,description,label,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
record_id,Unique Identifier,Record ID,text,,Demographics_and_Clinical.csv,RADx-DHT,dbb72552241770929fcd2556c2ea25c9e712a781f45ebb9f320b7e0bb90504bf05046e9c7702120728d694cf9bc22b01dd11bedde2aa8ea142a3ca5880bb89be
current_age,Age of participant,5.1 Current Age (years),text,,Demographics_and_Clinical.csv,RADx-DHT,41dcf05f4f88f03149c8c955894a1bb79ed6c2f0da1f2adc91ffe68f9baecdcb706a3b42eb1af455b7e5929b449b0d3fbe7db00d67fbf53d96ad2f35a3a40e98
gender,Gender of participant,7. Gender,dropdown,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me | 5, Prefer not to answer",Demographics_and_Clinical.csv,RADx-DHT,7c2e954b38c7c48dd79b8165a573230d81a435bc78eb0e9623a93d2cd6ebad8bfe7db84a6f90513750835db98aab0d3e9366c9d79b38b8691507aa38c0357c60
race,Race of participant,8. Race,dropdown,"1, American Indian/Alaskan Native | 2, Asian | 3, Black/African American | 4, Native Hawaiian/Pacific Islander | 5, White | 6, Other | 7, Unknown | 8, Prefers not to identify",Demographics_and_Clinical.csv,RADx-DHT,dea30b922ed91fb7a79aeb45b9bbf6619d19856385ece2d5076f3fcda65775540391cea36de5abdcf949ce06fd5c70817ebe4946adbca9a5f699d7b7d913eda9
ethnicity,Ethnicity of participant,9. Ethnicity,dropdown,"1, Hispanic/Latino | 2, Not Hispanic/Latino | 3, Unknown | 4, Prefers not to identify",Demographics_and_Clinical.csv,RADx-DHT,66e56e9cd2c72eb98bde44baefbfb91a3dd606e030abd734b20226080b3102e1cac79e9a79a9ff885bf5f19d5157a9666bdbe5f8f9c824cc8a8c8c826df264a8
height,Height of participant,10. Height (inches),text,,Demographics_and_Clinical.csv,RADx-DHT,b1ed052da53ea39e91233a1a3c34b6a5a205b2508404f0bf7f2e951441f14ffb2970e39e52e2a55047adcaf5f4e48350d1fc314abc49f06ef0ad330e56311662
weight,Weight of participant,11. Weight (lbs),text,,Demographics_and_Clinical.csv,RADx-DHT,ad91d406d03032ff7cdb6badf4144e4a5901850b34439e66ef8b3efd691483402248ef1e7988ad4757ecd5e4e96178629419339375d2476f9c33b31d175e374b
bmi,BMI of participant,"12. BMI


",calc,([weight]/([height]*[height]))*703,Demographics_and_Clinical.csv,RADx-DHT,ff09e695b9164619ef7f2642172b8766be0deee460132aab021bbc18efc18470fe9fd4340cf45db713d6a6ba97184a19158a8da1467156e326901e44c0217327
education,Education of participant,"What is the highest grade or level of school you have completed or the highest degree you have received? (ENTER HIGHEST LEVEL OF SCHOOL)
",dropdown,"0, NEVER ATTENDED/KINDERGARTEN Only | 1, 1ST GRADE | 2, 2ND GRADE | 3, 3RD GRADE | 4, 4TH GRADE | 5, 5TH GRADE | 6, 6TH GRADE | 7, 7TH GRADE | 8, 8TH GRADE | 9, 9TH GRADE | 10, 10TH GRADE | 11, 11TH GRADE | 12, 12TH GRADE, NO DIPLOMA | 13, HIGH SCHOOL GRADUATE | 14, GED OR EQUIVALENT | 15, SOME COLLEGE, NO DEGR | 16, ASSOCIATE DEGREE: OCUPATIONAL, TECHNICAL, OR VOCATIONAL PROGRAM | 17, ASSOCIATE DEGREE: ACADEMIC PROGRAM | 18, BACHELOR'S DEGREE (EXAMPLE: BA, AB, BS, BBA) | 19, MASTER'S DEGREE (EXAMPLE: MA, MS, Meng, Med, MBA) | 20, PROFESSIONAL SCHOOL DEGREE (EXAMPLE: MD, DDS, DVM, JD) | 21, DOCTORAL DEGREE (EXAMPLE: PhD, EdD) | 22, REFUSED | 99, DON'T KNOW",Demographics_and_Clinical.csv,RADx-DHT,136ed2218fff77c69dd2d531e73ce0e37070db0166da68da909d8bee21f6059e2c1c9044438747ca7dd3f93aaac391665486689202b4eff59181ce3cd1d3c99e
housing,Housing of participant,What type of housing do you live in?,radio,"1, Detached House | 2, Duplex/Triplex | 3, Row House | 4, Low rise housing (1-3 floors) | 5, High rise housing (>3 floors) | 6, Mobile home/trailer | 7, Boat, RV, Van, etc. | 8, Other | 9, Prefer not to answer | 10, Don't know",Demographics_and_Clinical.csv,RADx-DHT,6a69382362d3dd0a88d5dc812578a6575a3f502ff9012adb97119f1dd4a2a65a96bd85be05020aa823face4b1e55f51c6f60b18958e82286c9d15a4cadef02e2
housing_oth,Other Housing of participant,Specify 'Other' household type,text,,Demographics_and_Clinical.csv,RADx-DHT,e84b540d8db97138c4a88095331d65630bb8696c803c32e7a484c5901c74413a86ed823c3ecc6787238cc7e1bba451b8205107d9c1c7b4b484c784c3ba2cbd07
employ,Employment status of participant,"We would like to know what you do. Are you working now, looking for work, retired, keeping house, a student, or what?",radio,"1, Working now | 2, Only temporarily laid off, sick leave or maternity leave | 3, Looking for work, unemployed | 4, Retired | 5, Disabled, permanently or temporarily | 6, Keeping house | 7, Student | 8, Other | 9, Prefer not to answer/Don't know",Demographics_and_Clinical.csv,RADx-DHT,23082610e04c624175d0e46868718d782f8c1e35427724d4e1a4ca0bec425b4ced5d61013db6de6641c3bdce8bee9c2a42100e10e089af6290fcda5bab88d63d
employ_oth,Other Employment,Specify 'Other' Employment___________,text,,Demographics_and_Clinical.csv,RADx-DHT,b7c7eb1c882132630904cd8edc5661517e44c62c879600d0926c8f44adad1c15b5c8be9c7ec9d0fb4fcaf306811efed71468c74a45e7c12c14d41385def0ddd5
insurance,Insurance of participant,"Are you currently covered by health insurance or a health coverage plans?

Exclude plans that pay for only one type of Service (such as, nursing home care, accidents, Family planning, or dental care) and plans that only provide extra cash when hospitalized 
",radio,"1, I do NOT have health insurance | 2, I HAVE PRIVATE health insurance (purchased directly or through Employment) | 3, I have PUBLIC health insurance (Medicare, Medicaid, Tricare)",Demographics_and_Clinical.csv,RADx-DHT,c65c62951a23fd7db0d79b52ee695bc37f186bed2884f3886879e49685c52501b1a0a9abef9001f3697e511f58b7e566e6d96d51be80bd670dec45b655e4f0b3
lung_dis,Do you currently have any of the following  conditions? - Chronic lung disease,Chronic Lung Disease,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,dd2781810fd920899be6ef964024e001410466321f24ffae72606f31897089ec8c8fcdcbcf6d1834697661c769400cb33f192b6ad87001496bcd4ea63fb20231
depression,Do you currently have any of the following  conditions? Depression,Depression,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,a1050f647935ef13626e6205296a1e7a14eb4050880a2cf1730ef8b726c0c9376d98a6147dfd33dfd80ab3707364fd3cf20e5b119c945b8fd235a32afbb37085
alc_subs,Do you currently have any of the following  conditions? -Alcohol or substance use disorder,Alcohol or substance use disorder,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,edcb491e126ee2f0230b239137b39340fe552162552d34fb2a8902288334e8e61e97833edb148f407f8f8441bf9126ed5b57395c4ec92a32d5045c420e355a1a
mentalhealth,Do you currently have any of the following  conditions? - Other mental health disorder,Other mental health disorder,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,b0d22c10786f733daa2279136b02859393019af29faf7c7876136593976716f68c4fa9e324a5c27d73481df92649bd1cf806f6b80e6dbd99a09e015cd88ee4f9
ivd_use,Do you currently have any of the following  conditions? - Intravenous Drug Use,Intravenous Drug Use,radio,"1, Yes | 2, No",Demographics_and_Clinical.csv,RADx-DHT,95b66f89adf1f706823cac241eaedede84742d047745c2075230572d084e41450aea55f74479f18cb6c5578304b96623dd4464f51d76212ee6081b9e7323b350
