variable_name,description,datatype,required,unique,source_file,source_directory,Digest (variable_name|source_file|source_directory)
googlefitsamplekey,Unique identifier for this piece of data,string,,True,GoogleFitSamples_datadictionary.csv,RADx-DHT,ef7136a792196b9dfcdc08e1744e3946f987b6a14ed16b6f591ca096db2bfd518632c9b23983d2ff3e65c7005bbe383bfed1e631e227c4b0115994adb3a48078
participantidentifier,Identifier of the participant,string,true,,GoogleFitSamples_datadictionary.csv,RADx-DHT,6c3dce290503efea4d65e6772a9863a4662f47234595ba9689367fd2c10a3cf798fb432436a64acc93a51af497aa1cc78cf14bd52089a9b7ed880e37ab62d15c
type,The type of the sample e.g. steps of heart rate,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,3466b36d5d05ceab6ff5a451d75fad5c8a5b27ecd637f39d2f8d09342e91ebfcdc230d74a6b0984ecf4cc917c12d687ebedbab6142c03a3b12f7f91fd928741f
windowstart,Optional start time for the sample in ISO 8601 format,datetime,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,a65391c6674cfa23e8fa80578d680b21fc62eb9a876e48ab83dac187607b019215552e631aa70f6f3b7a04f28f3010739aa137c14fda1c237fbab8a7e15b1fa0
windowend,Timestamp for when the sample was taken in ISO 8601 format,datetime,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,1028007f85a79517f1a4f85a6d3ebbbb9d889c89fe0184002bce7ea8c797bce023ae531a7cff1421c2c55eb5dd2658fe72d394410301e3bb93eca25ff0e686f8
value,Value recorded - may be a number a string or a json object,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,f82729632786317b47b81136a3c6a6f067f929cdef103320d624d918195fa4952a49e6a3ae5d00db6b61371c6bb1e2f4f9a6eacd880211c57298b42b06d41769
units,Units for the value if applicable,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,fb3b92d956459a6a5dbf4e04dc52bf35ddedf07cad2fc29ec784a312c19ca6a01e4c4de50ea21b022a31a280061cae0fb593b7399144701c2545ced9d8642326
datasourcename,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,8a4dc1729fd9522c2e1f753391b9d9cccf349405b798b0b3eacb79be1715ad30dc9672b492aeed6135a9ee5383f4f2db5d1f3915f90896844e9c6f608096a0be
datasourceapppackagename,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,63d58eaf22e00e5758135b38ecfb59566f50cb0cae84114f870de47200a0f9ba76c42420bf497d4d8533a0525d9920f76469ad8b25c56ed6bbc6b0d09a27cc92
datasourcestreamname,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,cac328c8eca34b5866739bfbb8ed195b5c77fc5ed148938d5e5624047ed5fcc61a6b265b51c78bccf2a1c36f5e73d921b99cc1d79b0ea057f5f811250df42215
datasourcedevicemanufacturer,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,a7c70e58009c351349f12d6976c14fe74b54560f42f93bc7e261492858c175460510c83cb4f883cd29fc36b24b356919ede3985dc559b0e8ea25f636a00e9f00
datasourcedevicemodel,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,b99055c98b6a69359f4f63c4588c0779428239b2f370442631dbbb45e6529aab16438c7bbc26c314dd53bfe12c0132c28915b53da5736e68fda8e19a00458575
datasourcedevicetype,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,d1bad84a158c7785e0f23cd3738c032c1df342a9e86b3a941e38679526dfe16bfcb4d412cf233916b695f77ba4e0f8f47bb8e4f6f2a941e03a1749e4ab0bda60
originaldatasourcename,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,0815d3ab4293c3a2b8d079d5ad9600ec8f6312fbe657cdb6a89c0d84104cde9635ebe9e2d43d3b6b3f9d4bb600ca5c67a6f1c06cdf04be67d62aea8080020950
originaldatasourceapppackagename,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,04d30078ca664dbe0ff4f8304a893a64822f316895e2617edfd1d2ab3bd9bb632b7486d26d7eaface42f63697366733b8f19d82ff44ce84148fdf5f3beaffb6a
originaldatasourcestreamname,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,23ba4706697f802880acef2b179ee65fb2d3750c962a38b3e84d596e8f1b12234f554e7ff4c90f410751de0d7358daa744fcf427de1bcbb70f564eb766968577
originaldatasourcedevicemanufacturer,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,4ccd04435adbc8830fa39b949acb128e3f108f140aa20a4d05793236db69090a10ce9d93e53b9cfa6dccd234d73899aa0f66ebb87a07935a2894ef32ceaad9c3
originaldatasourcedevicemodel,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,7aafba60399bed4b8352de4634a032a7b5b70407937e61d36074908db458ad53d4face25dcea0b60af3b86359bf9bee9368e34307202428793d404d9a68c451d
originaldatasourcedevicetype,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,6d089706675df2fb2837a39d213a32fee1cacc9218956ef4cde27c7e27598768b7390d492f96dd67ba250b8ca286006be541caaa052a8a87d92766f89c6e20c3
inserteddate,Date the entry was created in ISO 8601 format,timestamp,,,GoogleFitSamples_datadictionary.csv,RADx-DHT,befb88edea06a97b46089ee1f44cce3807280071c6eb3e5cf0d9294e8b8e5379874e3b956f097faf326c66fa73768b48d8eff7ba1cbe09507489bda6a5d92ffc
