variable_name,description,datatype,units,value_constraints,label,source_file,source_directory,Digest (variable_name|source_file|source_directory)
uid,Personal identifier,string,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,85a16959ddcf45f14b63c1b4707467cf221676b9c55ef0deb72bb9365baa59f1b97ec5895158a4ea942badc2ec20165575b70719a8e6cd19bc95de9691e1dbb3
date stamp,Date and Time stamp for the survey response,date,,yyyy-mm-ddThh:mm:ss.sssZ,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,2b09670d12a36f8b11b6694ab35bb5c776cdb851c5efd4371d8c9dc590da0747450d0822ac3d612b0b7c4ca3e931733dea6edb03fff48b0a7c6c1672c45f791f
survey id,Indicates the version of the demographic consent survey offered to the participants.,categorical,,"0Ks4W000003JkezSAC;
0Ks4W000003Jkf9SAC;
0Ks4W000003JkkPSAS;
0Ks4W000003JktiSAC;
0Ks4W000003JlC0SAK;
0Ks4W000003JlCESA0;",,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,aa1244c77819c161c9dd2906b145c2d3da92f8272579ea74239e32f9f91fb25509aed904ad45481e15573436eb805a979712a4005dd98665dddb4df512e1c913
survey name,"Name of the Demographic Consent Survey offered to participants. ",categorical,,WSSC Consent Survey 0.3,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,d6a48986f7961c783e6c7d3e10047845d4cd36e741e03fe38a5ae6a50c313974078289671c543e071f114aef85514141e3f5e147e6114220f2696a978822bec1
ethnicity,Ethnicity of participant.,categorical,,"Yes, ""Yes, of Hispanic, Latinx or Spanish origin"" ;
No, ""No, not of Hispanic, Latinx or Spanish origin"" ; 
NA;"," ""Are you Hispanic, Latinx, or of Spanish origin?""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,4da4efa350f1ca07a320ca7f3ba5171885d4d26720d4ec6543b4df32835384f383db10e880f3725f928a13eebd2e63b08aebd69d0f23e652b9538dc6da6a2634
transportation,Mode of transportation used to commute to work by participant,categorical,,"Personal vehicle, bike, walk; Carpool; Public Transportation; Varies; NA;Recode_NA","""How do you typically commute to work?""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,45dcdc1818ccbb39d4fd026476ee8acba843ecc43cdcb19cd427f84097c07b053c1fecac4f1edec2cb1a5a4e0ba0b0cd08d4080b8023972748eff205fb8c9b32
race,Race of participant,categorical,,"American Indian or Alaska Native; Asian; Black or African American; Native Hawaiian or Other Pacific Islander; White; Two or more races; Other; Prefer not to answer; NA;
Recode_NA"," ""What is your race?""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,421b2e0e8be307573a49a714a06624fbb798488a9ed29c34a89519a7cb7a9bd5a17b6ee070324e11f91640095eaf62bedb20bab01995d66d67fc80cb99b80686
zip_code,Three digit home zipcode of participant.,categorical,,123**; Recode to 999**,"""What is your home zip code?""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,8b85bc85fd2a5d8ed4960ef059c2af4d1d7c1e8ff7d4f7cd3842626f337fe0419e805d965e422036423e05fcac6cef369a54e237d074df784c85529891f18680
education,Highest level of Education of participant.,categorical,,Associate's Degree; Bachelor's Degree; High school or equivalent; Master's Degree; Professional degree; Some college; Technical occupational cert; Recode_NA,"""What is your highest level of education?""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,2e3e7e0944c97d609d7f06a5b611c0d1f7790a6f7a87260bf97e9f666b7b0d1ba29be889f69e778babccfdcafcf752f11755ecbbb3aca48de575809b6d2ae271
gender,Gender of participant,categorical,,Male; Female; Intersex; None; Recode_NA,"""What is your biological sex""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,01904a80d34a71c7d29480f31b74ed02fe67e9d713e521654e15acb20aef7ec7506e8afa307b94dcbefb3f6c60457640563e40092a5516a8ee3345d25ed6ec10
weight,Weight of participant,categorical,pounds,100-150; 151-200; 201-250; over250,"""Please provide your weight""",NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,c2c8c0eba1c92c3151a1ae07ecadd810c1dcaf5d30812ff9b63658b78a2512db27edd0ee167874040418e8a5f0d961d936be507b61661db117afd5c017e50e90
