variable_name,description,datatype,value_constraints,label,source_file,source_directory,Digest (variable_name|source_file|source_directory)
uid,Personal identifier,string,,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,e409b91e79a70e5d0f356bfa87712ba8296d9c93a5997bd52a0a8466bfd26e0003091ef21a73ee80fc53fd92ca3ff5db70959e674242ad2136644d283d9cc4db
date_stamp,Date and Time stamp for the survey response,date,yyyy-mm-ddThh:mm:ss.sssZ,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,73bcfea1782272128b428e8197b48e6fa488bfb72cfeddab27534eb6be71ae6c8a998e431414b3d58a3303a54c79c26ea57193c75d565c90293acf1a15773f75
exposure,"Indicates whether the participant reported been exposed to someone who has tested positive for COVID-19 or is currently undergoing testing for COVID-19, within the past 24 hours",categorical,Yes; No; NA,"""To the best of your knowledge have you been exposed to someone who has tested positive for COVID-19 or is currently undergoing testing for COVID-19, within the past 24 hours?""",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,26981d80481c0325ac5df5900436b200c71e3e1d5100e652136806a1023b464f446f5f2b9aaa2c6b80d4bcddeddc7d0c61d28c5b07c6fe35ee0a313c7c669625
permitted,Indicates confirmation by the participant on being informed that they are permitted to enter a WSSC Water facility or work location if they were scheduled to on that day.,categorical,"Yes, I understand","""(COVID-19 Not Monitored) Based on your responses, you are permitted to enter a WSSC Water facility or work location today if you are scheduled to do so.
Click “Yes, I understand” to confirm the information you provided is accurate """,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,6c1458ed0748fc07615416b9c792e4da50641793f284c8b984fcc02b20069f1d6bc1ec0024b3788d40a32c9e7fc695c346d776de934ede4b2353e89313732d3b
quarantine,Indicates whether the participant reported that either they or someone in their household were asked to Quarantine.,categorical,Yes; No; NA,"""Have you been instructed by a health care provider or health department to isolate or quarantine or has someone in your household (spouse, roommate, family member, etc.) been instructed by a health care provider or health department to isolate or quarantine?""",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,149817add1bc7fd78337bb71ff6ebfc5e0a10bbd0deb21e5c8f880f1534000014e628aa08903defc5f820cadcabdbee7faa78bf8d54a3a75275424073adf1928
test_result,Indicates whether the participant reported receiving a positive COVID-19 test result or diagnosis.,categorical,Yes; No; NA,"""Have you received a positive COVID-19 test result or diagnosis since the last time you took this survey?""",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,7b07edefb6dba20f62df84c63e02b2847e3e7e4ef97b6dcb17f1e549f50d537883fd3708980d868f11facac758da746a5d86177636cf4e8aea172ef807f19589
wellness,"Indicates how the participant reported they were feeling on the day of filling out the survey. ",categorical,"Good; Fair; Poor; ","""How are you feeling today?""",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,25184837f7f25dbeb80c3f79876e72de3cac47d42fc52672f52a423ed36488f1c333b7f5d37fb86afe7fe82feecf60c055342460bab4427ff8fcc6b4eb50e593
not_permitted,Indicates confirmation by the participant on being informed that they are Not Permitted to enter a WSSC Water facility or work location on that day.,categorical,"Yes, I understand","Based on your response, you ARE NOT PERMITTED to enter a WSSC Water Facility or work location at this time.  You may be contacted by human resources to follow up on your responses.
* If you are feeling well enough and have the ability to telework to complete certain job duties, please coordinate with your supervisor to determine if telework is an option for you at this time.
* If you believe you received this message in error, please contact the WSSC Water Nurse.
 Click “Yes, I understand” to confirm the information you provided is accurate.",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,1bac86023a25c283d24772d5072f2d050ed5b36761e082dfe3928df26ab3406a6aa79f3179c969d9edd9343e8b689415f96ebbacdbaec2eaea07781daf62ba84
symptoms_none,Indicates that the participant reported not having any of the covid-related symptoms mentioned on the survey in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,06c7edfc50c7096f892f2aae8aadcd8b1beebfe5bfcaf544b9e6d2d1946c575050b6fa04358e3a5744f288d19a159079404020592e62fe28d4f11dc38aed2d54
symptoms_headache,Indicates that the participant reported having Headache in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,8387eb46a0eeb9f8776340310cebc0931cbce74a1876be1499800bfb081a754ada210aaf611da846c4b4b209ae8068ecd832c0c252986f42006dd40117bac792
symptoms_diarrhea,Indicates that the participant reported having Diarrhea in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,6dbaa19387cc541e1e3717da4e422625a035a194726af448dceb1443667823fd5474def2d2c91383f9d43d9449ba41674cb2389ec8dbf67c29dcb627afb9c988
symptoms_congestion or runny nose,Indicates that the participant reported having Congestion or runny nose in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,b2b1adecc946a5c4050e4a2e4153f38f0851a550babdc4133756bb0db032b78e7fa734c8450ff58201bbc475ab52c4c279319bbdaf056fa6b78455f705282984
symptoms_cough,Indicates that the participant reported having Cough in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,f352a03691dc08314645199e00093a69c31c5b6edefb1cd90da082bd7215f5b0d87b4dde569f576cc42f67a0cdc31799ec1ef2321863c9ba6ad15999c418dd54
symptoms_sore throat,Indicates that the participant reported having Sore throat in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,3e31e958cc52b183317671c48d39bab3ac57bffcd654e763f56807251fdfa3cf597a5bcecb813564af3d240170631a9a9dd8850bdbf314cb9f6d81b43a4005ff
symptoms_fatigue,Indicates that the participant reported having Fatigue in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,391a920e91e77a75bd563d5a28e10893a901f423ffdef040657f51ae04182c08ed9df2a859993f092b6f11786a7fcbe43f244fabe8ca256f5ad4c7131d52b837
symptoms_fever (above 100.4 f or 38 c) or chills,Indicates that the participant reported having Fever (above 100.4 F or 38 C) or chills in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,1a643bd5ac9e07355a0f886c58fd0d1c9d0b9f9a42dc9048f88d94b0361e4922da39d5178bde7cd466df1aa980196c19bbcab7c451df995ee3df6d42105dbe70
symptoms_muscle or body aches,Indicates that the participant reported having Muscle or body aches in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,53cad7b33c25bce64d03252c379e1a76978913af302249d7bd34efab6a1db3ef514cbce38d5c19f7fdb65754de861b2e5f2de6bbf0f3cf4ecb31afa67c0f9c98
symptoms_nausea or vomiting,Indicates that the participant reported having Nausea or vomiting in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,7753c42c8e0d13273e754954f73494e5d117cd57edbae92ed5dfba70df712dd22d25eb2acdaa2f162db6892e5c59151353e03e6f7145708db54814c289386875
symptoms_new loss of taste or smell,Indicates that the participant reported having New loss of taste or smell in the past 24 hours,categorical,"1, Yes;
0, No","In the past 24 hours, have you experienced any of the following covid-related symptoms?",NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT,8491d1ed415265a319b639c5408f014283da44cf35c2dc48a1725ad3c5d824ec76f49d3732522094d868c2e3155968afef29b8c143ae7b1827a3bd47f2cbb037
