variable_name,description,datatype,value_constraints,required,source_file,source_directory,Digest (variable_name|source_file|source_directory)
surveyresultkey,Unique key for this survey result. Used to link to survey steps in SurveySteResults file,string,,,SurveyResults_datadictionary.csv,RADx-DHT,801fdd50690bc751038843a97f0ea5a2f4a02eb729836431b368dd436cacfe001d67a71ddca0a14c087388f7449a871c9cca534865fa78fbf9631790fc4888fe
surveykey,Unique identifier for the specific survey the result is for,string,,,SurveyResults_datadictionary.csv,RADx-DHT,71b8722ca3affa5ab703fafa360dd7a80e4fd7e01119df48203ee6339b541968759b738caa3e62dc511f19cabeec5e7bb2289b1469d8c2921be4abf0b665804c
surveyname,Name of the Survey this result is for,string,,,SurveyResults_datadictionary.csv,RADx-DHT,3fcd9741a1881123c3db6362b5d06c8dd17399d338577b30574d971c1d4239386740441c14b9001d9d96d409c23670bd04be8a536837eb1f10a7536f07a94ef5
surveyversion,Identifies which version of the survey was active when the data was collected,string,,,SurveyResults_datadictionary.csv,RADx-DHT,1e488e3b4e13b0a967d3dc6630be050c4d953647aa88e0a135ce0a6b3309032bdcfda5705982a82b2d40bb4a867b7a7991e04b2029b50600c5926a4838e26622
participantidentifier,Identifier of the participant,string,,true,SurveyResults_datadictionary.csv,RADx-DHT,c97c7552b7a0d77db2b7f181819e0c822dc3b3e723fe545caae0f564bfd9b9ab6a76035c173da5474944302a8ede10e7c6a4a4bbda349fb91d090f61559be3f3
surveytaskkey,Surveys may be delivered via a specific task and when appplicable this identifies the task,string,,,SurveyResults_datadictionary.csv,RADx-DHT,819837e2abb276183772a424d14831b5ad1ada083231c1d3fe408cab871c61c2a43c9b998d15aae2d605f45aa37a35aed86177c052aad991f21cf2e288105ea8
type,Type of Survey,categorical,Survey;Consent,,SurveyResults_datadictionary.csv,RADx-DHT,b1179b0172e86da7712f11a225c43e069f9a3ef68e5b72b5eed07712acd687a692ef5da9d5f91ea9e518c379fb9566c4e676a362ae675667d410ef4d0f4463b2
startdate,Date and time the participant started taking the survey in ISO 8601 format,datetime,,,SurveyResults_datadictionary.csv,RADx-DHT,cf84d785412722289d7d7a52d6de20ed995f6d7de4427c1559a4a99428622a78644ac5a5e8339fed9fc58017b03fb57011f4964f589ec17baf948b4c89b314f8
enddate,Date and time the participant finished taking the survey in ISO 8601 format,datetime,,,SurveyResults_datadictionary.csv,RADx-DHT,7991332e1620d19ca7631af1479ce5f2171a2b2f407982fa0c922c39010a111a3ed94bd896fbe9665b2edab4dbfdc91f84ce96a952bfa00b6496ce654ace971c
deviceplatform,The platform the survey was complete on e.g. IOS or Android,string,,,SurveyResults_datadictionary.csv,RADx-DHT,d7fd42a70a4e5c299973e3c29aeaa64b4975baab6e2df7a3628797a005cf3c15cf6d245834df16a38219747613c5893bbc608800395f7237fb0dad63553f149c
devicename,The name of the device used to complete the survey e.g. iPhone 12,string,,,SurveyResults_datadictionary.csv,RADx-DHT,3fd95df9c0da4fbad02b49704a80f7c60341374bb505e2832aeb65bfd240a7c5e66c11eee6a5bb72a4e487ba74304a9ef0c79fcf19d44a810ce93dac3a74fe31
deviceosversion,The operating system version running on the device used to complete the survey,string,,,SurveyResults_datadictionary.csv,RADx-DHT,6b0e14080d360eb82a49c7d41199d4545f4812887e6cc2ad5983baeb8028ac18a586063d0fb7d6fab0d340d008ca349bc0ffa07af55296c539f7ac0b984f0cb3
inserteddate,Creation date of the result in ISO 8601 format,datetime,,,SurveyResults_datadictionary.csv,RADx-DHT,bc3e7f893a92fc6109138f29c269de4e3dda62ab550344236ec4d2d1d427a0a0cdc7b6c3431baba9adee56421127923426fc364d5b677d4b7a556a4b8ada443b
