datatype,variable_name,description,source_file,source_directory,Digest (variable_name|source_file|source_directory)
timestamp_ntz,delivered_at,Internal timestamp utilized for deduplication where the most recent DELIVERED_AT and respective table primary key will remove duplicative records,activity__garmin_activities_origcopy.csv,RADx-DHT,a087f57379c90dd485a2ce0502caefed908c752250a065cc1588e6cf38380b57599f77c3b40439697c33e7e5e1c8ae8eee627b88bcacedab34c2ed96c5633ed3
text,external_participant_id,The unique achievement id associated with the event,activity__garmin_activities_origcopy.csv,RADx-DHT,dd2ee3ba2e8c7e56303628911f0c4cb92036287374845ea2ed4e789a1b7970af54c286891d5faadd80a8aa7974253fea99a029dfe8cd816418381373b736a123
text,summary_id,"Original Source name (if applicable): `summaryId`.

Garmin documenention:

Unique identifier for the summary. 
",activity__garmin_activities_origcopy.csv,RADx-DHT,850cf2d4c945dc56dd6f980e296c2e976e3991a1009c23b0b693e0650b6b2cc48704622ab0602f6d484be20c6aa34d67b232193919cf2862fa222ebda1ca3cff
number,active_kilocalories,"Original Source name (if applicable): `activeKilocalories`.

Garmin documenention:

 Active kilocalories (dietary calories) burned through actual movement and activity during the monitoring period.
",activity__garmin_activities_origcopy.csv,RADx-DHT,e60de6884f2272ff69d73b09b3004530f66d9cb91a97713a64a202a013ca9046daee5b2f835f1d451822cdc2e934786b2683d797992d89941e9db6a869483c85
text,activity_type,"Original Source name (if applicable): `activityType`.

Garmin documenention:

Text description of the activity type.  See Appendix A for a complete list.",activity__garmin_activities_origcopy.csv,RADx-DHT,62170ebd446275c0693f47125ac8834af39078613d8c88cd301714ae62531621b9bdeedce2594293466c9cb292d588b8dc842d6e925da0d5ea497ee9af10746f
float,average_bike_cadence_in_rounds_per_minute,"Original Source name (if applicable): `averageBikeCadenceInRoundsPerMinute`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,f97f3fcb8ac7c9d2e68bb0eeeef30745d3baa140f0ebd5e1a426f28eda818d8e1a99d0478b1d5e566275481b5bbecd1879237dd87298853383d330bf2a0f11ec
number,average_heart_rate_in_beats_per_minute,"Original Source name (if applicable): `averageHeartRateInBeatsPerMinute`.

Garmin documenention:

 Average of heart rate values captured during the last 7 days, in beats per
minute. 
",activity__garmin_activities_origcopy.csv,RADx-DHT,95af12f210d5535a40a98b824f7dfc88fd7d31edd207528c9ae5e17ebc2882e5a1a8eeb33fce1cd0d0d4d99c5ac7b1194dc5794eea5e47ca71376cccdf38aa3a
float,average_pace_in_minutes_per_kilometer,"Original Source name (if applicable): `averagePaceInMinutesPerKilometer`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,47e6dcff1b2c0272b04c9dd4f37d510e2bc747b7dd0cc95e9873ae6cc905c25f8381616aae9794b30fe650510d492f06b06cc426028acc766b52df0b5233a7ad
float,average_run_cadence_in_steps_per_minute,"Original Source name (if applicable): `averageRunCadenceInStepsPerMinute`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,8e1cd7b5da640626ad91178739d4120c7026f91414e3d8f7cbd389260cfbc355f8135a7d62ab89d5409e19e105ff646b2cba3aa386989694dcb8d65e51546629
float,average_speed_in_meters_per_second,"Original Source name (if applicable): `averageSpeedInMetersPerSecond`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,78cfd9583b3ea18858c342358d29730def609b1d034c2fd3b61ee3f0fcb6190d9455d21bcc005cd95aacfab837fcf1693d4a2a44e53c03c1cd292f57f7ec6f6f
float,average_swim_cadence_in_strokes_per_minute,"Original Source name (if applicable): `averageSwimCadenceInStrokesPerMinute`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,69d3ce4a16b9bdbfcb806734ab2bd778ecc17aec76e9bb6dce151a23e6aeda6f4c8b1a07c3a5144d7736633a0abb46e0ba20612250b9e879a8bb6658b7bcabdb
text,device_name,"Original Source name (if applicable): `deviceName`.

Garmin documenention:

Only Fitness activities are associated with a specific Garmin device rather than the user’s overall account. If the user wears two devices at once at the same time and starts a Fitness Activity on each then both will generate separate Activities with two different deviceNames.
",activity__garmin_activities_origcopy.csv,RADx-DHT,3deb2ceec91168448751e9f2b95b155c0e33aa46d6d1f7936944296ea7d2823c6c17dd606e20b3f00663e0922477869d9dcb79372ee38b2646ae21cd9f0f3402
float,distance_in_meters,"Original Source name (if applicable): `distanceInMeters`.

Garmin documenention:

Distance traveled in meters.
",activity__garmin_activities_origcopy.csv,RADx-DHT,85b2edb1acb668bec8d0f93f6616975c422e43da366008796740b4f08d99f66b8b3cb5aa0c0cc4bdab2190ae370f477cf8f2d4fe43d2f4f12fcfd0a4e89c2654
number,duration_in_seconds,"Original Source name (if applicable): `durationInSeconds`.

Garmin documenention:

Length of the monitoring period in seconds. 86400 once a full day is complete, but less if a user syncs mid-day.
",activity__garmin_activities_origcopy.csv,RADx-DHT,6993512e92bd1ad0b63b409ee940145e37b51eb06f864b04fb648843ea2d64c39a7fb8ae59192d1b9b5f738e1c5c556f75d41591765d2638776fd49aa1a7548a
text,is_parent,"Original Source name (if applicable): `isParent`.

Garmin documenention:

If present and set to true, this activity is the parent activity of one or more child activities that should also be made available in the data feed to the partner. An activity of type MULTI_SPORT is an example of a parent activity.
",activity__garmin_activities_origcopy.csv,RADx-DHT,319b1e8ab3fac86067dc4044c6eec3302116cd083b2dfb585183ff804fa944c180a230b0e0c5e0559ba251de8cb2c95559c68e0c30552580eef2fc451dea6d12
text,manual,"Original Source name (if applicable): `manual`.

Garmin documenention:

Indicates that the activity was manually entered directly on the Connect site. This property will only exist for manual activities.
",activity__garmin_activities_origcopy.csv,RADx-DHT,476d3c74e9025168192d9f5c60202b3ae8e316732e6843dba1095d9ce5f0bed53e8267fe056f6ed87cc8f6c9e6b9df39ade377e520926c8058910c9fe1fed429
float,max_bike_cadence_in_rounds_per_minute,"Original Source name (if applicable): `maxBikeCadenceInRoundsPerMinute`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,e9450703e61a60f02140047d7660376425cdf77f80469989e8c2450873796dc1b0489bc7efe389a5b28722d28cc715a9fd50d64e3b51d77603286b33ad447eef
float,max_heart_rate_in_beats_per_minute,"Original Source name (if applicable): `maxHeartRateInBeatsPerMinute`.

Garmin documenention:

Maximum of heart rate values captured during the monitoring period, in beats per minute.
",activity__garmin_activities_origcopy.csv,RADx-DHT,27269d79e29682cc9f4b1eb24b4a9d9099978c7a5799758e43d9dc2d58f8394e9a331dc9e5e2af12dbfd67f72ef26913b9c385860d604bed68f9d76b02799b5f
float,max_pace_in_minutes_per_kilometer,"Original Source name (if applicable): `maxPaceInMinutesPerKilometer`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,f494c3d14c68a4fbd035e68c0e4a964749a1172ff93959e99f79835e928de8dc5a753553ebc7b899b42ab83caf08f437870dcc183ce8098899a2196eb783e951
float,max_run_cadence_in_steps_per_minute,"Original Source name (if applicable): `maxRunCadenceInStepsPerMinute`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,83cb121c8f51118be1d9c75d3896ef1e1c9d83689b08d442f5c0c7802d91510c98f812e924a2cad393e561896ea72b6e3c1fe3888b359003c7979f321dd6fd03
float,max_speed_in_meters_per_second,"Original Source name (if applicable): `maxSpeedInMetersPerSecond`.

Garmin documenention:

 
",activity__garmin_activities_origcopy.csv,RADx-DHT,b97acc37d3e3e1983dd20eef74a3e1b02669ce12320f8fec0130cef7d9ab4527d56bc93786df8dff1752ab5ff9ad4ae50683037a6c23d0d10cffaa2d669b2abb
