variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,Participant external identifier,,string,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,813fa62e1996b0e37c4aed4c13ceb815b4fda5e1a81753d221e7a16f8ad5b5fd9f6e36905789b92129360e1f4436e400fe70be5c0a3bea14b9e73977119a7244
dt,Evidation based date of record,,date,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,bf439f51671edb9f83d9e3ceaea7427e1d1b79e4fc740bac65370d9463ce69e4fe1c4a78b562f5d712a3e1f88104234151aff0fd05d88aca87964e865a5bfbff
end_timestamp,Local timestamp corresponding to the end of the activity recording,,string,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,76c15ced18f87831d4e3d6ae76ac53fbd2967314d1a840fc1caf50bdb5207579590ff8372e107c9c3c7696588ef574c7b2845ca4578bc6b0d365f387ae1c663e
start_timestamp,Local timestamp corresponding to the start of the activity recording,,string,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,10098ac00d5cd78855de9abb39b9c919949006bafd2125de536029de35d392bcb8491adee47d9e4bc3b455149b7ba3575a34b633391fac0d5dea49c93e278111
details[array].end_timestamp,Timestamp corresponding to the end of the activity sample recording,,string,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,2b2673034a674e6cc2ac1aff1aa8c1f5a52cf558f1e1042023053d2bf9f3a576e44c95c7121adc0b9afa0b2c755471b905cc87725b8829cf8102a67e5526a34d
details[array].start_timestamp,Timestamp corresponding to the start of the activity sample recording,,string,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,9ca903ccc6160751baf848293ade38019da4809299c59fcba51a3f8f20cbd5e07e4488e34e8709e5619841398b75cfe8f1d24e40c18e4b272f4715dc5903f53e
details[array].user_entered,Boolean signifying if sample entry was manually entered by device user,,string,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,9bbbf887343df2be6133cba9096d469d115a1c31e8418f7f8026992f9d58aa1d3344fdf76772538a5eea91b7b4c9041fdad0117f60ce7e951c2964ff3e45b5dc
details[array].value.activity_type,A static identifier for sample activity type,,string,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,414d136f12e9ac7635d0a23d5d9db5d0cd34599bd5141799f9930193ddbf75e06927302cd1101ffb1aefa6cb282227706a6b58548659c1414fa34e9b7386d990
details[array].value.heartrade_bpm,,,double,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,4902df7c4477313ad906d943c818e39eb9993261f2ff7d34c556cc008efae7d7a75cb5ed3c25189ab8ffe255ad72390b67849731439b549cf2a439b2fd6e65b5
details[array].value.heartrate_bpm,A quantity sample type that measures the user’s heart rate.,https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/1615138-heartrate,double,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,d2a3296ed275327daf7ff95a92f5741b524559e7de1a01d424735b5a1459731b9f94f7284168808d46bfca34d36dce505326c19f32ae3dcd5762f28464a7df8c
details[array].value.resting_heartrate_bpm,A quantity sample type that measures the user’s resting heart rate.,https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/2867756-restingheartrate,double,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,0e50e8322ab09505a283c79baf5f4c97a9d670ced536892af16b06058cae897a1a86b2cad538f5ee7f1d6a8672117702d998ec34dcac307482f0f20f86f072b4
heartrate_bpm,A quantity sample type that measures the user’s heart rate.,https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/1615138-heartrate,double,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,386d57db264065397d20419c168818421c286c34b73f2963957d45e351267ca98c959476e82c7f0695e4cbf58d15683c57bb5241586d6f25c2736a76c2bf67fa
resting_heartrate_bpm,A quantity sample type that measures the user’s resting heart rate.,https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/2867756-restingheartrate,double,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,ececd3c69b0b33d9660859be7122fa5901ee5c734cd98cd167cd32e5abd218b3d661cad0e2f50fb87f9f5bcd338d017eeb57c36a2db572941a916b66ebdf7c91
is_aggregate,"Boolean signifying if entry is aggregated (which it is for all so might remove due to redudancy) ",,string,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,c97fe19750a4f6fd0a08315123f7fa28ac324098eb497d79b6198a5c7136d4a77719a4bd3b7d4ad104e24b97b2c9b8164e2dcb3332c956c0a1eb838c1ea3cbd9
user_entered,Boolean signifying if entry was manually entered by device user,,string,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT,c32c1ac13edaf708fc5348c17c753b13be569639dba40f56f042216270de8984b04e88ceb69df63d55862789ff1a68f5828006f3a20d9d68b762b713725a2c4f
