variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,Participant external identifier,,string,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,be03c8e2f163a438d2532b3d99a73f4920b12ab16904f56afdcb15b96c2e375e904984bb370d28359fe21cd785ffc2d1b3c5837d7d206cd5365e19b6edbc80df
dt,Evidation based date of record,,date,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,20102568189c12a86668de0783a023ab4d4c10e1b125604daae3ff265e7bc7630c11a287c430843503e5df313dd2f7408cd2cf31a37aad9f07bfdbe430d3cc46
details[array].end_timestamp,Local timestamp corresponding to the end of the activity recording,,string,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,8740073f5669f6d9f0480f488b85c01df832f9e7b6afe7555ef45ef5d587173ee5cdf279503173a7364484c3a7082a2f8047c4c1db18e7a03f1c918bfc1b88d1
details[array].start_timestamp,Local timestamp corresponding to the start of the activity recording,,string,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,7f6c792a0683b9a91effff662ea846288e4443ff62165aaada45057830e0cb594564a50707589a5ee1634afdd44ad229b7d0082d902e59e17e0cf12ac117477c
details[array].user_entered,Boolean signifying if entry was manually entered by device user,,string,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,094b1495a4d70e9582e4390ef3391536db649ccafc2c83818436837badc1b12c5b5834f92fde9342194683b8d8366c74e463fd625c75d234ed45b1cf8336468a
details[array].value.activity_type,A static identifier for activity type,,string,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,18efcd8c2a75f9859f16d28525de7b9e9d237834bb014c6f283701a5221999ccdf5d3660367d257c78b95936e6459c6fcc5fb337ffd94143be7ca74263ada103
details[array].value.basal_calories_kcal,"Resting energy is the energy that the user’s body burns to maDoubleain its normal, resting state. The body uses this energy to perform basic functions like breathing, circulating blood, and managing the growth and maDoubleenance of cells. ",https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/1615512-basalenergyburned,double,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,15640fe74f2fc68013c047e13e659b096356a3b3ec9941f30e7a6a857ced5b0fcd4a0a744bbb2af43969f0aad16337558816488f75ad159c6d0d9de82201985f
details[array].value.calories_kcal,Active energy is the energy that the user has burned due to physical activity and exercise.,https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/1615771-activeenergyburned,double,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,1ce989704b18257f0c197cc1b6f884d332f97ae05dd832bcf028ed0e9fe5f47596bbc51b199a5fa52c5ac281a59145594a437a2707c2b7fe02a6464ee0c27b00
details[array].value.distance_flights_climbed,A quantity sample type that measures the number flights of stairs that the user has climbed.,https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifierflightsclimbed?language=objc,long,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,f3c5d2c4c19680dd45dc7accbdc12cd02b70ab3ca66fcc9eeefe267e7026b26ed2ea27d3be23afd0b3035ced7f45e2583d38f2e9cb3e72a5517c87cb6e58e446
details[array].value.distance_meters,A quantity sample type that measures the distance the user has moved by walking or running.,https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/1615230-distancewalkingrunning,double,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT,b43517dbfaf684e631040b19c3fb6d33603648831e08ae159fadcc5c0384947d2e21bb0b1870f3829e4caae962775b4fbee396926e0a65d155ee9b1bdca27706
