question_id,variable_name,label,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
"",id_participant_external,Participant identifier,string,,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,b0503e7b6d84abc946f17abc716b846fd40bc54a9d4809360a7af3fb172eb1e564d82845e0fe4d4cd9711d081adc1bcac3c1f6c80eafb3892e95af4c8a07a7f7
"",time_zone,Local time zone of participant,string,"['US/Eastern', 'US/Central', 'US/Mountain', 'US/Pacific', 'US/Arizona', 'US/Alaska', 'US/Hawaii']",data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,9348c9ecf4f98b35c42a7646adeed14ceae5425a6bafdde2e8b256159ee039c2dd9fcd34572a3080a164bf0e9ace8f74a13c1c5f644e3b70886bfc4ea520081d
"",survey_start_time,UTC survey start time,string,,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,71c97423572f7d7cbfcd55b18405634253c5d341fd7a9110115c5b6f5d67e1fde6c7a5f75ae262e690f2a43823c1dd0ef7b2c54c51d3505580de2c8ed418b2ab
"",survey_end_time,UTC survey end time,string,,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,e003fbd4ee70fe64adfeea92fb94f9d2c17703264ea8293822a5041ba9190dae7756cfb6a08b4a4f7a7e20c4877816691c2edf7345ee887795627c2993a76076
"",date,UTC survey date,date,,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,b1fd765b94fd0aadabf857ff337075d44be9b36a5bc88d8c5b2e26cc47e00bf76471db74599c425e577ddbd381d390eda4af097deca6aa958b12e6c36e69002c
"",total_survey_time,Time taken to complete survey,long,,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,38ba5d2b5c5e01367cbdd31c16626c67e6abf09ea80ec426e86f3fcb2c8debc4cd9639966f53f5d7c787f4f410a9b491d71c1e48ea78315210eeb9a47cab5084
0.0,planning_for_er,Are you planning to go to an emergency department (the ER) in the next 24 hours to seek treatment for the symptoms you are experiencing?,string,"[nan, 'Possibly Im not sure', 'No', 'Yes']",data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,92e32e65bbcd03b64c6935a87042aa73fa25f230c372435c9905fed18272dd507123f5502dac4eba84580dbfa9e747c21ae66ba55591c349a060607fcb82defe
0.0,prescribed_medications,Did a medical professional prescribe any medications to treat or manage your current symptoms and/or illness in the past 24 hours?,string,"[nan, 'No', 'Yes', 'I dont know I cant remember']",data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,f6c9488442449e71049a01d50448237ab910ee1fe24df414b0b4e950628ddf5d68082f8ddc3269afd1e64b6db7924a4b46983708d4f9e731a6b69f741cc284ab
0.0,otc_medications,Did you personally decide to take any over-the-counter (non-prescription) medications to manage your current symptoms in the past 24 hours?,string,"[nan, 'Yes', 'No', 'I dont know I cant remember']",data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,c240e1166cf04206311c27a6149b53c56eae8973a90053aeb8858a8c66a750fb84d15ccd6b0464eb8874e43f5c666926a4afcc3422844cefaa4c67c4edd9f847
0.0,received_care__doctors_office_or_clinic,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",string,"[nan, 'Doctors office or Primary Care Clinic']",data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT,5668e5d03f32fda711c274bb21551696346fb9c676c69ffcb8bfeed501877e2c0326a8b785533ebcfb7873721f02492ed79ff68a8dd939dde0180256cc0f007c
