question_id,variable_name,label,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
"",id_participant_external,Participant identifier,string,,data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,b647a89abf6de40aaeccdcf6d1aeb637eae59401c6292c656ca582f0aca418f82b2b825552d337b932b1d72bee421814f298a0e177eaa7239e31bc47f67f0f60
"",time_zone,Local time zone of participant,string,"['US/Eastern', 'US/Central', 'US/Mountain', 'US/Pacific', 'US/Arizona', 'US/Alaska', 'US/Hawaii']",data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,4a368432ff2a15da6aaeafa850256747b8d7357a163acab0835b1086ba812cabc8c23a2557353b70708f885041cdad532522dffcf8975ddeb79848d61610f78d
"",survey_start_time,UTC survey start time,string,,data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,60be06adf3b9226d570ffed8f4e7fc92406a63f7ba5ad8f6b97ef1245f6c249ef556f8ba7fdbc371d5acbb1348c895102b1c2d8b49880afe57c8e57e0f7c2210
"",survey_end_time,UTC survey end time,string,,data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,5ba599b65b1f562c773a7320a69e3cab8691e98ef01578d1499f24475d8243aaa2ed6c91ff41dacddf40c9a55b506425d7f02db34eff571c6623a40aed2608e7
"",dt,UTC survey date,date,,data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,a8988669b5d1b75dcc19094e4607ce6e33861663fbea74a36f1858d92ef7f0f98f10621dfdc88351042522f78ea3a0942190197bc04918e04e48ed82eed56a37
"",total_survey_time,Time taken to complete survey,double,,data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,56f4ab08b6c5e215553875cb0e2bb35e2ab00e595afb43d852e992b90026441a03ac9f3e610de09869331a85ae6e80ba40a42a3162cf8519a7900a9d0533faf6
0.0,has_health_insurance,Are you currently covered by health insurance?,string,"['Yes', 'No', 'I dont know Im not sure']",data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,3e6fb88fed5c36d00c2071cad370cab4634f0d9b605b2232cd95b4ca0b9ae37f73da5c0ca3f108a561420603343d5018ad6fc44904c04a97c3bf70652b659b54
0.0,healthcare_worker__working,"Are you or one of your household members a healthcare worker (such as a doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, therapist or other type of healthcare worker)?",string,"[nan, 'I am and I am currently working with patients in person']",data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,67d114ae8019772785417f3b638455ce39a164bbaf3ddf94693a949c5140f80db42887ca9ef86e3c7f3ef072e76da13dc297ee05577412e2e44c746aa972d58c
0.0,healthcare_worker__not_working,"Are you or one of your household members a healthcare worker (such as a doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, therapist or other type of healthcare worker)?",string,"[nan, 'I am but I am NOT currently working']",data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,d8425f10b18917e0fcb269957e54e28cc415ce069c119b0717b8b3e14263e9bb78949375c98d57951cf00ef4d220a0bfa11d72f279ee10a85eaf5da15c19f10d
0.0,healthcare_worker__only_telemedicine,"Are you or one of your household members a healthcare worker (such as a doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, therapist or other type of healthcare worker)?",string,"[nan, 'I am but I have switched entirely to providing telemedicine']",data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT,424851c482794ad7992bd726a5b0093d3354d3ceb43dc03ebdf890b7012a45a67b20c843ba44d6cced1ed419638df5d139cf33aa088d5728233b076027bd62fe
