question_id,variable_name,label,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
"",id_participant_external,Participant identifier,string,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,c213e3162447275782972ec8978ec7527c0ff0144fc7b9c9cb161dacc1f4a747c9cbda67632b31e341e1c917a001c01a2f4d9b6678d137428298fe351e3eb7d3
"",start_timestamp,UTC survey start time,string,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,62e5af48c7a695c2c09b2029be8a141180feb613cb8d05223b91f764bf5741272c9a744c5cad5f2ce60cc8c9a60ae1ea299a7633619318803409bd4c9df97949
"",end_timestamp,UTC survey end time,date,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,0a5faaec5517057362b14454a020a30b25fae5b5b8392a15d74c8ef4b75685a1fe498c6a69b68692d39d7dc0080ef82127fcd457e13704c31fcbfdf666bf66b3
0.0,flu_studies,Are you involved in any flu studies with Achievement Studies involving at-home testing ?,string,['no'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,405d0c23de04dc9e476d9957f34d4d77604307ec0427b1f12c2a3d486ee47a686ae9e55f3b57b9a0b3eb6de2fd39fee2ed6d054ccbd012d3c8440bc83341f233
0.0,time_zone,Local time zone of participant,string,"['Eastern Time (US & Canada)', 'Pacific Time (US & Canada)', 'Central Time (US & Canada)', 'Arizona', 'Mountain Time (US & Canada)', 'Hawaii', 'Alaska']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,0fd324f1103cbf1f3d00dd6a00f51786918fdb83e9b363b04c2188ffea1b6e597378ab9b78d4d5624a37facccc3092b58d5c035879686b34b0d5af5ca01e13d8
0.0,age,What is your current age (in years)?,long,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,ea0be6549b90aabf5ad52f1ebe9b4c851ad4c087e672aa155de0e72d8a633b8261a6da7b9eca90911e2596057491a9691003c1807338dd7c02ea9bc2e091e169
0.0,us_resident,Do you currently live in the United States?,string,['yes'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,bc8caf929eea1fd747cbb87eb9fc48440b2579eef197cc1e9b08c121fa973d881db8d4ab2b1a57465903f03c80f503b8bdfaa4057eccdf3ace511284b78fa882
0.0,lang,"Are you able to read, speak, and understand English?",string,['yes'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,0fd5a8711a43e4c07b47f60219cbd043ad09e0db0e0ff86f6e5cc7b1305152c440f84bb6b682229b9cfe67372a68ed1cc3817a03d483d16da9ed37b63c128b29
0.0,daily_survey_willingness,,string,['yes'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,3af01716472f5d8377f3bdf775c9a0b334143a1c4b278c6a9cfb6c3ae695b4c2bcb08ae8e4e588e464d2fc27ddf640c292e88302c69d446d0d9f82747ddd3b45
0.0,disclosures,,string,['yes'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT,6f4128c9fe254e3fd5621736dbb35a087e5a6ad385c546834cd57dec911af057c7430195bdc420f88b7fcc459ec38ec950f8427769d2078b1b55b075c2c9b9fb
