Channel,variable_name,description,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
All,id_participant_external,Participant external identifier,,string,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,4a5b143abcdf84dd1d89a6cfe18a673cadd882ee8ee61305ff21cf9a4f17fafb21e717ae98cfb91244270da15625f33848fc09d186fec5d00829aff732a80b55
All,dt,Evidation based date of record,,date,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,a77a904de6dafcab8e4d4f7540e928a16b3049234e6faf19cb9c94ea9b16bb56046289b6f535d9bb405cd811e5a2c9d5382db018847de4f7e192246cbddb4137
Steps,steps__midday_steps_dec_time,Time at which steps taken equals steps to be taken,The index of the minute level steps series i where the value of the cumulative sum of the series up to and including i equals half of the total sum of the daily series divided by 60,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,fe718f16126581497293c33198ce6171a90205d055d2856195cd537473c3f346259aaeea434d8037d99365bfc61bf9892e83bb5983c199ba5e5c3fdca9997e79
Steps,steps__sum,Total number of steps in a day,The sum of all minute level step counts for a given day,long,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,261997af4dbe9def6c96703d5cebda0ce09949414e5138367414ab975b39cf72d2ff1114a09338bfa7845e07fcc3fb23be8bf38cf99de2dc5ac849dab9b273e5
Steps,steps__non_zero_frac,"Proportion of minutes with non-zero steps out of of total minutes device was worn, no units",The count of non-zero values of minute leve steps divided by 1440,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,8c50daf1fb724068c67494c5307e317638ab7431d98931f16f7ac49c76774bc5be663b526b0379cf025bf543bc83054a98e37e14a66e83eaf90a74a184559b63
Steps,steps__first_step_dec_time,Time of first step taken of the day,The minimum index of the minute level steps series with a non-zero value divided by 60,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,5d7cb3fe51b11032c725e4ba74b137af95aec6f74d590de2e4a5fb2cd6895be02a4990ea8fe8762fc228e243d7221dcfb1771b655f1f0d0b73454e69640d289f
Steps,steps__last_step_dec_time,Time of last step taken of the day,The maximum index of the minute level steps series with a non-zero value divided by 60,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,8bb62b59d481059201fb3d070f180b8a4053388c0eeb976384faffed951d523b3e018818d831e7df5ade80b66d52343ce16bbcd096d89e56e6ff4faac12e31c0
Steps,steps__max_rolling_1,"max of 1-minute rolling sum, units = number of steps",The maximum value in the 1 minute rolling sum series of the daily minute level steps series,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,0c0491af0a8fe18bb77a866772696a607695413ff91639a13b8c37459556c3b5e2d2f1e9649f8e65878b8d0bd59b7b8693f25a5d2bb0e79d33641f64f4196f8b
Steps,steps__max_rolling_3,"max of 3-minute rolling sum, units = number of steps",The maximum value in the 3 minute rolling sum series of the daily minute level steps series,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,772d55c7400cb485c684bfdd7aea9d559fc95cfba91917dc4a770afbf8ef36952510600b0f143def14bbb4389486035f6731211c4295aad9e3be162b280a3465
Steps,steps__max_rolling_6,"max of 6-minute rolling sum, units = number of steps",The maximum value in the 6 minute rolling sum series of the daily minute level steps series,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,ab33af82d510c5a63b44c6293b148a97c1ad2fb63e17307f28d45da0d36941b3ec27c4483884a2af0d0f21252908dd4ce5bcd7dcebdf6af025f7829666ce8d9b
Steps,steps__max_rolling_10,"max of 10-minute rolling sum, units = number of steps",The maximum value in the 10 minute rolling sum series of the daily minute level steps series,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,82de48f1582582a76e0531d87797fe41e795af951bccd571638cb9331829ebaa08134426e80bde5336c93d0fbbd9f555544fc78bf9f15ea48440876fe4239b97
Steps,steps__max_rolling_30,"max of 30-minute rolling sum, units = number of steps",The maximum value in the 30 minute rolling sum series of the daily minute level steps series,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,a80e53be1f51dc7eeaaee4a24dd5482825853d6c3ca59b85b6e7542b036a9cdc520708d7039f8e7df4c5371860c2546250f4411c9332c3d8a9cdfd7ce845c8cd
Steps,steps__max_rolling_60,"max of 60-minute rolling sum, units = number of steps",The maximum value in the 60 minute rolling sum series of the daily minute level steps series,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,aa0028d78fd539baa1340bf8e84982d4211d4274fc9c9ee12e40b505eb264c672b37ea9eec3270814558e38fe4834ab66fd2d4598a9244950a487f96e0c0c62d
Steps,steps__max_rolling_dec_time_1,Time of max of 1-minute rolling sum,The index of the maximum value in the 1 minute rolling sum series of the daily minute level steps series divided by 60,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,e4d99d9c7f2325d249ac4a62f20e58245e3e515abe79ab9c12bc71375cf5b28c4849096cf4f30b52a6419db742e221df74c3a5f4285c9e897670e7b9b70c6a54
Steps,steps__max_rolling_dec_time_3,Time of max of 3-minute rolling sum,The index of the maximum value in the 3 minute rolling sum series of the daily minute level steps series divided by 60,double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT,88f6d048c15fdd81ed9bb3b90fd4283d49bba601b1832e3a782311897109be331537ca5d3fe1344635b5698a82363fbdc9b22a6a0e4b0cc59ea42e7b43b66018
