Channel,variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
All,id_participant_external,Participant external identifier,,string,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,8b77467f56f9746fb092229d418d244916537eaadee939e1ee19e391f1e6c768c43734d78e7b19235ee95520761bff504a98b51631a874152ca9251f152894b9
All,dt,Evidation based date of record,,date,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,5a34c11e780c515debc156cb3ea6706be2fbf727d76cb971b4148a9aa03ef23d12567714c2dd6c97b7b7aff27b7f538868b1088ab5e1621d91c6fd176f662ea5
All,minute_level_str,Series of minute level step and heart rate counts evenly spaced with 1440 values representing each minute in specified date. Sleep counts are not 1440 but based on the sleep period,https://dev.fitbit.com/build/reference/web-api/activity/#activity-time-series,string,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,99ff8334c2855a4ffa4ac04b6524fb4423afb5e1578d685984b63da4190c1d274676e597e22393c9b47cc16d637cb41dbafcf5921ee1fc08a10a9183882bf2d2
"",is_all_zeroes,Boolean flag indicating if series is all 0's,,,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,3244f139d9439cbaf9bca8d73618498c178b4f6b7b0448146fc8e8c7dc8588b0f167f5cfc81f28e1766d0de1df6ac67e7a12eeb094fe1e8d20c4df88cf0fab04
All,is_complete_minute_level_str,Boolean flag indicating if series is complete (i.e. equal to 1440),,boolean,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,18b27fb113a518a71b50fabdc5316bee30d91e0f0b865798c140fe268d44b1d51ccb27c80cd3b21ecee9871b5576d9b5dd63fd9497c4dfc11d39fb0ff6a0161c
Sleep,num_sleeps,Number of sleeps (main sleep + naps) in a day,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,8d8c60bf86f2a4f35754b725ffdffcca9ce88b29c59ccff907cac225c32736887fea7718e715fc3b1eefcc93843a2135b2cf1718b3172b4cec8dd584ce098caa
Sleep,nap_count,Total count of naps within sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,boolean,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,3bedf9afd30deeac3a61da6339ff31e2fcc277c159609c20115567707b09670ab1cdb36cd335042587c062e374bb5d6d12bd183afdb1dd51f20fbd3024fd8f32
Sleep,main_efficiency,Main sleep efficiency score,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,1fc4da3c96abaa5fec33cfeec8bcb877bc9930e6ee57f980c27f2f225c7e19a5f812bc1a1b252911889a0ca6a1542c174a44bb80b7e524c5fde414feaa45773b
Sleep,num_sleeps,Total minutes asleep for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,8d8c60bf86f2a4f35754b725ffdffcca9ce88b29c59ccff907cac225c32736887fea7718e715fc3b1eefcc93843a2135b2cf1718b3172b4cec8dd584ce098caa
Sleep,nap_count,Number of naps in a day,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,3bedf9afd30deeac3a61da6339ff31e2fcc277c159609c20115567707b09670ab1cdb36cd335042587c062e374bb5d6d12bd183afdb1dd51f20fbd3024fd8f32
Sleep,total_asleep_minutes,"Total minutes asleep in a day (""totalMinutesAsleep"")",https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,2bf91678182cc3e3f22bdfd799d7506f83c005b6814a51d4a4083ae91879998455f77506596508b4db8c14013ed4a4cf94769075e5883c97cb24126a81ecd21b
Sleep,total_in_bed_minutes,"Total minutes in bed (""totalTimeInBed"")",https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,4ffbd60322f8529f2eb693e63c1afbb83514f0cdbbdeada00237570ddcb0e670e2644ef08ab95a650a32586e23e7cc4c18b4d3b8d75c7382b659d99c0e47038d
Sleep,main_asleep_minutes,Minutes asleep for only the main sleep,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,3026d7fddefb36032df41cdb9f91f0a401ba508d578e9d907324304eb0286cbf967bb3575f6879f84d14d7e6875dff0b35c6203dd957cd299cfe968da550cba7
Sleep,main_in_bed_minutes,Minutes in bed for only the main sleep of the day,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,f105257dde0ba062ed5f5b7f9d56f2af816fd00cfdba88da271c6f3254929fd95f7dbd210a1b8224d9015e7408970562e362bae77e30781c53815e5f598a4331
Sleep,main_efficiency,Sleep efficiency score during main sleep: 0-1,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,1fc4da3c96abaa5fec33cfeec8bcb877bc9930e6ee57f980c27f2f225c7e19a5f812bc1a1b252911889a0ca6a1542c174a44bb80b7e524c5fde414feaa45773b
Sleep,main_start_time,Timestamp when main sleep starts,https://dev.fitbit.com/build/reference/web-api/sleep/,string,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,34b13000d6b8320e4c0f561eb88e9f46f8b85d1ab46d68aaa504bfac2848bb56bc8e342b10298afb585ab3b558e9b27afeae81b7ee42b4e63d3c40b7c8538ee1
Sleep,main_start_minute,Minute of the day when the main sleep starts,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,5d6f688b1de01ac6f1ad9ff1768aa14165ef53736186f4e06732d569939773bf7e1598fa68c1c878c01400e1a78a07e52dfb993285abc3f50227e0c2858c26c3
Heart,resting_heart_rate,Series of minute level heart rates,https://dev.fitbit.com/build/reference/web-api/heart-rate/,double,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT,c81e83a6c157997e0a9f5b3450cedc55181499c2feb4f46810c03dee81b9069d27bdc66b2c35ea7abd190471de4dba4ed69310efca5da1519acff3e8c97028ed
