variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,Participant external identifier,,string,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,a2a6d4500a0f4cf73233fdc2e7809cc6b0d24ed43aa4d2c8c6d90233d3d87c6e7e4e670dd0dcf03c9da04209d1899894b49d34af3db0286e20aac0d0af8f4bca
dt,Evidation based date of record,,date,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,b49d81f7994c1eea93778312b0d684e7423c96b212162a0e6e2b45af0883958f43ce427622a9c3f3d750b5a9b75f18c472e25edcd6f756c4f613180e8e79c635
activeduration,The amount of time spent in activity recording,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,fe529b6add40f6ab65826a64f94888726fc4724f4f57fdfe20697efefd2d17508ee0d0b22f84dd3c1dbc2c11d71685aa75f94da1933b6315ebb5b7f0954c8ea8
activityname,Name of activity type for activity record,https://dev.fitbit.com/build/reference/web-api/activity/,string,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,0f09a253896a22f857e1fe0b860778d73cc9156d0e4c0754d18e83d3cde139ad05b7bfe307758adb0d7533afcd5c96f33ff86b1c5933e2fb8330035ae775aafb
activitytypeid,Fitbit Native Identifier for activity record,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,2c8fd32f50671ff18cf19aa815fbfcfdef1663a398db0471c89216b54d3f0874f7430b1324406de4c7651f29e77466804d9dbfc90cd68637c295072a7cb7894d
averageheartrate,Average heart rate for activity record,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,de8507f8677c5c58a853fd1f5bd0f22da57f0022940e1130f535c5c372b15b0615fd15cfe2e9ce4f9ef4bdcac60e44207a5f8df3294f5d5780a71cb4aee2a36a
calories,Total estimated calories expended for activity record,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,e2c482c171c35313e6d6a8b4687e57b9292492ab732f5ac63572320b7e270ca36a9dd5805e3d21fd6e36cd25d543b242fe390d086724fe9fbeb625b5ec3dd4b6
distance,Total distance for activity record,https://dev.fitbit.com/build/reference/web-api/activity/,double,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,82a2bf79930f79061e3f59cc824a8014b5e4c6bf3afdad9a7d6ef8e0dbd004df175f61a70421d4b19047cb1f9cf59a0483d6213526b4cc73cea8983f66b0831f
distanceunit,Unit for distance in activity record,https://dev.fitbit.com/build/reference/web-api/activity/,string,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,4577e34dcd4b4c127bd6a0be265dc9cc0f7b1d9efefc0c259eae64b5defc91ebff3d32a5b0622634041d6c9b7d8e713b8b85fb6b7999b019e9937067f3dfade9
duration,Duration of activity record in milliseconds,https://dev.fitbit.com/build/reference/web-api/activity/,long,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT,e3c73c2cab476b1c472ec0577c26125da68efe3b29db3b4c926a01dcf2765c9b71fcf6bc0196eceee98958e53b7600b194a189def503cb27c9a38cdde0bc84c5
