variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,Participant external identifier,,string,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,b278423ae1a11186212f771abb7dca7598dce6a86f0f4838683b71510cf5aa686dd7705ff80024fa3742a4178bef7555e2849a43510890c0fd393567401575db
dt,Evidation based date of record,,date,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,e8ec63f91464b51e7d3c3fde273f1c9501d1bdb0628a74ecacb8577db30b072bfa3f7b47a40c832245d6c4070206b78a2b8c1f24148b20c70bc29bb7fd054dad
datetime,Date corresponding to Heart Rate Zone recording,https://dev.fitbit.com/build/reference/web-api/heart-rate/,string,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,d195db23ccd4b527105f0572287ed83bebaaa1c619c5c6138fd6db7e6b6e36bf52797aeca60a69c6c3440fdca0ad15c336d225540790332754ce0cc67c9dac15
customheartratezones[array].caloriesout,Total estimated calories expended within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,double,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,04cd9bc04791da57cd6f303caba7d72d5be05ef43ff9ed4c04ba5283da3067f50c012a3db285efc0d165bd613d4e8eb80a7b4de20b9f8c26bcad72f9fce1eafe
customheartratezones[array].max,Maximum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,c88558a3e9282f083b1d03a24d94e60eeae59360974b7935d7c0ba44ccc20c2e4ccfadeff4e0d0fe9d43770f83fbb53b1320619373e1528bdf87afbd09ef955e
customheartratezones[array].min,Minimum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,eb5e14f55a42ec65b3dddb7a5a511bed9e59bbb257fbab213b363c8f62d423a8d9a99c6d8041e00a97256494f4532e48e503d2d7a34ebe2a79a494dfa12d1932
customheartratezones[array].minutes,Total minutes within Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,b0437cf4930badb561caa02450b3515d58303f792a8be9f85118327c18f259f11d908510ee33077b382d5b499e15202060a0a35b4d577fb7801fc800481c10a6
customheartratezones[array].name,Name of Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,string,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,722fd6c08ec9d6c0c47496cbaf99e1a3145a6f530eafd5849c7792c8dedab21ea87a8be5fce0bbf7f72357427b8aa1f4f968332daf73eead9220be32555efb72
heartratezones[array].caloriesout,Total estimated calories expended within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,double,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,ed5007fa22e2ca423e70d46c6612194fa583e5c22bb579e802fc525449c859446ef962621a0f5730a2134a550ef234189acc93da31c6550323df8bbb82cc668a
heartratezones[array].max,Maximum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,5d8466b6e60fba58cf7568e76ab906705b7def101e7bffb91b964c0174cf7c06a09299ff1bb2ad81f51f9f8655cda17226b82020949c3c0cd2775e66466ba9c7
heartratezones[array].min,Minimum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,6421edf23176961112ee7768f9475a12b644e705476f32a9ba5f793fab069c347a0308d61867e0dfca33b2c618ecf44ba2cfcf662757d106ba7eef5007528f5b
heartratezones[array].minutes,Total minutes within Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,4acf323dfd9e63276ca2dbfb1ebcead3f0b597e800740af3f85b27494f61445313862ed6ff4f82545460e5a8cafbfdb71506b7eea759f8accbabb1f3483aadfb
heartratezones[array].name,"Name of Heart Rate Zone array. Possible Values: {'Cardio', 'Fat Burn', 'Peak', 'Out of Range'}",https://dev.fitbit.com/build/reference/web-api/heart-rate/,string,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT,1fb9b630280ed69859fec22b08bc6a747b0ffba82a7ba882bef013ff4dc61bc5d49e77c854689d72ff03401203c1c563df8b8e48b1119b0f4c804c454afbd141
