variable_name,description,seeAlso,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,Participant external identifier,,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,5e99f11f1ec0c0a9c349f01106cae1a6f445bc64655b74e1997fdd780ad1da0cd52cf8844278f35ddde1ecbd520ce74dd01167a15176c9d8940b8717c27c6789
dt,Evidation based date of record,,date,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,4acb98cef647bedf2623713164ce1eb60b4fbd2f8a86eefc188ad917f1adb30e6dcd1c8bf6f9fae72b2d9ce3da5bfbb582177708c81be20c7eca660382b9e9c3
dateofsleep,Date corresponding to sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,bd1e8497f64bf73562cde3653e9fab7de442a0185199136034be5232f9952519a562fdf7fd03b9f9db7148170a9a7360164ddaf3ad11ef7ae300996bb02de4bd
duration,Duration of sleep record in milliseconds,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,dc685e94900133b124dd2353062081ae17dbb7d372ac56d34fcf12db04959e55df66c77979bb3d9d3bed7f1ec8a4078e80d8116418ecb713f4a382b287c9272b
efficiency,Sleep efficiency score,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,006c1199cf70b00157cf82856b4f86f30a6a6482e43209b166b5d0212ce330fe432b0168a4458a1899ab1c540adeb1a3892c55d9101c93ef60f2d62361f1837e
endtime,Date and time the sleep record ended,https://dev.fitbit.com/build/reference/web-api/sleep/,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,66abb4402ad393db1a17e33b9d02092f26b93f14bfc3ffe3c84643071e5d512e39c96d584e9f6545e8597a8f33ea3eca109c10e5d021751f96cca625a3b5da7d
infocode,Numeric code corresponding to Type value,https://dev.fitbit.com/build/reference/web-api/sleep/,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,9e3389eb6a65c69c3e4ab3e97183e3685b9d1896a4daf2391eee879a5fea4888722f3a768d96d00369c85ab1a796cd30999fa99ce0aa285cbe8e0ac9a5f8ab24
ismainsleep,Whether or not each sleep period is part of the main sleep for the day,https://dev.fitbit.com/build/reference/web-api/sleep/,boolean,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,03b88a1281d6ef48932c373d1bf16398f199c961564739cf82a73044b23ee7d39aeeb77b05669ba5e4cb47b1a42c5c1f2e781b897260c52063b75d94a0d14c79
minutesafterwakeup,Number of minutes after user awakens from sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,de68c491be6402a29a78f1fe1d4c03ed69cc10b562484a8ae6a17875295d4fc7ea9bf214d4ded59491f6a0334b4bd7427e1d7ca5d5ef8cec99821eeafecac81b
minutesasleep,Total minutes asleep for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT,9c8335b198f8741d56e0fe67a89657c3cea780d97eba7901c2307585076dbbba93fa7344cdaa1c2b0d2877d00c2d446e2b3d24829acf3a53e7fefe470fe4d1b5
