variable_name,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,Participant external identifier,string,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,b4d0a889ca16233d9e9d7218703d93354b32fd6cb193851e4d0e95bd8ac9f970fbc98fec77927fd0c30185b6c813f4a45124a7697d389c3094223cd11bbfcb23
dt,Evidation based date of record,date,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,0bf7ec8b7c65c348305cf23481fdb14e8a0847247c1132acbcef16d9fd1c32827595cc9e002258028e2963c311464acfb0614d1614ca6c94f9e5352b6a818b32
awakedurationinseconds,Time in seconds the user spent awake during the sleep period.,long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,a1e0455c7c01a4fd78a3099f0c1809fbdebb2fe8cd59f26bd28c423ceee3d0834b2d6cd0b66ed0ba31eb7296392b4db5a52abb5bb5497e9aab33c4dba88af3cf
calendardate,The calendar date this summary would be displayed on in Garmin Connect. The date format is ‘yyyy-mm-dd’.,string,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,e36b2e95d5a75875f46c0cb27042fa226f0131f8e5003d46fa9fc634ac9c668fa33317d4370cbf97b20258180728a652f9b68462d91c2afbcd7bae63ffd4205a
deepsleepdurationinseconds,Time in seconds the user spent in deep sleep during the sleep period.,long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,7274954188c17a154f0daae5cb7c59296440e857269481fe38542268c0041ed88a0d6e70639b122c354e7fd33ab19e2eb1976fbee51c35c591e658e362e6ed15
durationinseconds,Length of the monitoring period in seconds.,long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,b6cba20c28791c4df5334a479d48b95d9abb0b33d4df8b200d2b18de956426ce3d3981e8226d1f74d75c8b97f186e5f61f3e22377e06a7c089e12b6c82f914b4
lightsleepdurationinseconds,Time in seconds the user spent in light sleep during the sleep period.,long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,ff012bdf42bc3fb72734ea7bfce5873d05767000db61585302721701c2dc2661f7d7e4f4b042aa852ce90266a2f65839dc84e3338830c423ad648bddffa24913
remsleepinseconds,Time in seconds the user spent in REM sleep during the sleep period.,long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,1cb096bb2c6a88d4c03585fa90379fb488391cffa4ea16403bb8f02a535435f40d2adc82a90a19306e420b8b47d641e562127eb6e6d132eac97acbce5a4e5130
starttimeinseconds,"Start time of the activity in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,fa5a9936eb4506f03cf8e8e1bd73965c8b5ca9ed66a99b9aad0e73a1d0617b85daf9ab32f769b2fd36d7d0b961ed4f8f46666da0b77c26175810100e8c1439d6
starttimeoffsetinseconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data.",long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,dd6ddcaea8070e8f71c3ba0ebf8b3cd3e210a84267e91e31e6ceba3463bab8fc1e965094759c79bd491fa87aac3bf7294e152d76b095fd870f3af3f371984a3c
unmeasurablesleepinseconds,Time in seconds that the sleep level of the user could not be measured. This may or may not correspond to off-wrist time.,long,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,1bdd62cb4fb29705bde8010d0de50a22346119f13d697d17d166d1242ab8dde9924870bf00edc16f7c2e75448d70faadd4b3ffac07a5cc4d6d39a10d70d44983
validation,"String that relays the validation state of the sleep data and its date range. The data could be auto-confirmed, but the sleep window could have been manually adjusted, or the sleep data itself is entirely manually entered. Possible values: MANUAL: The user entered sleep start and stop times manually through a web form. There is no device data backing up the sleep assessment. DEVICE: The user used a device with the sleep feature to manually start and stop sleep. This type still requires manual user Doubleervention to judge sleep start and stop. AUTO_TENTATIVE: The sleep start and stop times were auto-detected by Garmin Connect using accelerometer data. However, it is possible that further refinements to this sleep record will come later. This could be because the user is still asleep or could be because the user owns multiple devices and might sync another device later for this same time period. AUTO_FINAL: The sleep start and stop times were auto-detected by Garmin Connect, and enough data has been gathered to finalize the window. This status also indicates that the user only has one device so this record can never be updated again – users that own multiple devices will never get an AUTO_FINAL. AUTO_MANUAL: Sleep data was auto-detected by Garmin Connect, but the user is overriding the start and stop times or the user started with a manual entry and the sleep was auto-detected later. Garmin Connect stores both but will display the manual start and stop times in favor of the auto-detected times. ENHANCED_TENTATIVE: Sleep data was collected from a device capable of running an enhanced sleep analysis to detect REM sleep, but an updated sleep summary record may come later with further refinements or a greater sleep period. ENHANCED_FINAL: Sleep data was collected from a device capable of running an enhanced sleep analysis to detect REM sleep, and no further updates or refinements to this sleep analysis are expected.",string,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,bfbd7bbeaafa37565821d1a8d0cfe5d7243f934f6deb06cb4f635272df08bc69f99dbd4939e10b5493cb8c2b9e7628c276d4264858fbcb08efdab2467f4f76be
timeoffsetsleeprespiration[array].key,Collection of key-value pairs where the key is offset in seconds from the startTimeInSeconds and respiration measurement taken at that time. Respiration measurement is in breaths per minute.,string,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,017fd049e1f8b216040d41ee9a6ceb889e9f2c07af1b8d9c9368bad3d305f74c0e4d9f1444915af67e070f2164bc540c7a9a16c232d3ecbc7a9be71647a1faaf
timeoffsetsleeprespiration[array].value,Collection of key-value pairs where the key is offset in seconds from the startTimeInSeconds and respiration measurement taken at that time. Respiration measurement is in breaths per minute.,float,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,1ee389d83bfdad5cfde371d805580111de34ed41d34a586846e1d7c0ba015c324bdc9a4c21ebf47123de033a2938879a98506ba1b018a15b341148958d40e1e1
timeoffsetsleepspo2[map].key,"A map of SpO2 readings, where the keys are the offsets in seconds from the startTimeInSeconds and the values are the SpO2 measurements at that time. Only present if the user’s device is SpO2-enabled.",map,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT,de86aa501a4c9f05ded95348c79c353191474f26b5f3f189c96d26539e09809a08b153fb3e8e8b3c15e27af1f85e410627db6273e8c5c7e708f7bf04cc0bfdb3
