variable_name,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,Participant external identifier,string,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,4a59c5f31a10c6974f55925b4afd6135c01d7561edbfe9fabf3a9ed7a9780b464f9f83f9fd1de76509d6271bec6b16e32d5213a4e0a806b2d3e8d508ef106068
dt,Evidation based date of record,date,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,b667d025b50eeb4d32cdd5c5bb7230f8eeef60f50f3cd6d44bccfbc2fbc645047443456e4058298ca277aa131117cdb8042a22b9a265f11bf8c9ca2bf478a989
activekilocalories,Active kilocalories (dietary calories) burned during the monitoring period.  This includes only the calories burned by the activity and not calories burned as part of the basal metabolic rate (BMR).,long,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,a5ef247dfd75406b698dfc4af25f0bf61d01a5da40ebfaa378baf128803f28f787e7e220106776c0e039e6aa3f4f375b714b0d923c1ac8f052e3098cc1937849
activetimeinseconds,Portion of the monitoring period (in seconds) in which the device wearer was active for this activity type. The sum of active times of all epochs of the same start time (and different activity types) should be equal to the duration.,long,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,a5831e884bcbe2c2f9e9a72f966ad17b1f9781cbcf839a5a1d5e3ca575aa7859a5813c8507557e0383e8f7ad53d7e6f1be024a50e88352d277d9983737e65fbe
activitytype,Text description of the activity type.,string,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,77bd862e43d0400179b5f99736aa9add7e749aeab20d4e0c9bfefe1793f8d75f1ac42e535f11da1f1f4980a1561462f1bf8f8163e916d77a87151f1593011dfb
distanceinmeters,Distance traveled in meters,double,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,6a0003ddc4e7893614439aa913e2f4cc648ea97795379766c85db84a8086fd562f9702d0ade7730a0147aeac4df095cc73b5362baad4004acfdb23fa4344dcae
durationinseconds,Length of the monitoring period in seconds.,long,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,633514ad63eab29ae83a9201f6bb3520de3f879c9d83049544b54982bfaee3f5ed5eaf9d6c642a073bbf694ee8426b64d7ea113664b8e7a160a832b7a374e1be
intensity,"Qualitative measure of intensity. ",string,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,0b12ad544815e481e5ab8be8305c4c83e70fca7715f6c087200f44720f9519e02c796d31f56f6844e710a7e6be440b97c11f280a9efdec2f9618b46308fa00b6
maxmotionintensity,"The largest motion intensity score of any minute in this monitoring period. ",double,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,7d812620fd0f047f683195a1238f7993c8c5ffa3405a6cb1f403e536ac119a0c9c1fab987be934f6d0624aa33b0fd76f435adb4c450efc15478597bfbdf1be9d
meanmotionintensity,"The average of motion intensity scores for all minutes in this monitoring period. ",double,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,fd5f27277469d7573298877ed560e7d1f14447c0754371744ba4ac3703f859b9a8721691d5f5f7f8ce7b4864e763bb0564686ac6adf053a2e7014d24c9ce91b4
met,"MET (Metabolic Equivalent of Task) value for the active time for this activity type. ",double,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,e06cb152d1dd863bf2ae0d90dc136eafb3cb6d3582f6aadba35db53185095353c87826181357049b475a0b3e7ccc51b99a7bf8acb1d97325e20f6db854ae6848
starttimeinseconds,"Start time of the monitoring period in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).",long,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,be46070c612a4ffeee933c0bb73dfc19f7617d293bbd83424b5c7c6abcba22851d9de74194df334677eb7391a16f35b31b7ffbad11bbc5ac113496f650dfdc11
starttimeoffsetinseconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data",long,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT,eaf8da1102c6d9a77d123cfde9e0a6cfbc1f5a8d99ed0c648ac3ecf2f36d4bf6e47fe6d957b13b4592493d02e00098de7c9a9e06c036fff56ed56cf41ff0dc2a
