variable_name,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,Participant external identifier,string,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,f6cdcd3e4dcbf5f86fa2f1bb3a41358a59bde1ff4e8016ebcdbf062e8e1f0e3435ba1b169f95defacb205335d3916cebd4b04c2a04233d648ea5e97cc759861a
dt,Evidation based date of record,date,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,1e816391e6a91b3217f7016d61d0b4670ed1399fd7418b43bbf8f3aa9f92bf9d938d6c7e7239c93d990ade37986e020eebbde31aece9521be5bb0c128f544613
calendardate,"The calendar date this summary would be displayed on in Garmin Connect. The date format is ‚ ""yyyy-mm-dd""",string,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,589ffdac8ea6e45f9faff2b71988ad8987356efc55c69e4bdb4bde4593fdbb02c7502b1acb391f92da4b38a1e064718fe9ef90c4bcd7fafdc100178461ceae95
durationinseconds,The duration of the measurement period in seconds.,long,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,cc864d9017111c65eca890ffe40ffc36b815bcfdfd921b181c09bd25b50290b91859c7bd1d3e0f0598c4c91c9cdb4b037e1790227452457f36d9a714384f2b37
starttimeinseconds,"Start time of the summary in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).",long,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,2084589a504c730de5df179f19b673823dac74d202288a1482e3d327e82e83b70b2a5bcd40e2d0bb45430b2d8449e6b7d4ae4c9aa47cc1db4045262bfb28fd75
starttimeoffsetinseconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data.",long,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,6bc6e79cce5b32c6e1d4599ef7005b76563b6dc8f70c5c767fb64490fbd69ea165d00d62a77533a485c9e4592a87236b337a2236c2650df6c65c4a8daaeb5ca9
timeoffsetbodybatteryvalues[map].key,Collection of mappings between offset from start time (in seconds) to a body battery value recorded for that time. Information on and a list of devices that support Body Battery are available here: https://support.garmin.com/ms-MY/?faq=2qczgfbN00AIMJbX33dRq9 .,map,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,6394630b7f5903bc14a5eb334cbc52770ee1404e176553c59187b19ca65d3b20f113d4dcac9dd424431c39ab55fea41b234ceb0df485d610677dab91706d8810
timeoffsetbodybatteryvalues[map].value,Collection of mappings between offset from start time (in seconds) to a body battery value recorded for that time. Information on and a list of devices that support Body Battery are available here: https://support.garmin.com/ms-MY/?faq=2qczgfbN00AIMJbX33dRq9 .,map,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,7441c0ef97f2296094b99bab4f7387a9f985410061f84ae7c42965c24e6eba55823ceec969c51d8f0159a30adae815e69208002fcbe9750ce93dd443b793548f
timeoffsetstresslevelvalues[map].key,Collection of mappings between offset from start time (in seconds) to a stress level value recorded for that time.,map,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,79a9e71ed7bef8f810472f9f7cbc139645b4e909be817ee43dcc10cc2a3a323a696242eb58544b42546621f3ed306ca5f4614f3c78af1c820f70bdf7ad3ce4ba
timeoffsetstresslevelvalues[map].value,Collection of mappings between offset from start time (in seconds) to a stress level value recorded for that time.,map,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT,b198b1c45e415070cc26198a25f8c2d0755730e1fa820896fba724eefe66d61413b1795126eb8a142c7fcbe3884b585bcea85bb68c16bc491bf1b8c0a80927cb
