variable_name,datatype,label,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
id_participant_external,string,Participant identifier,,data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,12aba97862f3d480f79a0fbbc0eab036dbdd39c52cf310630f80f3fa5b6681e50e6c9b82795780552f4a56469c9b6710b03255d58987a456b9a00df14bf74221
demog__zipcodes,string,,,data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,ae5efede9134eb1f114aa745ff13030122069d27d8c9604b4e1cd64a0e58d0fa57d75b97ba46d5c1b9eb5f885972928b6465025508135844401788c1c36e8406
demog__gender,string,,"['male', 'female', 'other', None, nan]",data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,95ed468d643e3d8e08050b9afe4c8d0a71be9409449bc7226967aa9dd8faa8409a6c2a24e92e280ce8b66ad2e3035eabe5a43e15785e5b2aaa02e3c2ca5c938d
demog__age,double,,,data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,9065ac7fdfeb95086a30b0809c29323115a40b109d62b16fbe8765fff5556f741c95fd9a32c0f9c1a0ccc3ddb8dd9af508e648a6092e05d5ce764837efa4ed09
demog__have_children,double,,"[nan, False, True]",data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,f0733bc462c9d4f7f7e025ffc32ce9a9bc17aa224f8bf0cc944a02d3b796ba847eb19612cff2ace8e16e0f13ce8001b1c5748981c97fd27f414f1b2d9714ed07
demog__education,string,,"[nan, ""college graduate, associate or bachelor's degree"", 'graduate degree', 'some college, no degree', 'doctorate degree, md', 'high school graduate, diploma or the equivalent (for example, ged)', 'trade/technical/vocational training', 'did not finish high school, no diploma', 'doctorate degree', ""i'd prefer not to answer""]",data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,8c0f72ace2a1e506cda3ed754b81a30e4a442eebff9367e76722029de0df305f2521fecfe0863b4aaf728728742b3c8b666335648ec1544078049b237ab01362
demog__relationship_status,string,,"[nan, 'single, never married', 'divorced', 'married', 'single, but cohabiting with a significant other', 'separated', 'in a domestic partnership or civil union', 'widowed', ""i'd prefer not to answer""]",data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,2b3328b4ac6ef2629875bcdfb7047e567765bcf51dffe20046f7b9f060b9cdd6309f5e9e67bf7d9d6bbe466d2469cb991f4345de2a9cf62fd685382d472dc45b
demog__weight,double,,,data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,f34a70a9890a5d014fbb7ccb4f24895c6c66e29efca16af55ee0a1e1e2de3d180a019d62f846826034d1241ce391f4fa7344201b7ea1d9034b6fa90b281b5c2d
demog__height_inches,double,,,data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,2109e48c41234d1e9f43c619d7fada493b81fb1afae3909951ef5b5f9112b8cae5d9c57762945f08ce5c7fb7b5a922d2b220e9fe825c3f8b07c6fd3c49bf153e
demog__race,string,,"[nan, 'prefer not to answer', 'white / caucasian', 'black or african american', 'american indian or alaskan native', 'asian or pacific islander', 'hispanic or latino']",data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,60c350a1e0c76aaba2cb70cd8b4415433c4376860527efe090df9d9c69b9496af0bfb036ed5809829c1c2d798eb4562f6d71adf3e5a2678737aaa37303245afc
demog__bmi,double,,,data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT,8298fda7a5065dbeb3c69bb0d73e0b21e8075eb8903b965b80c6e48f6ae2a1b5e03b263543bf10f5c3226f1a5f262462c3f6567c8a0c44ad916b26b2e007e6eb
