question_id,variable_name,datatype,label,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
"",id_participant_external,string,Participant identifier,,data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,51da1b1eba434571f0871c1a0480690416e97284a853956bd7912df60b938bc1e1914fa2d539dd2d64cd376abf5b1a899502735e994018903779dd90a3a8b2ae
0.0,ts__created,string,Timestamp for survey,[],data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,372bc17c0bc26fff984ada508faeb720a2d7903c158ec8e1dea0525694f8b81bba3896ce4685f47be498812ec516654454d8e62570de7d0f7d4a1d2d3107a0c7
0.0,symp__start_date,string,"When did you first begin experiencing flu-like symptoms? If you don't recall the exact date, please provide the best estimate.__Date",[],data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,18a9f6f3cd479193d5618798721d6f8d9dc179de3ec7bef23cf35a82bd092b07a8f8e141ba5ce96ccc219f659bf557150adcf103f0d24f47a5430f276f7513a9
0.0,recovered_today,string,"As of today, do you feel that you have completely recovered from your illness?__Response","['Yes', 'No']",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,37c5e477d15dbf8eae29050b25b316eec0566bc5347b8fc00786bd4a9155a69c0b7a7a7d054f31280da71e9f2d82cc82520ffdef256dcbbbc4a045cbeb0cc056
0.0,symp__recovery_date,string,"When did you feel you were completely recovered from your illness? If you don’t recall the exact date, please provide the best estimate.__Date / Time",[],data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,597add837db1a0ef9464b4fcac58503903e97f003eb3c4eed33e5026f0c4a18f501ef4780652e1ec1708bac6fd24b745dc9b7ec489528813ebe55dcf8a688fe1
0.0,symp__cough,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Cough","['Cough', nan]",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,20640e6ff69d737f96f3147a279addd4ed62c58276939a75464cb3f769881f6e2d20be83efae894ba48401e8159c65c23b452a9380048c092d377a9088dd7812
0.0,symp__bodyache,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Body/muscle ache","['Body/Muscle Ache', nan, 'Body/muscle ache']",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,89786828d47f00dbcfe5affa8b293c2e54aa7f67377b58d72ef8c430b49646bc149639344b9f11204c882cfa362b927aca364b7d5743b9a358d4625026c8d98a
0.0,symp__fever,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Fever or feeling feverish","['Fever or feeling feverish', nan]",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,caeffe21ec7f6ed52ad04af364dcb52199d63ecb5dc031ded225b34ce7bd576ba11170240c3db0b0daca8b8701e0f74b71cd20ff00f7cc92adb70634ec07bdef
0.0,symp__chills_shiver,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Chills or shivering","['Chills or shivering', nan]",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,8636f2ac7a876b68b226dd700fcc4de228236cba4c041af4d9402c3565f328d1da71b12dedc1e328c70f380e7ce52e245fd6a24060a0f096a06e3444155b9953
0.0,symp__sweats,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Sweats","['Sweats', nan]",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,3ddda2800c50b6eca5f7ac5ff5cf08130b434e96c71bbd90b806241359e6a04aacf64ca0516d7683f53649ea40279fa766067c4a136ad6b562b725711199743f
0.0,symp__headache,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Headache","['Headache', nan]",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,29a87116a7e7adb0cc117285c15c5f4a7bce48c7ce938eb9b9cd24688f4c3184be4c2fe95858430c8ff16ef764cf8703b0e27759e26f915daf4bb67306b048a3
0.0,symp__sore_throat,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Sore throat or itchy/scratchy throat","[nan, 'Sore throat or itchy/scratchy throat']",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,6d74de23d3eb52dd64d11ded2b65a7f179cb9b1c7904d3cad81d99cace92544a7a3d4eec5634cef8a05ed344398c5ae33b0c32fad1bc2cc114d0030c7f222e47
0.0,symp__fatigue,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Feeling more tired than usual","['Feeling more tired than usual', nan]",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,4ef309a1d07c98d40e8968685852232920eba878e15ff1a3f385d299fab8dbe240238c676548364069be5b755fddd19d3da56f806f0e80c5e4c04609da9ed416
0.0,symp__nasal,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Nasal congestion or runny nose","['Nasal congestion or runny nose', nan]",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,c98fb8d5c3eed585dfdb8b67d5b6934870950a831ec016f24518da3194f00600f6b15ff15748c1c93bb5e84627063636a854c33e83aa468d9fcd0100e4a24568
0.0,symp__sneezing,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Sneezing","['Sneezing', nan]",data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT,ac83186e8a522e55add631b59902fe38543de58627b0a01ec1b57c5fc7efe1ff2bff127242b7da39693313f7a24a4769b610d39bc5a54d1a43bbd0afd18b7bd7
