variable_name,description,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
immunizationdate,The date and time vaccine was administered.,string,ISO 8601 date-time format,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,4d5005eb56d332ef02323434fc844cede027a6f7aecc9bd449a522fd8f5e9acfa9cbcaec59cfe8ed476acb2af63fdb0f680ca4cc6c2b2d079a1ef22122c6d406
administered-by,"The EHR,Pharmacy or Lab administering the vaccine",string,"32 bytes ASCII ",data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,184b2c0b448b3f3335d2cf3d7f23407ba2386e61c3dd0b63df6035cd0bd60edbd6e38fb5090c6a88793d5352453420b0e73481496b1847d1e2440b2e12afa0ee
valid-dose-count,Total Series of Doses needed,string,32 bytes ASCII Alpha,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,03b00a8e8dadae326f539a74582f52cc08cfe066dcd585e9d8da1097fe6cc931bc69f535d237a0aff52e556c3f8ac1bb2742f557c886ffed941e8b9a2ed6be10
vaccineproduct,This identifies the vaccine substance administered - CVX codes.,string,,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,ac49f9f28cb4a07e22cd3a1127ab411e4b871aff456856edc77345c2de100f190e748ee22e00200d1e2fa0ca174df793bfe3dd2ad14ebed31e630b5fd63bd5e4
vaccinemanufacturer,"Marketing Authorization Holder - if no MAH present, then manufacturer",string,32 bytes ASCII Alpha,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,8ab7a32541c3ff17a733ee9bdbaf946612cdaf338b5c0d3edba853a70731bb73f11ec3cd4cbbb0d1d2b74df654c3ec6e1a4e19db26e63b207f896f4e2f15c91a
vaccineshortdescription,Description of vaccine from CVX,string,2 bytes ASCII Alpha,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,de4221d4a2d367accd9d35e214baa31d38b613f3708e0e952a18f0ad80b3ce2139c2842a08820b8039a2a7d8d6bdb74716833ee8139391bc24eef7152fe6b304
countryofvaccination,Country of vaccination,string,32 bytes ASCII Alpha,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,236ac5dfaaf92f7e11cec54a5f636122308b2edd9e3ac8bce7a214ff3424d0a6a55b658b2d366504c5ca03d653f532182f3adae7da27579389e32066637ffdfe
series-completion-date,Date time when vaccination dosage was completed,integer,Epoch Time,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,9cfa660626a03db7265dd9f2cff006a28f5a72683f647a24cd4c86d711a70a593167d0011861bee700e20930aa3d3372d3c1219c9346abb0f394450a3ddded71
vaccine-group-name,Group name for vaccines in this dictionary,string,Covid,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,14026473f6fad47b2fee84296607fb2bd598fc062605beb4088bbe5098b67064f08ccfbc278f3ced9341f2a97838b6e66fea71a183a27581e0750ecf14be3952
vaccinecodesystem,System encoding vaccine product administered,string,"256 bytes ASCII ",data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,bf46af7c30ff781a3b7c73a2f0902ac1e0d59e5efba436a02facede3b154ab843c099f249779ef48125f0383df9f221c68cfea244b36c9367ebcca12d796532e
vaccinecode,Code for vaccine product administered,string,"256 bytes ASCII ",data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,5eacc6178ee8583414e890338d426f2fe8e35b85b8decc4c6d7dba8561c1ca739bd3a087a30fec7c994f1993a6347a10212566a07c6659b0a5ca577a5ecae408
record-request-date,The date and time at which the C2G system received request for results,string,ISO 8601 date-time format,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,ef52cc7d5852bcaf8d005010ab440b165deec6d682fbddcd79612ce4e758e4bc4f3538e1c8ece7b9d8674bf38ad4c9fd7332cdb2f1739aca5aee6d8d43d4b924
record-receive-date,The date and time at which the C2G system receive this result,string,ISO 8601 date-time format,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT,a66497c657d00d382268413dc0a64810925ec96de452d5aed8c0f74172d7b87986889dadccff345131a8ba4fa2eeefce1924059cfb7f475eab7a82ca7bb13192
