variable_name,description,datatype,source_file,source_directory,Digest (variable_name|source_file|source_directory)
user_id,User's Unique ID,int,medications_data_dictionary_origcopy.csv,RADx-DHT,06000339189c8dfaf653662d483abaafb28c77e87a65c28ffad58600c4343d61fca9997f9d01bfcd59651b7ee7f6de8f10acbcd73e09833aa417cc4706dff973
site,Site/Referral the user signed up with,text,medications_data_dictionary_origcopy.csv,RADx-DHT,265efde3b201fdf4d492637e69550876208c6ba51df42be797844b681617a55acde8171b1603251436d3039b3a2aea40393ba00d5bbb4c6fb60fc53b313ef323
data_source,Source of Data,text,medications_data_dictionary_origcopy.csv,RADx-DHT,c505af4ab189ad86e829970b89b640909091bd273493f2bbcd7334de6ffe95aad7573bb2b18c290eedbf02507b4d9755fa11eb3f2ec6121668b677f3daa5053e
organization_name,(not currently used),text,medications_data_dictionary_origcopy.csv,RADx-DHT,f79e4d68c79759440677cfd9bb9f1e4f34d62356c843ce31f45d57e298fb7dd1632c88cb2eb465936adcb278ae0576908ca2cf6188d443692745ab4acdebf7af
full_generic_name,Medication generic name,text,medications_data_dictionary_origcopy.csv,RADx-DHT,4d8507936a16ed92b0c0cb26e7311344189f8fb7607d2ec0eee0f139cf85a4583b12a1eea0233954015a44d208910fee60a67bcca09fdea82b10117efdbf0215
brand_name,Medication commercial brand name,text,medications_data_dictionary_origcopy.csv,RADx-DHT,ec8fe63f48015163ffef0f37baa5956cfd41bcc45b2174b868d04632ea4eff47397846d2ed8df08df36c5b89f1b463ce16831e1cd8545204daf1ebd7e8f3871a
medication_name,Medication commercial name,text,medications_data_dictionary_origcopy.csv,RADx-DHT,1434f7f4a2efef9bb0ed8e9bc982d5fe1e73f5ffa84e263fcef28be04ffa94ceb15c8641e9a5abe7b59d732c12983a8c389043a823eb1a29b2b6171844250311
product_name,Medication commercial product name,text,medications_data_dictionary_origcopy.csv,RADx-DHT,d7b85b5729614742d81433324ad17a65bddfbf42745fe08469def1c71472bd0a72fc38aec4dbce79dc412e06a8dddc092235bb6e0e1d570c33bbede059966458
sxdg_name,RXNorm SXDG Name,text,medications_data_dictionary_origcopy.csv,RADx-DHT,e5cc26a2b7d74810a0fa2f8bdeeba2dcbe689ebe49eee22c70533a74edf30f8a784997f07dbf1e7f512a46ef1255045616686f1ac4ddc1eea68ee849d7aa05e9
ndc_code,(not currently used) National Drug Code,text,medications_data_dictionary_origcopy.csv,RADx-DHT,187ccec933b3c1704ce16f40ad2d4b0a3b91c2ea3423edc67ff844735613246db9a6f36c6669dcc3d8809091434fd59deec5c3ebbf64f4f0e6885663fe6e2bc0
