datatype,variable_name,description,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
text,external_participant_id,The unique identifier associated with the event,,survey__baseline_survey_origcopy.csv,RADx-DHT,31dea1a7af2df57ce436c31cd2b2973f08dfabd7c4f6686089cf21a2caaee69e96ba6636c9168b5cbc997d651ad126408e7c2e73c56d08777d4f4bccf81fee0d
text,response_status,"Status of the response:\ completed, partial, overquota, or disqualified (see:\ https://developer.surveymonkey.com/api/v3/#collectors-id-responses-id-details)",,survey__baseline_survey_origcopy.csv,RADx-DHT,96ad7c485aab4a73183de211f50c0091a04214faea320263c26b0bc70bedc82735436d1ac13b01583caf1272dded814f625ab7e8b40f78a911cb8be678fdcc3b
timestamp_ntz,created_at,Date the response was created (see:\ https://developer.surveymonkey.com/api/v3/#collectors-id-responses-id-details),,survey__baseline_survey_origcopy.csv,RADx-DHT,d7bc3376867c7aee9c42bf0f4cf6a8b35409c188b0978747edfcf3883dc14408077d8531539b806357623a5dccfc8e2e23d0578b084873dc9d8967a1d76496a8
timestamp_ntz,modified_at,Date the response was modified (see:\ https://developer.surveymonkey.com/api/v3/#collectors-id-responses-id-details),,survey__baseline_survey_origcopy.csv,RADx-DHT,1892958820d6ed3f2463aa13165748634ac57fd9ba7cf90f7f417e8a9f71258d4f442ad34ccd962123c75c69da8ae881eb05fb3f206b3b8dfc92989a77ece0f0
timestamp_ntz,processed_at,Timestamp the data was ingested/updated into Snowflake,,survey__baseline_survey_origcopy.csv,RADx-DHT,efc808d3ee8e8dc49b673da0d5af58229643348d1b4612ecf973cd6db15b199a1a72cd3ffddb478ac9e65eee12142fa2f80028877f1055142f151b126c969ea9
number,dur_response_secs,Duration time in seconds for survey reponse.,,survey__baseline_survey_origcopy.csv,RADx-DHT,0cce69edd9c51a6bc6049f088312a4b4c72bb7a86781e1da6d50e4947b3cae408e0e690c21e04e494ae76e6f3ba1c61a9470f0710e174b2aa878822282077d45
text,would_you_like_to_participate,Would you like to participate?,"[""yes"",""no""]",survey__baseline_survey_origcopy.csv,RADx-DHT,a8c180b4639120ab6d06955217e1beac73c504b5f7726b6caabfce9194b6ac4dc0cfaed38500b23753073898bc546d22d01313b34c2605e84e88209012446c96
text,are_you_18_years_of_age_or_older,Are you 18 years of age or older?,"[""yes"",""no""]",survey__baseline_survey_origcopy.csv,RADx-DHT,342be7d07bccaecf9dae82a7f5fba209d8bad8cc0aaa7d1cd59ef16a524307ca0fa30fcddfd50496a43ffe5937849d43d0b119ea62fdf0ccf7572a7fc7073e69
text,do_you_currently_live_in_the_united_states,Do you currently live in the United States?,"[""yes"",""no""]",survey__baseline_survey_origcopy.csv,RADx-DHT,ae30e71d580746cf00c5f74bcc424569cc24094f4c76db24e404000427e7243e754458ba4fc8cceea2a6196217465be35224d942560d74ba938f3530eb30bb45
text,do_you_currently_speak_read_and_understand_english,"Do you currently speak, read, and understand English?","[""yes"",""no""]",survey__baseline_survey_origcopy.csv,RADx-DHT,4912f51d860925e424b72d3767e55c6f0cac6e824c279189a5a6421a94ee9c284164acd2f4727876c00be4a5115fe6e4358f6d3a30614633b332477b669b245e
