datatype,variable_name,description,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
text,external_participant_id,The unique identifier associated with the event,,survey__weekly_survey_origcopy.csv,RADx-DHT,cd1753c827d01e484091e3489f71009f3249c0597f4406cf47dab4e5f1383f94957ee5abb0356fe9cccd507c9d2fea0ab369d7ba3070bea3c0a9e0a80d219187
text,response_status,Status of the response: completed,,survey__weekly_survey_origcopy.csv,RADx-DHT,5c85d9b9f3750e4ddd66015e9ee0421dd4f9420515f8edaebd35a93e7e0e38c24aff2421f511314d5b17f2591cef21731b21603020b294bf7975f9ab13e0cb20
timestamp_ntz,created_at,Date the response was created,,survey__weekly_survey_origcopy.csv,RADx-DHT,fcbb4d8c6eed20795d5e76ec683e76a1819a1ad90e9a65a23461449ad3d0fe26ef2a5669d5978db899b93f81f7214d669b6166251ddef2bda62a5afade29813e
timestamp_ntz,modified_at,Date the response was modified,,survey__weekly_survey_origcopy.csv,RADx-DHT,90f6d0bdb9888523acf64541083b818a67aa81c9eabcb72ac5c42b998164aa91c528fbddc840503a15a05069d141ff932d4935408baef4f2675d2bb7cc421220
timestamp_ntz,processed_at,Timestamp the data was ingested/updated into Snowflake,,survey__weekly_survey_origcopy.csv,RADx-DHT,e2dbb883b46b4f2ca56801f819a29db491a96544185627a9605d1889af481310a4444feaf9d51baf6a64ff9a6d956e7229d88aa1f0e7af179957472c8b8c1e8f
number,dur_response_secs,Duration time in seconds for survey reponse.,,survey__weekly_survey_origcopy.csv,RADx-DHT,835bc8a33276c2fcae5325039b9791dcdd624e159bdf07d3a71db93bd907b81f49ce2cc39c37a7800e9e5838f688c544857e2d5c7845f1e3c150820045a28c9a
text,have_you_experienced_flu_like_or_coronavirus_like_symptoms_in_the_past_7_days,"Have you experienced flu-like or coronavirus-like symptoms in the past 7 days (such as fever, chills, cough, shortness of breath, and/or headache)?<br><br><em>If you had flu-like or coronavirus-like symptoms in the past 7 days, but have recovered, please still answer YES.</em>","[""yes"",""no""]",survey__weekly_survey_origcopy.csv,RADx-DHT,4e30a4830d9e22746dbef00a4e336b58b1db8198aba0df238ea336e70881be6af050f7dbf1869307de6bc56d4b5b22125a85df647ea050c4be58b400e3a31463
text,when_did_you_first_begin_experiencing_flu_like_or_coronavirus_like_symptoms__date_of_first_symptom_experience,"When did you <em>first begin experiencing flu-like or coronavirus-like symptoms</em>? If you don?t recall the exact date, please provide the best estimate. | Date of First Symptom Experience",,survey__weekly_survey_origcopy.csv,RADx-DHT,bb9d57b6326035826cb74c16720b08c40e278c86c9afd561db1a9fa8d818f9f28d7352b1ebd11a2dc70fe238c42d7795e0c6cce22636aeebe90045ab77a8ff9e
text,is_this_the_first_time_that_you_are_reporting_the_symptoms_of_this_specific_flu_like_or_coronavirus_like_illness_on_this_survey,Is this the first time that you are reporting the symptoms of this specific flu-like or coronavirus-like illness on this survey??,"[""yes_this_is_the_first_time_i_am_reporting_these_symptoms"",""no_i_have_reported_having_these_symptoms_on_one_of_these_flu_or_coronavirus_related_surveys_within_the_past_month"",""i_don_t_know_i_can_t_remember""]",survey__weekly_survey_origcopy.csv,RADx-DHT,5412d07e5aa6b058fca19993e1525c20078adb17868b16747dbbea83020bdbff3c5431455fb1150111491db91a995b3fcca0c44e5fca3ba9ced72bfc84ff9ec4
text,as_of_today_do_you_feel_that_you_have_completely_recovered_from_your_illness,"As of today, do you feel that you have completely recovered from your illness?","[""yes"",""no""]",survey__weekly_survey_origcopy.csv,RADx-DHT,bf7cb522dda699fd5bcbfc4d9a64db9a43fafcfcf5a73e84d64511d07a2266356b172f12ce1fb75489f0a7595993514ca92f3fbbc9dae3eb9be8925be0347322
text,when_did_you_feel_you_were_completely_recovered_from_your_illness__date_recovered,"When did you feel you were completely recovered from your illness? If you don?t recall the exact date, please provide the best estimate. | Date Recovered",,survey__weekly_survey_origcopy.csv,RADx-DHT,1c9052d64d2561c24def384e2bedc00a129788c8ed58980fb763ad3f0ae4a4e9a0c96aabb4ad6bcbff8bc175371f580828e3b38dd4ea9ea2ecbad1a92cd3315d
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__i_did_not_experience_any_flu_like_symptoms,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | I did not experience any flu-like symptoms","[""""i_did_not_experience_any_flu_like_symptoms""""]",survey__weekly_survey_origcopy.csv,RADx-DHT,3b1f58872137540288c9846de76e6758308be8a1faaf1530b5adbdc9419d851f96301df4e685e59b6b3067fe5df49df5ee2dcd95a8a6a295b47a844877ea1e8c
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__fever,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Fever","[""""fever""""]",survey__weekly_survey_origcopy.csv,RADx-DHT,9e7e2135490aa7b9aa1fe60c971d874b4189f3f06ffc0d98f165eeabc2657171352f6908da77c23b3e4c260f73fc79212769ac076c706e6beebc0d39c803af26
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__feeling_hot_or_feverish_or_having_chills_or_shivering,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Feeling hot or feverish or having chills or shivering","[""""feeling_hot_or_feverish_or_having_chills_or_shivering""""]",survey__weekly_survey_origcopy.csv,RADx-DHT,5f6807f7e81585488539c093192a32c1d7991a9e14d5da2f6030de0af7358c700dcb502d896ab889aa52fc5df05f89deb53618e1d25239ea28e261bee810192c
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__cough,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Cough","[""""cough""""]",survey__weekly_survey_origcopy.csv,RADx-DHT,b105eb437f6c8d4f8a9289cef0ab57fd6ccf14afcb4e3de4087ca430468a8fe85494ba854732f8358724a1b0dc5b7698742325c4a8404935e0e5c9970c54c44c
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__sore_throat,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Sore throat","[""""sore_throat""""]",survey__weekly_survey_origcopy.csv,RADx-DHT,6b68d9bc1228600365829d5c576b5009098d2206707e2b8a636b220496811fef94bf018c1c751db8d8ca0ba5cca4e2ba923c4b6168ade7973b7bf1e81a8dd3f7
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__muscle_or_body_aches,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Muscle or body aches","[""""muscle_or_body_aches""""]",survey__weekly_survey_origcopy.csv,RADx-DHT,3c1cfe120c6490919558268631ec79702a2f8caa2137169409b84ebec983ee3294c60e61dca5ccc0bf2d5de89080124b33eb796c4b1958eb1d1ac0702703e6e2
