survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Baseline Survey,7,primary_residence_country,In what country is your primary residence?,true,select one,United States;Afghanistan;Akrotiri;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antarctica;Antigua and Barbuda;Argentina;Armenia;Aruba;Ashmore and Cartier Islands;Australia;Austria;Azerbaijan;Bahamas The;Bahrain;Bangladesh;Barbados;Bassas da India;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;Bosnia and Herzegovina;Botswana;Bouvet Island;Brazil;British Indian Ocean Territory;British Virgin Islands;Brunei;Bulgaria;Burkina Faso;Burma;Burundi;Cambodia;Cameroon;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Chile;China;Christmas Island;Clipperton Island;Cocos (Keeling) Islands;Colombia;Comoros;Congo Democratic Republic of the;Congo Republic of the;Cook Islands;Coral Sea Islands;Costa Rica;Cote d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;Denmark;Dhekelia;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Europa Island;Falkland Islands (Islas Malvinas);Faroe Islands;Fiji;Finland;France;French Guiana;French Polynesia;French Southern and Antarctic Lands;Gabon;Gambia The;Gaza Strip;Georgia;Germany;Ghana;Gibraltar;Glorioso Islands;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guernsey;Guinea;Guinea-Bissau;Guyana;Haiti;Heard Island and McDonald Islands;Holy See (Vatican City);Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Jan Mayen;Japan;Jersey;Jordan;Juan de Nova Island;Kazakhstan;Kenya;Kiribati;Korea North;Korea South;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macau;Macedonia;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia Federated States of;Moldova;Monaco;Mongolia;Montserrat;Morocco;Mozambique;Namibia;Nauru;Navassa Island;Nepal;Netherlands;Netherlands Antilles;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norfolk Island;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paracel Islands;Paraguay;Peru;Philippines;Pitcairn Islands;Poland;Portugal;Puerto Rico;Qatar;Reunion;Romania;Russia;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia and Montenegro;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Georgia and the South Sandwich Islands;Spain;Spratly Islands;Sri Lanka;Sudan;Suriname;Svalbard;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Tanzania;Thailand;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tromelin Island;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;Uruguay;Uzbekistan;Vanuatu;Venezuela;Vietnam;Virgin Islands;Wake Island;Wallis and Futuna;West Bank;Western Sahara;Yemen;Zambia;Zimbabwe,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,9d6f95ebbe18e1fc38cad0524efd3e883f5ba28114cf92137b30aa992d14d19d579fb350f7d7d952b9ab4302a7044c2c985df50953e4086b0c3723d914347fc7
Baseline Survey,7,zip_postal_code,What is the ZIP code (if in the U.S.) or postal code of your primary residence?,true,string,String,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,ce14cb7811c03eb9ec9e06c828bb43fbba96c77901bae3e11690153e5e4dc3504d02ed3f8098cd52cb046f916cd174d87060c4dc810e8634f5e5398e51e20872
Baseline Survey,7,sx_3days,"Have you had any of the following symptoms since February 1, 2020 for more than 3 days in a row? CHECK ALL THAT APPLY",true,select any,"A scratchy throat;A painful sore throat;A cough (worse than usual if you have a baseline cough);A runny nose;Symptoms of fever  or chills;A temperature greater than 100.4 °F or 38.0 °C;Muscle aches (worse than usual if you have baseline muscle aches);None of the above;Nausea, vomiting or diarrhea;Shortness of breath;Unable to taste or smell;Red or painful eyes",survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,743bdfbdc1ce5b3b686ef10284d3a1f7ad2df7657507040ef8ac7d44b91f16a9d3b42f05f3f0b8ebc8e60bbb970c86f506c169a6d1f3ea4decc0777f3fc47427
Baseline Survey,7,test_coronavirus,"Have you ever been tested for the novel coronavirus, the virus that causes COVID-19 (either a test to detect the virus for active infection or the antibody to detect past infection)?",true,select one,Yes;No;Other,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,6623b67f21b1442dbf08a167e8cee03abd852c9dd71cbcac11685e506bf87c0bd000b389a44f13c34fdb52a6aa4b12939cb408e143b5457e1600a2078ccedeca
Baseline Survey,7,type_test,"""Was it a test for active infection (virus) or past infection (antibody to the virus)?  (The test for active infection usually uses a swab or saliva; the test for past infection usually uses blood.)""",true,select one,Test for active infection (virus);Test for past infection (antibody to the virus);I had both kind of tests;I don’t know,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,cd25a7e49b8d81e8255726635b5a53791c264dc195a6226cbf105d6811bfbe48e9545e53a7fa324c8efbe1d2f0762852e88e55b6b589487d2e4b9d03e403d6ef
Baseline Survey,7,sx_inf,Do you think you previously experienced symptomatic infection due to COVID-19?,true,select one,Yes;No,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,1e58a406ebe8ed0f466c96aca0b37408de228fb9454f8966a7ccd985cea7dc226dc13340daa6fff0959a7ecf0a9f928121e727de8f2b8095a443bd907dc5232a
Baseline Survey,7,when_sx_start,When did your symptoms start?,true,date,Date,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,95142254c64531d835c33a8fcfa45fd720dab66a3260035e05c78057f4ca89e1f967e2fbbf4c18e0fdb40fc7a514b916e4aff7998dad24f9a86022d4c9862d93
Baseline Survey,7,what_sx,What symptoms did you have? CHECK ALL THAT APPLY,true,select any,"A scratchy throat;A painful sore throat;A cough (worse than usual if you have a baseline cough);A runny nose;Symptoms of fever  or chills;A temperature greater than 100.4 °F or 38.0 °C;Muscle aches (worse than usual if you have baseline muscle aches);Nausea, vomiting or diarrhea;Shortness of breath;Unable to taste or smell;Red or painful eyes;Other",survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,216fdf0deb23ae3bed1695171d8dd2337dc653779ad0f66c93b68c185aa3affdc9f9a333e4fc478cfad558afb24678224d644444ec2aeec839f1e9121bcf96d1
Baseline Survey,7,what_sx_explain,"If other, please explain.",true,string,String,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,9a2e1b06fea7817a42767402a6adbd811089488c17a663a45f39d3f9475bede694bb381764b8d829e1a2fe11ef9db25e140600181cf50a6c790a7d885bf8c9fd
Baseline Survey,7,flu_test,"During the illness that you believe was due to COVID-19, were you tested for the flu?",true,select one,Yes;No,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT,11ac1051ec838cc49a57bdfc77194de2190b8dcecd72d2e5f713abe1211b0709994945efcdd52d977ab1128999e20b517a485175758e6a349c002eb6af258f9b
