survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Monthly Vaccine Follow Up Survey,1,vaccine_past_month,Have you received a COVID-19 (SARS-CoV-2) vaccine or booster in the past month (or since the last time you answered this question)?,true,select one,"Yes;No, I have not ever received a vaccine for COVID-19;No, I have already been vaccinated;Other;I don't know",survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,36b23771a0600ef1359f90bac47e1d74fae337aed24d7a6bb8033f03d7408bf8e7fa67a748b6efc23d2b1a791e4ee4bb5962e2f5022c2f69c2fc62194e0a6314
Monthly Vaccine Follow Up Survey,1,dose,How many vaccine or booster doses have you received in the past month (or since the last time you answered this question)?,true,select one,1 dose;2 doses;Other;I don't know,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,506bedad7df1da27393bbe8d845c3c343bb78449ba30b38ffc98cafb0439843a48af08fa53330ca4a7252c04d6dcfaa3dae703c35fc1ae192e1d7aab3882e854
Monthly Vaccine Follow Up Survey,1,date_first_dose,"Within the past month (or since the last time you answered this question), what was the date of your first COVID-19 vaccine (OK to guess if unsure)?",true,date,Date,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,8c8b941bd9338ca36f3a1b35e095dfde365c08d90e4d9796ff959ca83eb3fd31f7163ecdde46e3a82833925ff423a5affee92bb75b3bed3d9be912ac2489310d
Monthly Vaccine Follow Up Survey,1,date_second_dose,"Within the past month (or since the last time you answered this question), what was the date of your second COVID-19 vaccine (OK to guess if unsure)?",true,date,Date,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,4e3541e8d68113f27314b7b5390e9077828b68ffec6fb3e4f77f893b6849a461148b707233d2d4e7f9d0f6ea6fcf55cfa3f02ae8b1bae7c957425cfdb756367c
Monthly Vaccine Follow Up Survey,1,brand,What brand of COVID-19 vaccine did you receive?,true,select one,I don't know;Pfizer/BioNTech;Moderna;AstraZeneca/Oxford University;Sinovac;Johnson & Johnson;Novavax;Inovio Pharmaceuticals;Sanofi/GlaxoSmithKline;Other,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,a44149e87af6fce391067099b290789eecd457bdb457c3d1c4aadb4761c5b7aa0cac08dfd74c0fa5f09878c1a7037b02a16022d63b17811a1db0cad9ace41faa
Monthly Vaccine Follow Up Survey,1,brand_other,Please enter the brand of your COVID-19 vaccine:,true,string,String,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,454d062179f9019d6aba7f0c9adc0c690217a41a4560973a519a2a903153fd91cad72c3a81c21c643455de0fce82195fbbec9c90120b336f09e56804ad1270d6
Monthly Vaccine Follow Up Survey,1,side_effects,Have you experienced any of the following potential side effects after receiving your COVID-19 vaccine? Select all that apply.,true,select any,Fever;Chills;Fatigue;Sore/scratchy throat;Muscle pain;Joint pain;Headache;Other pain;Redness/swelling at the injection site;Rash other than at the injection site;Allergic reaction/anaphylaxis;Other;None of the above,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,9c811921c89efa6b1c6cf9d4c8cddb9a0a760c9bfda1798e5bddcadea15a2910ca8403080decb24fde9f431b6dd132153af59125bb74ab7e22ef06303b8d4db0
Monthly Vaccine Follow Up Survey,1,side_effects_other,Please describe the side effect(s).,true,string,String,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,c721e6e60db3468a2d5975423f43fdf7b174f70f0cef41dceb718c26840a16075b415d5c96ce329e85e36d18b0f300c67a598d653161f88dcacf638031811805
Monthly Vaccine Follow Up Survey,1,side_effects_start,When did your side effect(s) start?,true,integer,|days after getting the vaccine,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,0e85358453bedfed98acce9040f015bd7607697cd41869e4fb013d415ea3977586fd8e6494d3e631df5e7480d5dfe77a3eed2300de888f7fa371fac62d95198c
Monthly Vaccine Follow Up Survey,1,side_effects_last,How many days did your side effect(s) last?,true,integer,|days,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,01d2406430b3451789a8cf3c2785b5c90f7974df3bf22d83e7375b44e3d89096a7e0d12dff6f21113f2724581c3f5efa36880a4f15e46da07ee3b3bc9e332140
Monthly Vaccine Follow Up Survey,1,side_effects_severity,Rate the severity of your side effect(s),true,select one,Very Mild;Mild;Moderate;Severe;Very Severe,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT,d1e2cd299637147ef3b0b3a10ccf78a290af968c8614b244dec1c886fa9a9317862cd29282d9a4cc82654f099e3c64a5a1cc090cbd47e0cbffac5b99cf3b29f8
