survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Vaccine Survey,2,vaccine,Have you ever received a COVID-19 (SARS-CoV-2) vaccine?,true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,be50c812ca3d2100fa7aa6d5b84a403072f6eda3b5c60f307687c55673ec9680f0d68a442b71e251e07fe5aebf774e219a9d25438cfac063413f4ac73f4478b5
Vaccine Survey,2,where_vaccine,Where did you get your COVID-19 vaccine?,true,select one,"In a research study or clinical trial;A doctor’s office, clinic or hospital (not part of a research study or clinical trial);A pharmacy (Walgreens, CVS, other standalone pharmacy);A grocery store, supermarket or other store (Walmart, Target, etc);A health fair or other public event;Public health department;At my home (someone came to administer it to me);At my workplace;At a school;Somewhere else",survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,03d603da0ce409ca4c987ec61cfec268e2c3264db71889241a33a45438954c852bc188fed1f72ec8ad38f8abf3bdad04b17a1bd9f4f20580ab8c4442bf45c57d
Vaccine Survey,2,where_other,Where did you get your COVID-19 vaccine?,true,string,String,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,fa3db40fa2ec327a6d45c51887cfb0a11f3944ad49cafcb4418bac7ffd3397cf11a07432cb737c27841aca8dd540603db6173e9796738119566b42684a157457
Vaccine Survey,2,dose,How many vaccine doses have you received?,true,select one,1 dose;2 doses;Other;I don't know,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,0832259efacfd79f92e8bc61b6117f93059748705f41725d2212a2f457904cefc9d77ec068840cd27fd83a87e4659c0e9960f9e181722416e6c1ae60fd39c777
Vaccine Survey,2,date_first_dose,What was the date of your first COVID-19 vaccine (OK to guess if unsure)?,true,date,Date,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,e0e86946279e452f470efabe1d74bd482e32cb4f2d5a663bedffded74a70b5fc945cf62b84e590da0c8717fef474de1719823cef6ae303956dd261db51859732
Vaccine Survey,2,date_second_dose,What was the date of your second COVID-19 vaccine (OK to guess if unsure)?,true,date,Date,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,6b45e59af563c00e86b2110392b32005f3d81cd2a317080c258d7e2e8ff68d300f75344f2fe52641a7221a9bebf122788500ff0f435878e3e86d8167b4ec40b1
Vaccine Survey,2,brand,What brand of COVID-19 vaccine did you receive?,true,select one,I don't know;Pfizer/BioNTech;Moderna;AstraZeneca/Oxford University;Sinovac;Johnson & Johnson;Novavax;Inovio Pharmaceuticals;Sanofi/GlaxoSmithKline;Other,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,2e0c68ffa7cf95ef3ba524396e45109444a2ffe93cf5a79086d2a84162d98efda982e46c2116dca81ca4ce8e364e17c886a7ec9438fcb7ba408b9663a953cef2
Vaccine Survey,2,brand_other,Please enter the brand of your COVID-19 vaccine:,true,string,String,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,e771b2af383866bd6e7d1b12911639a3eab90eeacd32a7b6dabe5d51497b473c614638ae8b35c860bd59cffe6c47428601bc13a6f79a26060f19c0adcc275647
Vaccine Survey,2,side_effects,Have you experienced any of the following potential side effects after receiving your COVID-19 vaccine? Select all that apply.,true,select any,Fever;Chills;Fatigue;Sore/scratchy throat;Muscle pain;Joint pain;Headache;Other pain;Redness/swelling at the injection site;Rash other than at the injection site;Allergic reaction/anaphylaxis;Other;None of the above,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,fd074b71837b77b519821aeb06655221908d7562718204f2e0af7bb336e104841abfb18bf63e35f327a31d684bf5942cc78fe7bf51a2eac1473ee2bdd5395902
Vaccine Survey,2,side_effects_other,Please describe the side effect(s).,true,string,String,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT,b0f46f9ec43cf1cf96926f49b46802b08b112ad9ec67a66281e87bdda6c8718c480dc26c8d573797a03a4cc4ade626c5e839b3ff3fcd059777b84b6ca8e1efd6
