survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Weekly COVID-19 Citizen Science Survey 3,9,tested_coronavirus_past_week,"In the past week (or since the last time you answered this question), have you received results of any tests that you had done for the novel coronavirus, the virus that causes COVID-19 (either a test to detect the virus for active infection or the antibody to detect past infection)?",true,select one,"Yes;No;I got a test, but don’t know the results",survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,df57e552a8102859dff8ff1226ea16f11d3478fd583e62b4f0587a63ba5cb6bad9c31e7e7de150be5b29188284732ad5bdda08dbefc3ce29cd9e21abae626753
Weekly COVID-19 Citizen Science Survey 3,9,how_to_get_covid_test,Do you know how you might get a coronavirus test if you needed one?,true,select one,Yes;No,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,c31c06a5d8de1bc2fd245f9b764a68e4c00e69acc426eade518b4b704babb269b074d371f1ae1bc30582a566d1a181a377b4ebfed4f7c18909ae822239fb7dea
Weekly COVID-19 Citizen Science Survey 3,9,test_type,"""Was it a test for active infection (virus) or past infection (antibody to the virus)?  (The test for active infection usually uses a swab or saliva; the test for past infection usually uses blood.)""",true,select one,Test for active infection (virus);Test for past infection (antibody to the virus);I had both kind of tests;I don’t know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,86b8e3141f19922e10e6f88504fffe83329844bbce1718cc05ba0ae172792a87ec4cce680c25a37c2436f8b2cc7f2a5b190b4fd41e9f6199a0997f4d575806f8
Weekly COVID-19 Citizen Science Survey 3,9,active_test_date,WHEN DID YOU TAKE THE TEST for active COVID-19 infection (virus) for which you received the results this week? (It's okay to guess if you are unsure.),true,date,Date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,005f506d7e40d7b4d62b3b4405cbd9af8e57482fa64822ef69c53f817caebac6f55e57d0433cce5207f293af3ab7a06eb7da1e01a64ae9887c8dde0f42b86311
Weekly COVID-19 Citizen Science Survey 3,9,active_result,Do you know the result of your test for active COVID-19 infection (virus)?,true,select one,"Yes, I was positive (the novel coronavirus WAS detected);Yes, I was negative (the novel coronavirus was NOT detected);Yes, the test was inconclusive;No, not yet",survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,3088b0063f909c93ad40e95871beaa114974cc295b83910e44fe0b9f46a301d04995a26136c54a3682571cc2c6c668091963e8a1fc670ea294d6634599d5d7ac
Weekly COVID-19 Citizen Science Survey 3,9,active_result_date,WHEN DID YOU GET THE RESULTS from your test for active COVID-19 infection (virus)? (It's okay to guess if you are unsure).,true,date,Date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,4f6ed5cfc5a9eaff5694f16822e0d2cad1c7850fd9523fae38036beb25e7a6219f9f3ab8616a6412a52d2a69398cab8eeaced8b4ba9690b31b01992a751c05ff
Weekly COVID-19 Citizen Science Survey 3,9,access_doctor,Do you know how to get an appointment to talk with a doctor or healthcare provider?,true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,7a918c04ee720d6fd900077967d7c02a63d9cf9c2de6b1ec3fa23e99fe0e25d4c849053667a58cfef73926d5d70b029f44924a96546b4139d75f56336c44a16f
Weekly COVID-19 Citizen Science Survey 3,9,worried_positive,"How worried were you about losing your housing, income or employment because of your positive test result?",true,select one,Extremely worried;Very worried;Somewhat worried;A little worried;Not worried at all,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,112211b4d6631972cf89d68691259ddde69b86c8ea77b1bcb4473daccf153d54c96e6f27eb3796c3dff4388f0538ba1949d24f13ec9711c5b932d925af9d5246
Weekly COVID-19 Citizen Science Survey 3,9,isolate,Were you told to isolate yourself for a certain amount of time so you wouldn’t infect anyone else?,true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,139834159eb8f67885a92a39feca87bf30dab963c593a9008d0003e46b1976204dc25f5d31d50946dd59634a2ec734c529759374ccaf92fa3d087f8331b5e811
Weekly COVID-19 Citizen Science Survey 3,9,isolate_resources,"Were you provided access to resources (food, housing, compensation for lost income) so that you could isolate yourself?",true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT,436270e088c48de95f7d06662e7f59435353334ff0c086a064cbb9ac3133d67cbe2c0c25fb53299d927b0f332d1afb817cd050869b091bb6ddaf460d4b312601
