survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Weekly COVID-19 Citizen Science Survey,10,tested_coronavirus_past_week,"In the past week (or since the last time you answered this question), have you received results of any tests that you had done for the novel coronavirus, the virus that causes COVID-19 (either a test to detect the virus for active infection or the antibody to detect past infection)?",true,select one,"Yes;No;I got a test, but don’t know the results",survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,1b351def978d77cadf4c99b0b37fa91c0c58c949139abed4f167abcc00076e2733de4d2b7479d06a67e1ecc4e10fc263adeefa7933572db0eec7f2d39562b7aa
Weekly COVID-19 Citizen Science Survey,10,how_to_get_covid_test,Do you know how you might get a coronavirus test if you needed one?,true,select one,Yes;No,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,c51cd77cfd39104de1d98fdb175c87d8718c69ce24cbf4518c9cd43718b8fce6214c36883bafd71d87a3ec4247634ec0048dd75b951652a0b0b1acb8b5ae9cc8
Weekly COVID-19 Citizen Science Survey,10,test_type,"""Was it a test for active infection (virus) or past infection (antibody to the virus)?  (The test for active infection usually uses a swab or saliva; the test for past infection usually uses blood.)""",true,select one,Test for active infection (virus);Test for past infection (antibody to the virus);I had both kind of tests;I don’t know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,3024030ddbbd38657e3038e7e398797fa13f8cf0d39f062d5c954923fae57fe87582aaebb774496bdca69664a1e6a0b7b52c0e82f6b9fbc04de4bf08eb338376
Weekly COVID-19 Citizen Science Survey,10,active_test_date,WHEN DID YOU TAKE THE TEST for active COVID-19 infection (virus) for which you received the results this week? (It's okay to guess if you are unsure.),true,date,Date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,bb9b39cd8e1424305b8bcd5fd29e6dc880c9582b8c50755920d147a0fbf90a7c2f1d0d290f086859b46e69ca35f6947ec643dabbdf22a8842006db6adefe513b
Weekly COVID-19 Citizen Science Survey,10,active_result,Do you know the result of your test for active COVID-19 infection (virus)?,true,select one,"Yes, I was positive (the novel coronavirus WAS detected);Yes, I was negative (the novel coronavirus was NOT detected);Yes, the test was inconclusive;No, not yet",survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,a799958395326078598898ae9f87d008823bd55249692b49a053a2f14b8746bbcc8d49dc1b07823c8653c5b1f0218600d1f492f5491b855ee45ac4691c3b652b
Weekly COVID-19 Citizen Science Survey,10,active_result_date,WHEN DID YOU GET THE RESULTS from your test for active COVID-19 infection (virus)? (It's okay to guess if you are unsure).,true,date,Date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,bc726df410f208ee9700038be0e4f253f88aaed4d3d3506fa70db406862bf32c773c83dff730e37b1fdbeb94aea16284e148e98cff13d554863811c712cc7187
Weekly COVID-19 Citizen Science Survey,10,access_doctor,Do you know how to get an appointment to talk with a doctor or healthcare provider?,true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,30fe8a143608e34e0c8ad3f540440655dc37878f91b3483860ed23ffd04f162200f5d1f2921fe2b3bd705a12039e54ae4c714b5f03c7eca2544d621c84bd488f
Weekly COVID-19 Citizen Science Survey,10,worried_positive,"How worried were you about losing your housing, income or employment because of your positive test result?",true,select one,Extremely worried;Very worried;Somewhat worried;A little worried;Not worried at all,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,a13cfdbef13dd0fbc6f268b30e2d413f40b31e3e0959ffb83815efab82e90ec11a6f9666a89dbe07d216779e6d8a0b95d569e0c825fb85ea37e045abbb62a10a
Weekly COVID-19 Citizen Science Survey,10,isolate,Were you told to isolate yourself for a certain amount of time so you wouldn’t infect anyone else?,true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,990a579fbb4b768633991d973a08f1c1e58d9951dbf7c91aa506190f7ca4638a7af332d7aa2f533ca4d09ba474960af77ce7afd49b6604c26393091424a1219d
Weekly COVID-19 Citizen Science Survey,10,isolate_resources,"Were you provided access to resources (food, housing, compensation for lost income) so that you could isolate yourself?",true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT,ab42e2e19ab23a7376d440fc41ea4861f5a1528396fb553379e11e01e18b2f28eb1ce9806411f1d817d246636b0c19d2daab4c6cf986fe3eaa3193a292e76451
