survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Your Medical Conditions,4,hbp,High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,2338b8663584a9c9bbd8f5bf9e210ce297835ae373fb6ee31d2517fdfd552802e88eb383d56a0b39b9c36d45e8c66a8088ede47ab5487d6c13a9fac57bb2fde9
Your Medical Conditions,4,diabetes,Diabetes? Do not include pre-diabetes.,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,907710f2357dbe3a8dd9042bcf4a3fa916f5d19782e8a4fd1d9a83fdd76a5bc6e6491b212fa2333a2343473813d48cac9579067bd8c229cbe499c7fd121d2462
Your Medical Conditions,4,blockages_in_your_coronary,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,b97e0d45e91a25b9964f7fe8d205149585e20927d0c1c1be7f260550746ae17829e00b08985ce0cb819cf933515bbd0b51cb8adf6671f124c2dfe30404cea7ce
Your Medical Conditions,4,heart_attack,A heart attack (myocardial infarction)?,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,69a66e8ef3c7ef206fedf908a7f934713514cd62edcd5cf2999b7779d56f9194b3d683276927c4c2f1ae8a24be0e26dd343b784fae413cc9030632ea8110f1c3
Your Medical Conditions,4,chf,"Congestive Heart failure (CHF, Heart Failure)?",true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,eed4923d17ee9839d1d9e94063bb21d9cafe1f37af06ac4aba41eb1e98c742a8eacf4422dc84cd1baf0c86cec360a691faeea38b1fdcaa994f0372d270c80c84
Your Medical Conditions,4,stroke,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,106ad40920676f7cfe4c17f554b31331de1d51f3762d6357231e116ff5964b42f8ff8d37dcd6d7a83258ad0ceb59c7adc7a947d836775b17352bacff31c084fb
Your Medical Conditions,4,afib,"Atrial fibrillation (Afib, AF)?",true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,afb0dff6e9455518e742738169e5248b34dcfa4b0af6dcff318b3f6cc6258a17a1c63c5fcf86e8ecbcd9a0a270baf6c0332cc3e0ae3144581e4665dbe8b375b5
Your Medical Conditions,4,sleep_apnea,"Sleep apnea (obstructive sleep apnea, OSA)?",true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,d6582eedd1493b439728aa8b4b0a3bd6a892c3424b2a5aa98bdedee8a418db934df23d12fff53c84a08550c7ba1977120080b30a48e5806323ec32719ad77843
Your Medical Conditions,4,copd,"COPD (emphysema, chronic bronchitis, obstructive pulmonary disease)?",true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,12714c8692b4bea7399dc78a5efe21eddd91aaa45cbe5e9ef1c9d45a9ca98f5cce6bffd391bff5230fd3c00e6423949da4c19611af2498abdab03c445d0e29d3
Your Medical Conditions,4,asthma,"Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?",true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,88e30463b6decc9bce0a8ba41f1a9e8dd40e68f1abe5ab6c03d78af470a151d56a9667eda75dfe80738dee95cd6bba42c4e7fc21f4c86ac7f6d4b982ccd3917f
Your Medical Conditions,4,cancer,Cancer (including leukemia or lymphoma) undergoing active treatment?,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,6264f0ddb787211e192a5d15e81651843540a63f7b5d6baa3fe2c286ac75aec5814d3e89586587d8a17c38054215022dcd07979252f5838f8cf03fe19aceb918
Your Medical Conditions,4,immunodeficiency,Immunodeficiency (NOT including HIV)?,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,0ec43801b768849bfcf619da65265776186680008b8825f38041e50670176ec6bb5393c3fcd25291ef59beb29ef02dc45b5e7d5aef0204e0e71d6e501de64e59
Your Medical Conditions,4,hiv,Chronic HIV infection?,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,39a6827382e6dd6d493daee8b999044fbe0eb78c6efbbfccbe4d242f1f3e10792dd2ec96e01fa4bf4d170e559853efccf490bc99c9dde30d775c56f2d49f39d5
Your Medical Conditions,4,anemia,Anemia or other blood disorder (do not include leukemia or lymphoma)?,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,413263b1872c43f834b0dbf9342566c52c12f056ee6758410a4412dfe102fe4df8718ca395c206310163eabc42bef19e5c0bcc487f1977aa06ead2c19eeb432d
Your Medical Conditions,4,pregnant,Are you currently pregnant?,true,select one,Yes;No;Don't know,survey_data_dictionary_origcopy.csv - Your Medical Conditions.csv,RADx-DHT,e7ddd53814060716e1870fc05cfa95254dda39c9f1c54c673e1163c89950c4faa5a46ead5b4bdf2d9858e05ab0aa21eb030b60f3b695b9c5e618075b76ab0f62
