survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Your Smoking History,3,cigarette_ever,"Have you ever smoked a cigarette, even one or two puffs?",true,select one,Yes;No;Don't know;Refuse to answer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,d658b733546d46027b76d1711742a0b5a4276a28691d3384dcd874f1be0bd20cd7b5cef33cba67c361c8b728c54c3c9ff112d8a228763c98a9d92fd7c558d3cf
Your Smoking History,3,cigarette_past30days,Have you smoked cigarettes in the past 30 days?,true,select one,Yes;No;Refuse to answer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,d435c860b0750f1113ad9cf88bc0b0c24962203b2e9a806bebb4ea0bc237b520ff879ffcfbc050a497b29166cde516f89ce8deb9d7b9873542decc465913e219
Your Smoking History,3,smoke_howmanydays,About how many days have you smoked a cigarette in the past 30 days?,true,integer,Integer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,30e949b7f1b7f967af5ca8a4cbac35b261344b32def748eae7447d650113e434912b20a86105da3eaed1060ef23301520708189baa98c8a6bb06cf1730f66806
Your Smoking History,3,cig_day,"On average, how many cigarettes per day have you smoked in the past 30 days (use 1 if less than one)",false,float,,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,438de13fbc943b1e5537f93cd99aed29b426c9734f70f9e67f003e4ee138c8d9883d783f509eb7f7741c650cc267df066a602352dbfa6b81cc0e213dcf599470
Your Smoking History,3,tobacco_ever,"Have you ever smoked a cigar, cigarillo, or tobacco product other than cigarette, even one or two puffs?",true,select one,Yes;No;Don't know;Refuse to answer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,705f130956aa31f55dd945f89cccd5cfe14dc8ab423010087ad50641512fd41dd45298155439b0a2a48b1cd957287e634c42ca96726f2d085e9c5cbd089361f7
Your Smoking History,3,tobacco_pastmonth,"Have you smoked a cigar, cigarillo, or tobacco product other than a cigarette in the past 30 days?",true,select one,Yes;No;Don't know;Refuse to answer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,2f00c5c0fab8ca856c3cb9c48282c11e2d818b501360bd765768f603183dd4683ec5f2a5cb170bedf1333056298c3fb1dac56a5cda53d6c3dfb75239b04554c9
Your Smoking History,3,tobacco_howmanydays,"About how many days have you smoked a cigar, cigarillo, or tobacco product other than cigarette in the past 30 days?",true,integer,|days,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,8e3f9ca75160ce2666a2067792bf58c76175ba2651da5ff358a91688bed81611efc934c0a95b8f605db2f2d566d528479aafd3e7124f749b1ba86dd5061fc0d7
Your Smoking History,3,tobacco_day,"On average, how many cigar, cigarillo, or tobacco product (other than cigarettes) per day have you smoked in the past 30 days (use 1 if less than one)?",false,float,Float,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,e6a31faa1ad3edfbb18005d614abc19bbb801064b601df35031994f5c1def0f90e77dc4e083a1ecf46becc095a483f8c6e54b91c7a2003f696bd351dd90715a8
Your Smoking History,3,ecig,"Have you ever used an electronic nicotine product (e-cigarette, vape nicotine), even one or two puffs?",true,select one,Yes;No;Don't know;Refuse to answer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,8574bd720bab9cb85c12109c5a78a3b3d4b2fb681b2a0919945fa1ff67ee8055329133dd575534eb1d0cede50acdcb8ab769d084dcc4d5469d10cd1741044beb
Your Smoking History,3,ecig_30days,Have you used an electronic nicotine product in the past 30 days?,true,select one,Yes;No;Don't know;Refuse to answer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,fd0dc8c08b45c7ccf66bc47a58b03d3aae0f2731fe6303a59af3e7c39388c6ac3f5013dc216087feaadd4ec73344faa2fc3148935b0ef790528d5245e95ca72b
Your Smoking History,3,ecig_howmanydays,About how many days did you use it in the past 30 days?,true,integer,|days,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,734ebd8fa396c3bddb70ba9ab56f4584653df3c3bff91456703cbc104003ea6428b471c92ef1b824c878e1351ee5147f0d24d4953b9a4b275fc56e4216202723
Your Smoking History,3,ecig_puffs,How many puffs from an e-cigarette do you typically take over the past 30 days?,false,integer,Integer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,c098e1673ba4cf5f3ffff63949c06e94f6e9d647a57c1c935a234ed589b4f79859c58081d9ba7ea603552bda5bef3044b64f6e5bcdb4dfaf263dcbff4916bc6c
Your Smoking History,3,ecig_spending,How much did you spend on electronic delivery products in the past 30 days?,false,float,|Dollars,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,37ee196b21a91e778f02457395ce31c9f6217c81e218291c00a55e8c41fe4557178ea27ab9768f59468e7e916dc95da5e2d8d77aa06f5f9aab24f52988a74026
Your Smoking History,3,marijuana,"Have you smoked or vaped marijuana, even one or two puffs?",true,select one,Yes;No;Don't know;Refuse to answer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,e29090149adc58d08d85d1c75f3ffd39d70b2283fbaf043a6e6ca18af802c525c612d52374285734751a824a7f093de11f9cd251b89dcbdfd80a1dab9dbf146a
Your Smoking History,3,marijuana_30days,Have you smoked or vaped marijuana in the past 30 days?,true,select one,Yes;No;Don't know;Refuse to answer,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT,49924c3967a776a31df1723ab69b67583769a70a3e861f268f6ddffd64e9e13c9b8f71247e09ed4c44d2d5aee4041c2658492a7d98aa09cb3592779c6328a514
