Concept,label,variable_name,value_constraints,Comment,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Identity,User ID,user_id,,,RADx-TECH-global-code-book.csv,RADx-TECH,ec7b8f4a149699791d9ecd47fb8164e0e5627aab54249d5f8246a2ccd641a5b95dc72dcabb3f9c5784f079e5a8e51d053b735a4c93ffca1d50f5af2d53fe3f7f
Race,Black;White;Asian;Pacific Islander;American Indian;Race_Other;Race_Unknown,race_black;race_white;race_asian;race_pacisl;race_amind;race_other;race_dk,".,Unchecked;0,Unchecked;1,Checked",,RADx-TECH-global-code-book.csv,RADx-TECH,6244b4cc4cef2e07f12d0f85866f869174f316f2ce1e77ef63a9dff3a67c8d3e17b460be4fb79666e11d26c5161173a2273fe685de3809f44c140a689f37ff2e
Ethnicity,Are you of Hispanic or Latino origin?,ethnicity,"0,No|1,Yes: Mexican, Mexican American Or Chicano|2,Yes: Puerto Rican|3,Yes: Cuban|77,Don't Know|88,Prefer Not To Answer|99,Yes: Other Or Mixed Hispanic, Latino Or Spanish Origin",,RADx-TECH-global-code-book.csv,RADx-TECH,ad2c49237294fc7b77b20d57d95df261ae7a7ef446dc118cc1f43f241c46cece742dec3e2fdb9f0da96ef72fcf8466e9d60f0e771a0e28b53ccd5eebff06da4f
Age,Age,age_at_registration,BEST,,RADx-TECH-global-code-book.csv,RADx-TECH,aa6fecf260ebefd6cb8b0eb678b074ed328088ad028e10a4def2aa7f81b1c8a0843de6dc5a43fb0bb9f0421b54e0311d12a262c5d4198427b960f612fef70710
Sex,Gender,sex,"1,Male|2,Female|88,Prefer Not To Answer",,RADx-TECH-global-code-book.csv,RADx-TECH,aabd792f5edae9accc3f616ccfc6614882834c4d7d96b2e6dee267dd7a4e6918fbb736657c9ea8bb04da0ca8cf5ae6fb9bc5537319039d24e9692e90ac8ca6d4
Education Level,What is the highest grade or level of school you have completed or the highest degree you have received?,education,no_hs;hs;ged;some_college;aa;bach;master;prof;doc;refused;dk,TECH uses categorical reference identifiers for education instead of integer identifiers; character strings will need to be transformed to numeric values,RADx-TECH-global-code-book.csv,RADx-TECH,212b08ad262371410a828db426bed951fd8121d63963412582fd0d2f5824ed6cd67a7eac79f8a9f1fc3fd19c2ef187549cc0235becedc8967a2228c5d973726c
Domicile,Zipcode,zip,BEST,,RADx-TECH-global-code-book.csv,RADx-TECH,72bc0e97ecdd28a58e195cc471b212da8d2cba0750ce1f6976c77a1462820e74acf4d53988384ae31911d16c0cb0adc0a8b34e6bedeee6557515fb15e58b9633
Employment,"We would like to know about what you do-are you working now, looking for work, retired, keeping house, a student, or what?",working,"1,Working Now|2,Only Temporarily Laid Off, Sick Leave, Or Maternity Leave|3,Looking For Work, Unemployed|4,Retired|5,Disabled, Permanently, Or Temporarily|6,Keeping House|7,Student|99,Other (Specify)",,RADx-TECH-global-code-book.csv,RADx-TECH,b51abc7e904d6ddfd204d68bb648feb66c4613adae068f488b572457bcf37ef636e7392be3e5c12dc7e8dd9f22d0ddbbad06ad10e8111f8d2d46681e951b8ccc
Disability Status,Do you have any serious physical or mental condition(s) that limit your ability to perform daily activities?,cond_prev_activity,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,ed12ad5920d87ca7e2aed687869b50c20b39ff2cf4fe3a1f177b7bb4331bf5d5efa62a9f6c1c1cb8ffc5767a401bbc778614d552e067017100a70c7e8b476f42
Disability Status,Are you deaf or do you have serious difficulty hearing?,hearing,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,574ae8ebfd513e47d553353d2dc3c64dec9d8d31ea9bc0387d5ae581f373b4b428fa4d8d68899c4c1320cdc7642180945515c13351c8c6133b6bc07cb3446732
Disability Status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",vision,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,f12381590cdfe154f4955c659facce1b19e82cde5cfe4052bb5e4939a86559d808f82af60616d8741655de0054309f8ff445d9464b68730250aed20e5e332565
Disability Status,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions? (5 years or older)",memory,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,ac04e13d4e8809642b3c6e619f6918c9aa3d186341fa70948dd1d93f794d0eedcf3feb7d3c3606bf00a56df4038b378b3a7665b2bb3c16f579904992770b79a0
Disability Status,Do you have serious difficulty walking or climbing stairs? (5 years or older),walk_stairs,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,73096ce79757b3036881e2e12d3384444abf71efceaff88a1aea3ff340404a296b6cdf9d30a40aec5f17048e7adeda2d7bfbc7a1e5fe156dd448c8080f6f89a6
Disability Status,Do you have difficulty dressing or bathing? (5 years or older),dressing_bathing,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,2c3100198c081d99391f59112fca68e8040949780b1199792e313d977b3c94d56357c7b641ddc8e94f3572d4e7fd70a0e697f86d0fcf588e9e59a88dde79f469
Disability Status,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping? (15 years old or older)",doctor_shopping,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,7054e7023efbad54e3edc74d560534bb2d471d8316564a673e77ea04504603370368ad87354bf84b45d7fedf84ad5e158cfaa00fef4e134ddad4ae2ff16840cd
Medical History,"Do you use any tobacco/nicotine products (including cigarettes, cigars, e-cigarettes, etc)?",smoking,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,dd2c35bc7453dfa163e83d569c8a32b0445cac4e0987bb6e8f3405939c1fefc71f7959fa0ac3264c502abdf3eb50b00b31996da4b00b153f4afee2006bbd2d9c
Medical History,How often did you have a drink containing alcohol in the past year?,alcohol,"0,Never|1,Monthly Or Less|2,Two To Four Times Per Month|3,Two To Three Times Per Week|4,Four Or More Times Per Week",,RADx-TECH-global-code-book.csv,RADx-TECH,cc3c2bb9704eff281cb062f73252ef0870a13d32253ad88d1d2679ab513009e9bb60d40ad5ecf4fc3b3fc4ef7d79080e5b7e6559aab564ab030551794a99ec41
Medical History,"Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?",asthma,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,7e973102b546fa4e3a3a099e52f91f06d02e0a7ef6540aa487f7e240b5f6540d39686d4feab17e8577fc3367a61447d436827650405859799750048a2b266a94
Medical History,Cancer (including leukemia or lymphoma) undergoing active treatment?,cancer,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,52ce072be7a93a034591292a0dd958c2fa7ef828e0812e387ff3369f3216e729c86754df4b57834f78c3611df03fcd2ed5307f43fa46f7ce8e39f37135bc4f07
Medical History,Decreased kidney (renal) function or kidney (renal) failure?,ckd,"0,No|1,Yes, But Not On Dialysis|2,Yes And On Dialysis|3,Yes, I've Had A Kidney Transplant And My Kidney Function Is Now Normal|77,Don't Know",,RADx-TECH-global-code-book.csv,RADx-TECH,9814f165d465fb9ea28634cdb3d741281db29e0da17ed981c0518d69dfa6981196cfef27b28961625d9ce459e24d8418e270596a45d1c550ac3d5f73b9bb1076
Medical History,Diabetes? Do not include pre-diabetes.,diabetes,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,b83322ed17f607a3c9256a0339328ca695368c9136a7943669510fe529216e7edd2bbba64996ae59e905952f6c4e1091259cea0c7332e3bc9eac717a24592211
Medical History,High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?,hbp,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,63928ef40c8dd4d672bb2225c9c020567c61372e7b90b8d9aeacee2a06a615998d60cab2819a5bbabfea802b39281819ca42339fe6c61177ad8a4822077261fb
Medical History,"Have you ever been told by a physician, psychologist, or healthcare provider that you have any mental illness (for example depression, anxiety, bipolar, schizophrenia, or other)?",mental_illness,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,26258714f908b19490e24732e7597b230ef34c946f86e31fd0b0587c31f3528c13f498673480742cc3ef460766e05f5404aa1a948b03c1893c61ff365655879d
Medical History,Have you ever been told by a physician or healthcare provider that you have sickle cell anemia?,sc_anemia,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,4a9b50dac8ffea98e4fd73efca1670425755f6db01e32d5751dee248fe7a9d4c055ae999a447218548ca323467780fb614600bea8c00cfe23839a131c8366daa
Medical History,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,coronary_artery_disease,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,4d9339f3339af930ff8c33e0ab6da9c30395d4f678338875b20c1b6e338c2354c0f2e5e51b1e607d11616d0ef7d01362b386b043b7b40631073f6ac154400f02
Medical History,A heart attack (myocardial infarction)?,heart_attack,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,d396aac92fa43c01166d011aa8a6e60d24505835d5e2a11c764e607a9ebc133c174657153925bc95844bf6bc1c15b7fe2022a68ced296b9cfc20dba8c77b285f
Medical History,"Congestive Heart failure (CHF, Heart Failure)?",chf,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,338f8b908d450a01d00269ad58a69908192a888126bc0c8ddd9a5450e34a77d672a2350bb850a5818b1e2cff876550354b20fc25e5f74291dfe6e7d78778e10a
Medical History,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,stroke,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,edcfb3b9ef30c75e5aff274e6e40556d5eb75dfbe69ffaff6d85acf0d93e0696b2f33147fdafcca0ee64c26c2af3af2808d277dd863dd082d6d97baf0a525be9
Medical History,Immunodeficiency (NOT including HIV)?,immunodeficiency,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,fa6c2e1b23a3e86f53256138bcc0840f6cf6176d291fecc1a081b8e3406757392fd13d631708795b23a194abc3e1b3fd7d7f2e263eee2326e0910cb23bd1e0e0
Medical History,Chronic HIV infection?,hiv,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,6135ac37050be31efdcf8fc07eb2da847b889123660f92cf31ec071933feec7ae45d550b3015507cf6b2c923fe0f0e78bead4e620d5a9d92d4b6f90cae4560de
Medical History,Anemia or other blood disorder (do not include leukemia or lymphoma)?,anemia,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,a8ae5cdcf20e709a2d39426c586efbba108a3828bc3ac1a44a3e9dd87fdae43e26ffafa99f87ce87a1938d76d21ed105af2ef74724894e98ce1d225df89cbf50
Medical History,History of premature birth (being born before 37 weeks of pregnancy),premature,"0,No|1,Yes, Between 32 - 37 Weeks|2,Yes, Between 28-32 Weeks|3,Yes, Less Than 28 Weeks|4,Yes, But Not Sure How Many Weeks|77,Dont Know",,RADx-TECH-global-code-book.csv,RADx-TECH,bfd4b83f3b1d4bba80fa05af43dd9809d6d568574b4335751d62441f78103f741c96e6245229ca6f6e1dbf60641085edccf885c9a6d818b8a1f810f743c5e1dd
Medical History,CHD,chd,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,b5d4891c6f9d96fa268071cf01225f6fafceed11aeb1629bf287366ba829d8102781c7341b73087c783e2be945117db3825a41d0808ce8cac70aced7383ea17c
Medical History,CF,cf,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,b160f31aaa364d57fd928287a9328832f8e516ced86fb78e5de4e7051c82d3bca4b135b270abab6ccbf27ada214fb70c53b602beb5ae12e96d659c90648b8833
Medical History,CLD BPD,cld_bpd,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,3d871d4a8bda9721797ba29990fef5f020d23fae44679d0075acb790a1c98877cc30fab8417b75e3534290a02f882d9a040f161bbecf086d1cd66acb44945288
Medical History,"COPD (emphysema, chronic bronchitis, obstructive pulmonary disease)?",copd,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,b7ecd6f733e40dcfaca3898f20be586899598db090b7d31b33665ee30c76f92fee511147795ed9299712c31eabe70d110802eba99bc484faab0054d3eb18d12f
Symptoms,A cough (worse than usual),cough,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,dfb69995b0a074807cec74a11e156818e3bc4d64ebc4ab4251307f37742f88e3e6aceef924845609c6f85201609a4ca5bb45eaf57b21073f0d1499936fe9a289
Symptoms,Symptoms of fever or chills,fever_chills,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,297a5e36bf7221b822c1e3a0d9742adea06e6b8e1b2af237f5cc7cad266cedfa97e88b66315953735f4d4f6090a5f16097a5d06843713a6c094bcde6af4ba4be
Symptoms,Shortness of breath,shortness_of_breath,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,24106db03026424f1701faab7e18ffbbfb1f342ce3abbd591ce3e4d2ad3d6f9cb6b0e9c1987aafb2415219e5d847ecf9da95a8622d55ee79f5846c1265229da4
Symptoms,Muscle aches (worse than usual),muscle_aches,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,7a54d4b64cab1949da057784ddfb0978863dd415eca6febab5af3abebe9a9f0ab09926e483e8f9ef6a8346688b6a331e0574c3c18b642a969c1c1b9e7a4ff0b1
Symptoms,Unable to taste or smell,unable_to_taste_or_smell,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,6b971ea8b93aa14d2b781a3d0773c12780b678dc44278f8f64bd5d5393b569ccf8fbc87f97a7ce2c15d32f3e0391447df110bd8e3115ff61211d5beb592e1c13
Symptoms,"Nausea, vomiting or diarrhea",nausea_vomiting_diarrhea,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,749c9475adcdbc2732a43148cf33adf5e4a26612d8216588c0994b4e4ec1dd136ef6b1ea6a93e9d32f33331f95e73a614e26029881c1c85abf600b7335a0253a
Symptoms,Red or painful eyes,red_eyes,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,194d9eddf38011de8972061bf0e9fbb932910b2297dcff775b3c65eab5a951adafef7bef6ef39f12daa88a63574a5e59b4910226f58b3a10fabbef8b9a9f051a
Symptoms,A temperature greater than 100.4 °F,high_temp,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH,fc7d582f72ee413321e793fe33eae73a5acb2172d1c19603e8d101a6044c23d64310c8b92f94c6fbfc08df4473e792e9551f3225fa1606ad1d8e1dc1fda33657
