Concept,label,variable_name,value_constraints,Comment,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Identity,Record ID,record_id,text,,RADx-UP-global-code-book.csv,RADx-UP,d8fc7583add1398a6e02407cfa5e7a8b8b32c8eebed2461a2e80a18b5cf09a3deaea67daceaf2fc8d36ca9d82050fd1e8674af8d7449cfd0cc694ca3f263596d
Race,"""What is your race? Mark one or more boxes AND print origins.""",race_ethn_race,"1, American Indian or Alaska Native | 2, Black or African American | 3, Asian | 4, Native Hawaiian or Other Pacific Islander |5, White|15, Some other race |99, Prefer not to answer",Check all that apply,RADx-UP-global-code-book.csv,RADx-UP,8d17ce5f2d609dfd6c98e99d8c28c07ce728f6124350ec6e3c3372fb726238192ca2f4130fd70b2a68b503f06e1c70be963263b82d078044119c217fac0d067a
Ethnicity,"Are you of Hispanic, Latino, or Spanish origin?",race_ethn_hispanic,"0, No, not of Hispanic, Latino, or Spanish origin | 1, Yes, of Hispanic, Latino, or Spanish origin | 99, Prefer not to answer",,RADx-UP-global-code-book.csv,RADx-UP,38233e65d677aac949f9cf4282b42959c9e5465604a11ab419d83dae5d63f6fdf690b501c8a4b774b0bdaf62d9d1e5bac0ccd150ed92afabe26ab2f07aa0ab32
Age,"""Age For babies less than 1 year old, do not write the age in months. Write 0 as the age.""",age_yrs,integer,Years,RADx-UP-global-code-book.csv,RADx-UP,84f15d5bbaa6dbe4f55603cf57cbf8f1fa41e425ceb6d3fac4a8ed278d3df4573ce74f6a80435fcd0e255daff3b2c019d659943d4af59043da2ddd17dcc1968f
Sex,What was your sex assigned at birth?,bio_sex_birth,"1, Female | 0, Male | 2, Non-binary | 96, None of these describe me | 99, Prefer not to answer",,RADx-UP-global-code-book.csv,RADx-UP,4044354f3d3ff63280fbc77464d384aba90f8157e6e1a436178b5823655cdc8e5270d6cbcc06955d248cd4c5be975c65fc8559658205d197c22c6858a9a0d452
Education Level,What is the highest level of education you have achieved outside or in the United States? Grades roughly equivalent to years of school.,edu_years_of_school,"0, Have never gone to school|1,5th grade or less|2,6th to 8th grade|3,9th to 12th grade, no diploma |4,High school graduate or GED completed |5,Some college level/ Technical / Vocational degree |6,Bachelor's degree |7,Other advanced degree (Master's, Doctoral degree)| 98, Prefer not to answer |99,Don't know",,RADx-UP-global-code-book.csv,RADx-UP,01759cdc91923cef63783216f4decf2eac96aaf6c32749b8ea3d66f576cf231afcb3f5df69ab5af72a397ed77ddd303da0e3435d13e54e687b57e50eda161261
Domicile,Zip Code,zip_code,5 digit value,zipcode,RADx-UP-global-code-book.csv,RADx-UP,d7f9f2c7dd76edc420b86d6b1c2b34f41ad08081b684a646b08d28e96a1ea264bd8472ff41156d191acfe3adde6635ad01c656f1a33af0c4aefd2ed35899d37b
Employment,"We would like to know about what you do -- are you working now, looking for work, retired, keeping house, a student, or something else?",current_employment_status,"1, Working now | 2, Only temporarily laid off, sick leave or maternity leave | 3, Looking for work, unemployed | 4, Retired | 5, Disabled, permanently or temporarily | 6, Keeping house | 7, Student | 96, Other (Specify)| 98, Prefer not to answer | 99, Don't know","""Exclude plans that pay for only one type of",RADx-UP-global-code-book.csv,RADx-UP,e9de10a4cc80b9d098d54e2d6c7b4f07f86aaf642d762b386d7e53b3284547f1128f38ead13fbe7201669f66a4ee51210b1141238a7bf7364acd2b9e1f36bae9
Insurance Status,What is the primary kind of health insurance or health care plan that you have now?,hi_coverage_type,"0, I do NOT have health insurance| 1, Private (purchased directly or through Employment)| 2, Public (Medicare, Medicaid, Tricare) | 98, Don't know | 99, Prefer not to answer",,RADx-UP-global-code-book.csv,RADx-UP,416007cb1ca481db20c18e870d7095efa7cb570f9e4c694ebdcdad633317f0f0e379d9685d31d14fc2ed92fd5fdc4d272aed0738b1b1c35fb7b7cb6bb7f1c38b
Disability Status,"Do you have a disability that interferes with your ability to carry out daily activities? Examples of daily activities include walking, climbing stairs, shopping, balancing a checkbook, bathing or dressing.",self_reported_disability,"1, Yes | 0, No | 98, Prefer not to answer",,RADx-UP-global-code-book.csv,RADx-UP,1c888137a714ec41bb981269e1dacba61ef81c00d54aa61d900e43147d352813c9ccb73a0b9ad7b451dc63a7db46c07e692a388c4349d69b439b8d00c3aac9d4
