variable_name,form_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,required,Custom Alignment,question_id,Matrix Group Name,description,source_file,source_directory,Digest (variable_name|source_file|source_directory)
record_id,consent,,text,Record ID,,,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,7a42c37230b2495e2af8445426e695842b5cbae4043a937669acdd46c54ee12da84c6ca00e721ad5db551a783cc8a79e473895d14e304468fe172709b6a7f648
consent_given,consent,Consent,radio,Is consent required for this study?,"1,Yes, consent is required for this study| 0, No, Consent is not required/is waived for this study",,,,,,,,,,,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,81a0dea01132755a786e344beacc0289d467fcc77be0c8f75b1b3cf3757bf461d038311344b9791fcf3b5e39c4fa990e8b83ba97497829989d97d78bbd76fd0f
consentdt_mdy,consent,Consent,text,Date of Consent,,MM/DD/YYYY,date_mdy,01/01/1900,,[consent_given] = '1',,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,b01395f49434a33e9fc1439869fa58af193d070398cb70ba4d3dde4fbb2160abbde90388ab0990f54f0c75c2ecbc071ecb6f0c3329e396a9196ad8de21a0964e
consent_ident,consent,Consent,radio,"I agree to let the Duke Clinical Research Institute collect the following identifiable information: name, address, contact information, and date of birth.      ","1, Yes | 0, No",This is to enable linkage of deidentified data.,,,,[consent_given] = '1',,RH,,,For consent forms that include all identifiers,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,0b6a165ba9a1a8bb650cb714d82105ea06da2ab6d3743f999f876fdd28673751ef8de560e92058a289faa7ccb0b12f4b41dc0d66e21e70865e5bbeacc37f1c1c
consent_zip_2,consent,Consent,radio,I agree to let the Duke Clinical Research Institute collect my zip code.,"1, Yes | 0, No",,,,,[consent_given] = '1' and [consent_ident] = '0',,RH,,,For consent forms that include zip code only and no other identifiers,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,e6389f9f9b5916a10d1cbb38f71aa70e1d451b4447e543b3392262df5fb8f9098c553fe577a1f38ed2b659617c202b4292beeee7fd4ccbc8097591095986fefb
consent_recontact,consent,Consent,radio,"I agree to be contacted for future research. ","1, Yes | 0, No",,,,,[consent_given] = '1',,RH,,,For consent forms that include recontact for future research,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,b74051c0d5d00243926388a8140fe4021048fcf89409979cec0cfca60723cad03fdfbbb30379b3264e46c78389ad75427ae91b53c63a332d34824f82835bc0a9
current_county,location,Consent,text,County,,,,,,,,,,,To match with Census data,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,609a5a9576be224de8cf6655bdae9e19274541b3aadcb101cf9247f6eddb441732c6c55ab18c176de08e347d18f594f7ab4a65faf218f1fd8b79a21799307b0c
zip_code,location,Consent,text,Zip Code,,,zipcode,,,,,,,,PX010801,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,e2c044ea3574f894c74e449f8fc3ac335c75d81f4f9844d4c6fb2cdce70d581faae750fabb7062a2a13cd5289d46adf20e3ab44d425f13d166058173f6ff46d5
sociodem_date_mdy,sociodemographics,Consent,text,Date of Sociodemographic Data Collection,,MM/DD/YYYY,date_mdy,01/01/1900,,,,,,,Note: Maximum expected day = Current day.,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,2e506dda592d59b9863fdec33d6e53013bbc59616748a846f9cf9ec579bf4a2a1477469a6e505af730299152a1dfd2fc015bc386ec15731611202ca10e75a263
race_ethn_race,sociodemographics,Demographics,checkbox,"What is your race?

Mark one or more boxes AND print origins.","1, American Indian or Alaska Native | 2, Black or African American | 3, Asian | 4, Native Hawaiian or  Other Pacific Islander |5, White|15, Some other race |99, Prefer not to answer",Check all that apply,,,,,,,,," @NONEOFTHEABOVE = '99' PX011901| https://www.phenxtoolkit.org/protocols/view/11901 | U.S. Census Bureau, Census 2020, Questionnaire | Reduced to OMB + specifiy, added 99, Prefer not to answer",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP,728b36d61e5f968786786fd2f321feda9acd785c7163074ee89da29cec9f350ea615c3470fb4dd58797745e98a29840b79a24fb5a6866beff8ff85ebcba2fd79
