variable_name,section_header,ui,label,value_constraints,field_note,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
limit_of_blank,Analytical Performance,float,"Limit of Blank (LOB).  The highest apparent analyte concentration expected to be found when a replicate of a sample containing no analyte are tested. Concentration units must be specified in the ""Units"" column! For qualitative tests.",,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,https://ncbi.nlm.nih.gov/pmc/articles/PMC2556583,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,405dd426978d9fb64f1b6208853661ad0f199b34b18e8bce81a90f4a1b7f960e560306ac67ab780a8d6e651a69a857bb805f8c06c90922534586df1d987dfb6d
limit_of_detection,Analytical Performance,float,"Limit of Detection (LOD). The minimum amount or concentration of analyte that can be reliably distinguished from zero. Concentration units must be specified in the ""Units"" column! For qualitative tests.",,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,https://ncbi.nlm.nih.gov/pmc/articles/PMC2556583,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,69bf619afa77cbb07468e562db888624e85a80ca3f2fd2c6968062415080d30b9713d68734682c0c148ca19d04566aef2e8938c9a73b44d68d451e586f968caa
limit_of_detection_sn_ratio,Analytical Performance,float,Signal to noise ratio used to define the limit of detection in standard deviations.,,Example: 3,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,4fca8870c58396cbf68da887a39f900932e6e2784d5fcc3ed1b83b51c005f42f65f053ffa3a7306a217936ff9ae8b253b86507b9ba9402a852a2fb443c5a1326
limit_of_detection_detail,Analytical Performance,text,Description of how limit of detection was determined.,,"Example: A dilution series of heat inactivated SARS-CoV-2 virus stock (USA-WA1/2020) was prepared in natural clinical matrix (pooled nasopharyngeal swab samples eluted in VTM). Five (5) replicates were tested per dilution. The testing was performed as per the recommended instructions for use, with the virus in clinical matrix applied directly onto the Swab until the saturation of the flocked tip. The estimated LoD concentration for verification was selected as the concentration in between the dilution factor that returned 5/5 positive test outcomes (100%) and the next dilution factor that returned 0/5 positive (0%) based on the qualitative result. Source: https://www.fda.gov/media/144592/download.",,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,e8262299229c6a86301e0ff60e67d25ebe70548b12dbe12fc3bd304eca3d2c167d403b2f3edf1eb52375bd5550679226da598826dbeeb9a29bd9b3e8c9b6311b
limit_of_quantitation,Analytical Performance,float,"Limit of Quantiation (LOQ). The minimum amount or concentration of analyte in the test sample that can be quantified with acceptable precision. Concentration units must be specified in the ""Units"" column! For quantiative tests.",,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,09a18df2d729c02dbb8971a8e0e8b5f1864184f3742106eb76fbd52c4bcc3dbc5a23bb24cb9a91f7d86714ed8fed3a1e87608bed98179a8bba1904c4a56ef6ad
limit_of_quantitation_sn_ratio,Analytical Performance,float,Signal to noise ratio used to define the limit of quantification in standard deviations.,,Example: 5,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,d6ce86a104ecdeacea3e069803e67889718bb5cf6dfb7c0031a9d0827ad83a82b24ae222a47960c3e83c896fc250dd6cad15316e4225339998eedfaf120c1b80
limit_of_quantitation_detail,Analytical Performance,text,Description of how limit of quantition was determined.,,"
COVID-19 Home Test was tested with up to a concentration
of 106.43 TCID 50 /mL of heat inactivated SARS-CoV-2 virus
(USA-WA1/2020 Isolate). Source: https://www.fda.gov/media/144592/download.",,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,090c0bb365ac4a2cb552e42d4d8528536dbcbd24896d8c5457519ee125d2891267ab06ee7ef52450f1206eb66cdb3ebab623aab5f687d01380be926c49ab80a6
dynamic_range_min,Analytical Performance,float,,,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,d8f0da6abd075acc88970ae0cfc0904a6284088dcacec78f220e8213e8374f9c5f3b28947af89cb042f89193cdb824f457a0a15bdaa4faf689538f1e086c3f93
dynamic_range_max,Analytical Performance,float,,,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,e196e21be0f31677de02b5b6a950d3729af84a61cf46eb3632d5ae4bfd27ea43a71b42c859ca7c19dbcee21fee5bc5e8d0e058876d07870618ab129ddaf94ac2
high_dose_hook_effect,Analytical Performance,text,Description of high dose hook effect.,,Example: No high dose hook effect was observed when the Ellume COVID-19 Home Test was tested with up to a concentration of 106.43 TCID 50 /mL of heat inactivated SARS-CoV-2 virus (USA-WA1/2020 Isolate). Source: https://www.fda.gov/media/144592/download.,,https://www.olink.com/faq/what-is-the-high-dose-hook-effect/,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,2f125c18f15e44e8dea8c8377996db2b1d817c36f73c1171023428c0852ca479bdbf37ccea5913deded9378263b6fac2d0dd16db540c5b15d7093931c50d9d74
non_clinical_sensitivity,Analytical Performance,float,The proportion of system-based positives; calculated as 100xTP/(TP+FN). Used for comparison with a VQA standard.,,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,64b5e13a610a5947d6df15914c5a9d4d08a0a9e342171322d24d5b9083d4fd16863de67de00a3987453420d047a1ca730c8338156aba73eb21af7e2335ede6a7
non_clinical_selectivity,Analytical Performance,float,The proportion of system-based negatives; calculated as 100xTN/(TN+FP). Used for comparison with a VQA standard.,,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,d9dd8c5ca0b907e968ac26b517d98d104b15eb2ab04ec66893685c880b285d6913320db92542f4d035474ba0aeeae212a42fd889644d5d9074379fd3ee3f6c23
area_under_the_roc_curve,Analytical/Clinical Performance,float,ROC-based performance. AUC under ROC curve.,,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,c193cb5b59a6977b1e28a6f840796ecf99de1faf711795e67dd3ef94d3970050e6be2c9d837144090f64c1a3798c3ff98d9541d537c9f1194dbc0c9e426dd876
roc_x_values,Analytical/Clinical Performance,list,List of false positive rate values (1-specificity),,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,3b0b1e727951ccbe61a5f1ff789ccd97f272a38d403f958232b722edbb986b1f541ff636590c796dc85424924b5730df542a68344ad116f89991913ad665a00e
roc_y_values,Analytical/Clinical Performance,list,List of true positive rate values (sensitivity),,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,35431a3d446c48141c535b3f1be8dddb63ff9000e123cbb8480c8e6826f9ef74249fe554a0c95740b60187808e1afb61d77c0eb0a4113c4f48de539d65d9cc22
analytical_sensitivity,Analytical Performance,float,Analytical sensitivity is defined as the slope of the calibration curve.,,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583; https://www.youtube.com/watch?v=8Pe3k3fJNe8",,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,04bb6729db6da0140b1145453ef8eec5b2c4bf0c1fd56ddd278ee0b220ba91346846633b4b43c39421d1de2b1e142fc775b54aaf9932c909f41bed4bc93ebd63
analytical_sensitivity_unit,Analytical Performance,text,Unit of analytical sensitivity,,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,9e80e20f28f800bb28549238c6d5a51850b23a5dd4191b8fc697b8e57fcdd33cdc05833fe70c9fef6fba6fadb36554675154720f25feed6b0364dd09396169a5
analytical_inclusivity,Analytical Performance,text,Impact of variants/mutations on test results. Specificity with respect to variants/mutations compared to wildtype,,Analysis can be in silico and wet testing,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,0d0078b98763c633c65769e8ef9d10ea58c7762c86dd5da54b3ffaceade4a5f53d6d1e9310871f8f327d89025128814d5369627bc598f80d3130f0ac82571a92
cross_reactivity_organism,Analytical Performance,text,Name of organism tested for cross-reactivity against target organism,,Example: Human coronavirus OC43,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,588c7f02ccfbce4bf17320cb105e4635c33e186726cadfe33d7039029684069f237bdce6a9ccddc05408e2183911617acd851bce53a0178af299e4f0ecefbd12
cross_reactivity_organism_concentation,Analytical Performance,float,Concentration of cross-reacting organism.,,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,d79fa84381f7347b4a6ac9cea72499505b6df972b0fea5ea94ee079b4776f419e1bd363caec5ef691b46766ebaddf44a0c91c1bf7364f1ac68d7f6b6166c57af
cross_reactivity_organism_concentation_unit,Analytical Performance,text,Concentation unit used for cross-reacting organism.,,Example: copies/ml,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,3a5eda5cd090ecdc4e06d923e0311d9c925fb96beb34fe332927f0e4b93caadc64c9ef12deeb87b80f648263e4ad10cd48c3ae27618a52703c71cfa2242cf152
cross_reactivity_result,Analytical Performance,category,Result of cross-reactivity test against target organism. A positive results indicates that cross-reacting organism gives a positive signal.,positive | negative | inconclusive,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,7ea3671bcc82dd3995e8f1391f8db903912729c7b0dc23966ff10098d1bbb27a20513342d026a64be8c484e0528970616bc650d923f3c1e4f8c6093b873bcb6c
cross_reactivity_detail,Analytical Performance,text,Description of observed cross-reactivity.,,,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,d884ed9c3eb51e6684787ca1aeff3f3761e4d439409ce5e8b06fe59cd6acb1e2f60b1b4ebfb5cd9ceb7aea95f03e23911b43b64e4bc55c354bf4f156c19f2e50
interfering_substance,Analytical Performance,text,Name of the interfering substance.,,Example: Menthol,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,09549895c49920839c2d0222194461ba321480860c55daa88e2dc34b896228c3ef7176b170757bbf93df34a5a0cb8ce168d1d89900def839baf8b69a1716b875
interfering_substance_provider,Analytical Performance,text,Name of the entity that provided the interfering substance.,,Example: Sigma Aldrich,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,ccf6b876a418380757da9f48ce64cc935420fd1cd590ab101ca88cfb14d9910e8790663e1f3e655be05cb807c4be1520427479f7f3f95bad89e98ce78458763c
interfering_substance_concentration,Analytical Performance,list,Concentration of the interfering substance.,,Example: 1.5,,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,caabb88af6330f147e2f965d99a48327c4955fe9d4a3a5682487ad390c388d16c26a723812dfb362c8834c94d328b4264ca1b2a2838350bdb1df812b641bd6ef
interfering_substance_concentation_unit,Analytical Performance,text,Concentration unit  used for interfering substance.,,"Examples: mg/ml, %v/v",,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,5d86ed0cf8eafff36804aa6a068ec3fbc23548b959c8fe5b6af082c7e6a251e46c012ef1bc5d1c193d73ef1a553310ec3d5b1eaf975b7aaa39c7127933ea770e
interfering_substance_detail,Analytical Performance,text,Description of observed interference.,,"Example:  There was no interference of SARS-CoV-2 detection
observed from any of the substances tested except for
bleach which was shown to interfere at the initial
concentration of 1% v/v tested. Further testing indicated that
the highest bleach level the test system could tolerate was
0.2% v/v. Source: https://www.fda.gov/media/144592/download.",,,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,1a17878eafc0876c1edb9387387c52e404833b7a02480a46b4d102620806878dde2989d11d181e846cff5640a19ec7a721e60108ca461eb2292169f62512db87
positive_percent_agreement,Analytical/Clinical Performance,float,Positive Percent Agreement (PPA). The proportion of non-reference standard positive subjects in whom the new test is positive.,,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,6de846d792179e1611f1d7e8e79e201afe68f74dc2e9b4a19d2a20c3cc7d75f5e50a045ece65df6f23f9daad6823bf0e6022313b9747fbda8f76fd37de90fe7b
negative_percent_agreement,Analytical/Clinical Performance,float,Negative Percent Agreement (NPA). The proportion of non-reference standard negative subjects in whom the new test is negative.,,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,dfbd45ae12901f3338de1cd49e548ecc110564ab53a17e0d2fd04e3e5a7570f959b7d06f008e80f635c0da25d0c9503dd9e3996dc21d275b24fbe3fd6239eecd
overall_percent_agreement,Analytical/Clinical Performance,float,"Percentage of total subjects where the
new test and the non-reference standard agree.",,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,cb6d84ab3ea0826ef23b57444b9d5513a04f0db4396193b7cb5d710a7b7a1323c45b5741dcb5d03fda2402616cb2800fd8a074c07cc3ef8ec223ad8850e707a1
target_condition,Clinical Performance,text,"A particular disease, a disease stage, health status, or any other identifiable condition within a patient, such as staging a disease already known to be present, or a health condition that should prompt clinical action, such as the initiation, modification, or termination of treatment.",,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf,Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad,e599010a3d921439581780afdb4802231636643635c05481030eced2c6fc29f3f9289b91a744105f6ccaad41954ecc2516d0a50af4ace5b69b7dfb3e14453218
