Concept,label,variable_name,value_constraints,Comment,source_file,source_directory,Digest (variable_name|source_file|source_directory)
Identity,Record ID,record_id,text,,RADx-rad-global-code-book.csv,RADx-rad,035541be2d775d3bb5596e04719ca4a7b43975d65d886bbc03ccb06d4a4077b47e48003b704c7d2321ce737a51176bc950ca1612f95a9786d95fc41013df8803
Race,What is your race? Mark one or more boxes,race,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,RADx-rad-global-code-book.csv,RADx-rad,47606491ebd0a7a645aa24d02eb4766ad6667536717f8891d3c43c1fae831e69ab926e38cb60622f23dd26965c6dcfeb57beb27e10fd08b5df1b29fc16d3e1fa
Ethnicity,Are you of Hispanic or Latino origin?,ethnicity,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,RADx-rad-global-code-book.csv,RADx-rad,ee68f362bb516a5f41de7779bbed770648e8baba482ff0605cea21d229cffe73363375d4984e39c53db37070d817c8dadbe16b310c7c32257bd52e6dd60ff6d3
Age,What is your age?,age,text,"Age in years. For babies less than 1 year old, write 0 as the age",RADx-rad-global-code-book.csv,RADx-rad,7f5d17a7a85465613681173476261f74e3831dec276da99d88da7fe519c14dae4d48ea6722b5fc79f405379773dcfed5c33d3323c5ceef298dec57010d7501ce
Sex,What is your biological sex assigned at birth?,sex,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,RADx-rad-global-code-book.csv,RADx-rad,036f61fe34f1898b166f54e49588874658620c204784faadd212aeceba9abd640750e51702c7dd03097af7fedf1d0f11d56f27c25926617be703c28c8e2db939
Education Years,How many years of education have you completed?,education,text,,RADx-rad-global-code-book.csv,RADx-rad,e51788ecaab9907c207a78ee2dba156f1ec6843fe51d58bc13ea76c093c260a35637d6d6145e43ba10e6a4c9d7d9f5bb631563ce4167ce4751d73378fd4dd0c6
Domicile,Zip or Postal Code:,zip,5 digit zip code,5-digit zip code,RADx-rad-global-code-book.csv,RADx-rad,11c1b89aa7399144719d00ca3701895a42f01a7b578ed1e38aa3904b3dc96606df34eeaf4164a4835cbb8c369e80877a18657eed0dc9639fa80cd215eb321817
Employment,Are you employed?,employment,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,RADx-rad-global-code-book.csv,RADx-rad,691017210568cd7020632706dfbdcb612d1cabe78ed5239aa4bae9170d589e6c557a51b30ad05e67af96ef7360e1fa621ae5b1c6ae488153396b28e95c75a17c
Insurance Status,What kind of health insurance do you have?,insurance,"1, Private insurance | 2, Public insurance | 3, None",,RADx-rad-global-code-book.csv,RADx-rad,3844770e52c4e934c3b4990298fc06fe16837069642e07b7fa1070faf9b82443343fc81eb40a9d6614c7f2dda84aa5fc6ef2ab09ed9d9c9f83ed983ff7079578
Disability Status,Are you deaf or do you have serious difficulty hearing?,deaf,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad,88cf990cd297f921c6855d76d56c8b5b2c320c66249705c2757fe425bbd92c19623ea3561aa887be992dff40a774b0a597a9173fac6568cb75500218f4ee83db
