variable_name,section_header,ui,label,value_constraints,field_note,branching_logic,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,RADx-rad Minimum CDE,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,26ae9be7245cf7dbe97be18701ed26f3b8aedda35db9202ce27b53b646fc10fc0cbdd12efb5ad67824f4a5bbb6395db82cb656efff1ad46c7d2266665724fa76
cohort_id,Clinical,text,Identifier for groups of patients,,,,RADx-rad DCC,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,72154fdb25d5a180b1817cfca9e4003ce6cd8841f40c93bbbbe5544224146fe23507d8d794647b0c68666f80dc23c821831af81e37c16f2fc26c2a6160acb2f8
symptom_onset_days,Clinical,integer,Number of days since the onset of symptoms when the patient's sample was collected,,,,RADx-rad DCC,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,a85e6edb3df74c8fd9fc067a9467658376a5e8dfd6a8cc34d9d53f8ebb162c52316395b141f5aa779670060393a05c668a11ee7647bffd4f4112582d45481336
covid_vaccine_type,Vaccine Acceptance,category,Covid vaccine type,Pfizer-BioNTech | Moderna | Novavax | J&J/Jansen | Pfizer-BioNTech Bivalent| Moderna Bivalent,FDA approved vaccines,,RADx-rad DCC|https://www.cdc.gov/coronavirus/2019-ncov/vaccines/different-vaccines/overview-COVID-19-vaccines.html?s_cid=11758:covid%20vaccine%20brands:sem.ga:p:RG:GM:gen:PTN:FY22,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,f46241a2d598413239f9bf35f8861f67312f45091e72a20f6c5c4ed3f7614067f27ea144b82833c5b00e53c9d9d8dd32515b5d742cb1f282421545842985302f
covid_vaccine,Vaccine Acceptance,radio,Have you received a COVID-19 vaccine?,"1, Yes | 0, No | 98,  not sure/prefer not to answer",,,RADx-rad DCC,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,57d76841301a7fd5e83fabfb0e88e5f805532a319305cbd1b23401021dfb369e98ba28cc5eb2787a0d690f21149360b9f2b38d93d9a4444fadc1d07db1fb3fbe
covid_vaccine_doses,Vaccine Acceptance,integer,How many COVID-19 vaccine doses have you received?,,"use 0 if covid_vaccine == 0, leave blank if covid_vaccine == 98",,RADx-rad DCC,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,fdcb6ea564268fe32daddabcb9e4904ebebbcab3c9e87bf73548f23d03c499723518d108c6a1cc1714dfa32e55baf0428ef859d0fa019d34903ccabfd6dc182f
covid_test_target_disease_status,Covid Testing,radio,Participant Testing Disease Status,"1, Asymptomatic | 2, Pre-symptomatic illness | 3, Mild/Moderate outpatient illness | 4, Acute illness | 5, Severe/Critical inpatient illness| 6, Exposed | 9, Convalescent illiness",,,RADx-UP Testing Core,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,8cae123c32a59e7c367108c64959ed705973d466afde1c63626c50869ffde522ec407feb233fa4db0967ac179b0d83abec27c088f21603435d6ecaf0efc61835
covid_test_type,Covid Testing,radio,Test Method Target,"1, Antibody | 2, Antigen | 3, Nucleic acid/PCR | 4, Nucleic acid/Isothermal | 5, Molecular/host response | 6, Biochemical marker (eg, pH) | 90, Other, Specify",,,RADx-UP Testing Core,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,b2751539d1d009094f9479b462960354707eb07162d0887cfa22dc5d9a48d948cd2fc8ea8ddc232429ee183f390deb4fc8eef4d57a859ac53dfab6a20f8b76d5
covid_test_type_other,Covid Testing,text,Other method target,,,"[covid_test_type] = ""90""",RADx-UP Testing Core,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,2eb6051e2172ec9bf1f0b6917aebd07a57bb3734dc11b478399a696c54b3e3789d3f0fb04871cebb88031b7e9af363c5d3d3b3e8039a0280360e65558ac131fd
covid_test_name,Covid Testing,text,Test manufacturer (or LDT) and test name,,,,RADx-UP Testing Core,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,b4161ca08501b6ac35e1034d754858f086d18480b718cadab7b9429147b3f500daf9c6e416645a7b8aa56d1ccc47992d40c0b140c975ec71ba78fbdb3c37dc29
covid_test_specimen_type,Covid Testing,radio,Specimen Type,"1, Anterior nasal swab | 2, Mid-turbinate nasal swab | 3, Nasopharyngeal swab | 4, Oropharyngeal swab | 5, Nasal lavage | 6, Saliva | 7, Sputum | 8, Whole blood | 90, Other, Specify",,,RADx-UP Testing Core,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,81ee389b5a0edf9eb857799d4cf0ddb7d83e8eaa27dfaa401bba4d25c9a53d74a30711a93e2e4acef197164b1646720850eb43df9577766e110e9a3548d72717
covid_test_specimen_type_other,Covid Testing,text,Other specimen type,,,"[covid_test_specimen_type] = ""90""",RADx-UP Testing Core,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,878e2f44303c7312a1d4132bef32b01247c7e37a8f86dc246dfdb7bc86acffea185887f7f49d9a7c79cb53767eb96ffd316de9f02263ef84077cc69c8de4547d
covid_test_specimen_collector,Covid Testing,radio,Specimen Collector,"1, Self-collect | 2, Health Care Provider collected | 90, Other, Specify",,,RADx-UP Testing Core,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,29a5547485114ea869cbf57a09d54df050c973ee69aace4dbebcf4e1f1dad6333ffa8aaef68e38ea2709d4657e894fb430d4cf1563d0d94b059f1456826125ff
covid_test_specimen_collector_other,Covid Testing,text,Other specimen collector,,,"[covid_test_specimen_collector] = ""90""",RADx-UP Testing Core,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,9b58040497417642cec5e582d46643f0b6d906812563561b9e5e8bb6f04dced1d71247e6f0796fa4106483b5e06a71e5e1fd4c0a26f4cb5075de546dffe216f0
covid_test_ct_value,Covid Testing,integer,PCR cycle threshold,,,,RADx-rad DCC,RADx-rad_Clinical_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Clinical_Sample_Data_Elements.csv,RADx-rad,30eb93468c72863e5ca257fe38117e09a35e4f1104f5f362508422ca93ebcea89294628e6a7a5898438670946eb97c9df3fd40b00964ae6c56c388b23c1b2bf3
