variable_name,section_header,ui,label,value_constraints,field_note,min,max,branching_logic,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,ab1ff3eeb8c3d83394b6a8612bb7e2810e6167b734e31a32d248942daef2c1094e4c65964b319b705f2ba7d8bfe54a6eb68865e11ac5d72b26f24a4216286533
race,Race,checkbox,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,1ac402d321ee76eb21964130806064389a78f86fc5907e6296699d8f826ff789846b47a01628a564079301483af1794796bf5ac920a1a04e9b1fbde4f879378c
ethnicity,Ethnicity,radio,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,e5f7bcd70a048cea979dc0ee373e9b9cbe7323d8ab341a55a20ffa845f8b4acc7742781c79ebf54574f5768e8207432ee290a0df32577b14ade3096f08439af1
age,Age,integer,What is your age?,,"Age in years. For babies less than 1 year old, write 0 as the age",0,90,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,473279d65c3e72cf7a405adbb8781195b7a643dcca342692a62edf747c1ce9ecae8f714476555a87abdce4ff8d30b09d876e569cea09cbb1f9315b28e75222ed
sex,Sex,radio,What is your biological sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,2a4bfa9999b8bf87adc204f0d137e8a6df9f2fae01b12ca1cefea945586f2c7895ceb4941956f6872da6bb2d7892964effcf54716c316064feb9c52456a5f1b0
education,Education,integer,How many years of education have you completed?,,Years of education from 0 - 20+,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,1ae6061742501e16fec0e1a6d8f9eef282f7f9763a239efc88e023eff7a50c44aa8885ad302a99445c548f9085ffa4ccaa417943cebdbcfe3257e7fb47b042eb
zip,Domicile,text,Zip or Postal Code:,,De-Identified zip code,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,74469644b6aaa739e110d6c84f36f5a7a1b07c06b7373171e855740d29bef3d2555da487bad2c407e06e73da032e7910d7f0479cb1c2035a0e4b43dc14b6bc1b
employment,Employment,radio,Are you employed?,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,3e772d5aff83c722a9a5ccb517a4c62f2ec389ded10343ee49d06f91ea9f303c2f64bc891ef4d0ad864906cb79f457b42a546afb0fecb964fad09df0a4a80af1
insurance,Insurance Status,radio,What kind of health insurance do you have?,"1, Private insurance | 2, Public insurance | 3, None",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,0690e98e4af797407b698ef2f5af46c854ef1db3720fddc7ac937e9d3582b455a5d0bce5e383d6fcfbd5e8028743b3a74411f93ec42dd66de1734e2b9af7d125
deaf,Disability Status,radio,Are you deaf or do you have serious difficulty hearing?,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,695fb2fcf2db7c2101b2efce922ec8aec05daa8bb2612c98692279e1f59125768388226c58e144186ad545c3f29d743e2b3ad2521c5ad5d04282bf7b475b6298
blind,Disability Status,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,ea8356b0915594348ec504f4b4f32e3ecebe9cd5bfa05af0cda73f8a2352d761fe2fb28129e3aa68227a958ea142e9a8d00929963f1fa09eb3550dd736dcd87c
memory_dis,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,ccc948033339560235f7a5b9355c55c41a01e799abef7fb40359f1a5ed67167adbe84d8999baf7f667d93815ce4f460cfe90b9f31c88f0f75766ce7387ffcf0e
walking_climbing_dis,Disability Status,radio,Do you have serious difficulty walking or climbing stairs?,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,973889321f51d09ffa5a097a6e743d6c42ca437f233a06505e22b6b9b3fe7750bdd4f9f31ea075e3a7c8bff96059dbc3cb8561dbf1caec01c787aa7bf67094e8
dress_bathe_dis,Disability Status,radio,Do you have difficulty dressing or bathing?,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,d8998d864bd02481f8d0fa4a3b70cd8283468e05ae487c213e14c085f5a51ed4c56887a95cd3f5f78fa8ab4bfc80348e959646d91e60f1f9ba7beffba07e729f
errand_dis,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,3570ad231b453d64a89d47a3173d2eeba3cde637886b3f608d4f80cec45749cc795fe03e3ff4b52d8d757a7baea813951db8e9ef7997ee7b2e05c439dfcb1003
vaping,Medical History,radio,Vaping Use,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,4067c8fcb2f204454e863c3217d2a237207ae0d78551bfb8b99cdb6d22c676c0cba8fe922e1ed8736ca4f8cc9deafeb011eb5be07a9de12d94683b2c0f6e0e49
nicotine,Medical History,radio,Nicotine Use,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,40cc9cae772649fb7aeec4d248904b0f97adbdf5de747ac18e51353184de536b05c80c35188d45d7792d8bcb418cfcab1925d9c41c0c66258d158eded4d6b322
alcohol_use,Medical History,radio,Alcohol Use,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,bb57e3fded347d60f03e4cb27aa98e4af53181d9eef424bfccff4467ec0059661a5d070bb260106599630d1305fc415f695f69cd6ad228b70b40fe9cf394d012
asthma,Medical History,radio,Asthma,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,89d5071cd4cd43164ed913be9fe47fb919ec84cd5ad84f73e3ba4f3a57350eccfc4b826462a8e67b8731ebb1d3d60a4194cf726b5b63a1112178fb6aed22a0ac
cancer,Medical History,radio,Cancer,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,c8903a6fb4a39a7ac90c30cd5ca6efd6b30e9ec9bd540dce024ee9789e3bef3f71028e58a611161941ac7abfc67dcb1265c0f249897c8cfe4fcacd82b1d7ae5b
cardiovascular_disease,Medical History,radio,Cardiovascular disease,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,509987770996ad34266551c8cdf5e7e6e32be95f19fb5a87c7aea441b53441da129d24e45666b78a20991fb690224b9a92a285890e083ec20208f1bbd99ffab0
chronic_kidney_disease,Medical History,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,a5db769aa6284981f47c06a43dcbca1c34a435aafa85e04cd3a27d738fecbcacae2cdb8873aa525c9ccfff2119cead08409ef31aca2e0a11e771564b4cb911ad
chronic_lung_disease,Medical History,radio,Chronic lung disease,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,df1a8854bfd59c709a8a4bdb8449318f6c355cc3f3f66876b3cfdde09b097121e3627484e283e0e78f5d7f054e7d7a6ee68eded998f47af8d5508ee8b81725a1
diabetes,Medical History,radio,Diabetes,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,4273dffa031a42a6a0acb1a2947f8d1e0a063d2b1828abbaaf898d70f8f1bca2863209a66061893bb8f68eedf4c707070b11a71e3adf3d5085eb0498bf7ec5dd
hypertension,Medical History,radio,Hypertension,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,4b09b996733930cba890ea0ed87e255a028884b9342458612795b0863c3b0dcfa0e6e46f54fb572351a9deecf6a2788628e1a9e894a95461f043cebfd6fd455e
immunosuppressive_conditio,Medical History,radio,Immunosuppressive condition,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,0ab600f97f10721afcb3d861e45f65befb7f90d6f883b7d46ffd4e19aaef2c14bf5982faee5cd5d9cf640b9cb1f2a1dd1aef405dee204d00876799951b8f3c72
serious_mental_illness,Medical History,radio,Serious mental illness,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,fd6a390b397e8a315f75edeefe1e2e4ed7a4b07237cff51edf89ccb73d9a8a1e2e329286ea68cc414c10e2e70d4958cadc1ee5cd8846be9865c16f43513b9ee2
sickle_cell_disease,Medical History,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,eef44b75305bed238a933a9a45f1be09956a60ba121f854af5161bc5edf49eb7df82b7903a350e700b1175df8664dc905b918d94bf1ddff4a8027aa0ef7b9a19
pregnancy_status,Medical History,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,[sex] = '2',,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,12147c858058d7f36ee47b3ad24b3010c9054a5c9ba8a4b7a6aef78e07439f68b45d11c1215bdd02d9da9020ff00fb58cbf62d72a3b7f88b8ac2a4d1855c05ae
cough,Symptoms,radio,Cough,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,7cf25c7a80a4cfb6e19dedd85ced51310c307a98979dde6e9320913d155ea2a1911a3f2632225855d0d46d4e18a1b153d9a2ba7055c61c1ef64a04b750d62d23
fever,Symptoms,radio,Fever,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,4a45c2c1fd025acc6e0f56f20029594ecbbc2e2d28f221541e58d5e0b46306c477e8d3004cbf98495b29f2c93267c1fe7bed12afbe45a655e17fd56747dfb776
shortness_of_breath_or_dif,Symptoms,radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,eabe0ac1d20b0fffab2e23e4ae420b300e959ba1f9092178393413225a28711e6caa43a75168397e5e58fa273b6f80298354930418cfd1ee1bf7292c4496e597
headache,Symptoms,radio,Headache,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,40880060ff7e4e369154a059eec3e7fc41a8f0230e1d46b8b50caa27dd3c7485c28afb7d2a2fedb2f17b270ebdc1bfff88241903d45e8689ceaef02a43b0dcc7
muscle_ache,Symptoms,radio,Muscle ache,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,e7fc8bdfefbde79042612dea6cf4f32dd1c6e1f412137d517243a51810e60d1831265e96f27b8ea4b1902a7fd2fee5433c188e5654fb0a15c179800311bf5f6c
new_loss_of_taste_or_smell,Symptoms,radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,701b3cac7eea3df379efa7bc37cf7b4f646458b9f5f63c077ef2ebdb69db6a544e9e5c7352124159e7615d2db151c538d022630c014b2c7eb577fc94db20e75d
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,92aeec36214a4618dfb1c3e49972938e332326bd9152c128b21a58fa44839d4b667f7faee40bca259c8f7a499d09c2f92e20770d9648d76f874f81107374abaf
excessive_fatigue,Symptoms,radio,Excessive fatigue,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,33a9fb11d7374a5f84dc266759c98b583f4a5edf2570b2b586edc31bcb59576821545b27fea82a2af75aa9fdd752ae29347217794c0c01ef85cb53c93ff99550
nausea_vomiting,Symptoms,radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,0a78cf399ddf925125a488cb8bf524550de204a2df3e46424c21016069c5cecafaaee29a04fa5160b3bad1b3fe1819e4638461bee8719e11a7abd0909e3315cc
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,ffa36c6176ef89d2e1899f9393bad4b3fd595316c9674d4518403cb7135e7ad00fe44c84bec388dc9fcf99449cea19b516e497aa9dcf679df5d3e728baa7dd4a
abdominal_pain,Symptoms,radio,Abdominal pain,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,b3fd911eda9a923a6d4d4c6c556e902cb535079c1e7e84978f0d03087277e902952b2f038962596cb95d56e54569afbe7f0da6374d44c2c5f4292acb06db85fd
skin_rash,Symptoms,radio,Skin rash,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,26d85bb87b93c049eecab8e012176fc3be99aa6a144ac982d9c265095db0621e2bf6d31b7ce346e2eb8b1f1707a50439a43a3a8e85b04d6e03fffb6affde60d9
conjunctivitis,Symptoms,radio,Conjunctivitis,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,a12ae7f6683dec269864be84da968c0d2606ebad1355cf16d4f36c208e1b0d95d5d60067f809c960d9525d040cff600d51c91931802356bbfa8e0b8031ff83a4
height_feet,Health Status,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,foot,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,e7653562485b1d0436e6ed21acb5e984a6101a8a53c1af843660fb039f635c7eab2db655172a11d565a86ccf468340391e1b44ec5e1d76f1ca3da99f307b766f
height_inches,Health Status,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,inch,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,e565b62ab6fcb2086aa74adba894e845bd7cf22d3f069a396d8bbf589001f13333a3c7486c153ddc8529a8254f6809df26cfa2a2406ce97270eafb3cea79aed9
weight_lbs,Health Status,float,What is your weight?,,Weight in pounds,,,,pound,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,a323ce15808190357b206a0ef435f18db0e88922c2753c3dcdbe3fcc71cd246b2c83cf5ba95e15605c77fb2017bb93ec17772f1562e17dffbfbeb7b3d2be000e
health_status,Health Status,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad,5cc4c3bffdf658b3c675043647f29a83e4d775274e0c90488072ec02709113521993bed9b9be0da8f7988c1a2d494226c6864f7b15ad96385ab3da12bf82202a
