variable_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,a0bb95d2909af307c43f771a7b42f76add4e9876b42e2c8d2cd0950f894080e3e772e7e4c917b5c78a720db8868612b9ededdf9377b48abd138a1b36de2edd00
race,Race,checkbox,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,1b3834ddd7519542663d2952ee0b7b50e0151b6541837df5d3baf6da8c0899cc2e6a608f89e75c3474d9abd2e4a41faedf3cc590c418487f40960bc7f062a8f4
ethnicity,Ethnicity,radio,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,7c9797ce35270c0427ff6ca47d1df954a923912a6aff1412016c0d505951f053532c226fa37cb706fa58e3262e118e59ecdee8b538f91562fdfbd2c91f97d45d
age,Age,integer,What is your age?,,"Age in years. For babies less than 1 year old, write 0 as the age",,0,90,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,8dfff4d453558bc36635087e1e8a2b96bd494d00388f26c7734fdf0bb81544afa032638da2e72be2b0011f3d329c96afcae70e8cada0520be1f5b45941550703
sex,Sex,radio,What is your biological sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,3ee0b18c28aaca96c53644acaa2dea97cdcd213c581bf3d2976c930f6173076db01ff068ce8ccae78498b9f8e32aba9a399c318f53d56c17d07520387444d7b9
education,Education,integer,How many years of education have you completed?,,Years of education from 0 - 20+,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,be5d34c89c377e912527c71a0c9fd9cd5c822fcb162e3e72ece2f438f15d3a90642817c884dae372d1a53ad60432e42dfd7bfeb7095ff92ada6383dc4640bbc7
zip,Domicile,text,Zip or Postal Code:,,De-Identified zip code,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,a43a6ae23c86f5d3660ba1a5e5996b3c95e21e31f9c7d5889dac14519019d1557d22db5478d3f11718e3bc026c05afef560d4765dd5f27c5ef923c126f74bc58
employment,Employment,radio,Are you employed?,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,1e8210f44f103d7db73b2cea3cd5426f337caefe2cf8beeaeaa5b3eb3f2711b14a9252c4040c2b799ced4e2e1d2540b8dd1a5bdf09e344be9f7f6dd43f5596f4
insurance,Insurance Status,radio,What kind of health insurance do you have?,"1, Private insurance | 2, Public insurance | 3, None",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,58b6feec9530760fe262f002a24227b34db76ce19f6f2f4700315917d63705de3e6e211a53e3cb30b257851efcb0ff6a1e29ef2f28409c638a10a9d2f2053887
deaf,Disability Status,radio,Are you deaf or do you have serious difficulty hearing?,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad,dc237515160d7eb0cccf0d2c9bd74ee865b44829e97becded7d25c32256864653d6d1ad1c64d1c73b2f14eb9b844312e8852998927a437633d4dd43ca7931301
