variable_name,form_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,description,source_file,source_directory,Digest (variable_name|source_file|source_directory)
record_id,form_1,,text,Record ID,,,,,,," @HIDDEN",RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,caacc59faeadf64f0f20db692e2942782c2b44af0a112a25ec7567d2b2b5141db65dd6455f697f12d72299686f74e89be659add2412ab4d6890bfab688569c7b
study_id,form_1,,text,Study ID,,,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,7e2d57a4e7eb7bdf4c6ecd65fe8fb38233f34a3768dccc49a57b8cfb8db705ea25e8f81ac069f46a310179c11faf8e47a4b93bac1b46c7104c19f831cdb479f9
race,form_1,Race,checkbox,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,9c9814143e4241f7284ee4a897949c4895840cccc22df7173ad0b949872a00bf61e3ce1b206a36332e4e2756538986f6305654673251396a38f0943341b2b8ca
ethnicity,form_1,Ethnicity,checkbox,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,86c2bdeef95df786db5e6eaac8c2e9c83fdb9e1daaaec7101e139b3ae88e21bd1ff553a12ea980020a84be3836e9862cf7380cd7d256742ed1c3e3a35c620171
age,form_1,Age,text,What is your age?,,"Age in years. For babies less than 1 year old, write 0 as the age",integer,0,120,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,ce36f26df9b74ffe9b34f110509b8cf79fd920909bf5b3803cc73f58bb64eea799641d318b8209e1df052e09cc9ad85d698c2da81206d0b431d64d5f2a4407f3
sex,form_1,Sex,radio,What is your biological sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,bf20876de55bffb61151f393604c366a715994815a92c8de50603588527855c15804d2fa6f6b530c6dbea60433ce7ed2033b5ec9c22ebf88d00df0b03a186fb5
education,form_1,Education,text,How many years of education have you completed?,,Years of education from 0 - 20+,integer,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,25967a3b9167c9860c1db2ed90ddabd84598031220d920108a4521adb96459bf7ec3bccf5eecca177d8afad4b0291c0b7980b94763cc8bd2e108001221f907bb
zip,form_1,Domicile,text,Zip or Postal Code:,,5-digit zip code,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,e9c80442062424980b950a5603c452d8c744c852714810b80dd0e1ca96a7591a4602d736bbebcb4d2cdb4310821ef149c2ccb91ababeef43e31659aac6eff475
employment,form_1,Employment,radio,Are you employed?,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,30650e9ed171801b21efbb476f653a7e7bb3cb194bfc642a9406fb3ca410e50d506ce27d0aae30a854572f0e1e47a723378a46e86e5d7df1b7c5608e233d6332
insurance,form_1,Insurance Status,radio,What kind of health insurance do you have?,"1, Private insurance | 2, Public insurance | 3, None",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,4b8516db88b6d95b2a698dcf81c40f4af91287639c43a1c2d63d65bcb690a303aa714dbee97831c582453504adaccb15c90bcced3dca5f2e80a23d37ee9e9718
deaf,form_1,Disability Status,radio,Are you deaf or do you have serious difficulty hearing?,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,4aeac0ef6bc554038ae585a753544506b035914e95ee5c0b58ad3abd56680b2902c2d9998398776bd1b25efb7a3416893d4cf2c7c593f584cbd961a5caab35e6
blind,form_1,Disability Status,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,5317a5467d62db7310dd5d28b4a7fe67ce8224a12e75e23a3cfa4efe0d1a09a92af54d48319ab9f05aaf52018f642328cc687e80d5e20b53fe35b6edff1960ed
memory_dis,form_1,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,aa2063ca1ce2e2cc81a7563f921ed7c4ab73f2cc70261e062cd5608c9bca2288f5b64786ebce9b743bde253b84d4512b9c48dac2585e43859c2a5ceab7e2c3a7
walking_climbing_dis,form_1,Disability Status,radio,Do you have serious difficulty walking or climbing stairs?,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,ea6dcde390d276bf17e9d1ae4b1d3364d3a6b61fa9c5fa0e6966bf6e23e88b8354a5271f6df9ad55f8b6d6a904d456d0d970b156ea84075044eb686813b13e09
dress_bathe_dis,form_1,Disability Status,radio,Do you have difficulty dressing or bathing?,"1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,d65402bfbc4524aff5a4a022982e3e75c69a48a555810323eed0a8b3861a396398f995726879e7f7858725a6bc82868ae571c27eaf75f0df68bdcb9699778d36
errand_dis,form_1,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","1, Yes | 0, No",,,,,,,RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad,011f24ca2ae1a90566a6432b4f10270701699c05d04d20815dcc0563e789a8f85d5ce1f804d2dc6a2b027795cef70246bc13c80211a72a7c4b9800c1cfc102c1
