variable_name,section_header,ui,label,value_constraints,field_note,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
sample_group,Sample,text,Unique identifier for a grouping of samples or runs,,,,RADx-rad DCC,RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,1268ed31b873c876cc64958601d5c909580bb4fa6f49be0645d791d5b0fa3cecfb7c31b36830a8b9b2e7d17a5c6777a0f39897c9fee931416048403497724759
protocol_id,Technology Metadata,text,Unique name or identifier for biosensor protocol,,example: ddPCR_SARS-CoV-2,,RADx-rad DCC,RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,b90fd94f1aae6ab6a3b9bcf93cfaa724fc1a47c1c1ee218bba00b0eb08fe2ee2e0b51448108024f2a3510757ee9cdd74a250b9d9b644fa614e5f69279ebec3f3
technology_platform,Technology Metadata,text,Abbreviation or short label for technology,,example: ddPCR,,RADx-rad DCC,RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,9298f5e4dfe806b1218f35dab64690c5df2dcfc3b4c54da316174098412b4a47d2cc4aa47c8ff1ead56f1531d4204a028b970fd2f321c80bbf12f1bb12a90fad
sample_size,Analytical Performance,integer,Number of samples in a sample_group used to calculate metrics,,,,RADx-rad DCC,RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,fcc9e9321a80ad93f0dd4f00bdc2051d5d750f372148565a321516b4597badfc7a618b5f766d4d30fe1cce1c36910778f62b0e42cd9d3a748a6216d05dad01df
limit_of_blank,Analytical Performance,float,Limit of Blank (LOB).  The highest apparent analyte concentration expected to be found when a replicate of a sample containing no analyte are tested.,,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,RADx-rad DCC|https://ncbi.nlm.nih.gov/pmc/articles/PMC2556583,RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,3ee3720add12f15811007e07dcf3dceef7b19020027520a44dd326c2120e9316d1890af4847e1432beeb2d381a52a04e112fd70f0214aefd120093270b376fb6
limit_of_blank_unit,Analytical Performance,text,Concentration unit for limit_of_blank,,,,"RADx-rad DCC ",RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,06fa59297a61e6d64ba44550224a8d033bc8ff80b6c5445ff97fc60550aca6267d9fe1cc038d418659196e8a04f2328ab9f54c96123babaaf25f2e141a953e6c
limit_of_detection,Analytical Performance,float,Limit of Detection (LOD). The minimum amount or concentration of analyte that can be reliably distinguished from zero.,,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,RADx-rad DCC|https://ncbi.nlm.nih.gov/pmc/articles/PMC2556583,RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,4d87d56cb2823df6c89a541f5811e89f570ac17f8dc4a7eceffb056f49e1d5d5bd49b9dcf294d9049aacc1335f54bccd96649f164236bd5575d115d34a2f2f8a
limit_of_detection_unit,Analytical Performance,text,Concentration unit for limit_of_blank,,,,"RADx-rad DCC ",RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,33a08e2fe00f29b344b49e54e0aeb41085213021ba1ce97359b3794cc26d11ceacc30882cb710f63f45f9f6aa0d37e9d3104e246a8cb79cc4e66600d7914bd7e
limit_of_detection_sn_ratio,Analytical Performance,float,Signal to noise ratio used to define the limit of detection in standard deviations.,,Example: 3,,RADx-rad DCC,RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,02c853223005b3703cf620719f1eb50054a85d4c5d91346d1cd40f5170aef0f6ab170b313fc89a2e72138fc97205bfbd63a0af9b8c227724cadb81ae36cb54a9
limit_of_detection_detail,Analytical Performance,text,Description of how limit of detection was determined.,,"Example: A dilution series of heat inactivated SARS-CoV-2 virus stock (USA-WA1/2020) was prepared in natural clinical matrix (pooled nasopharyngeal swab samples eluted in VTM). Five (5) replicates were tested per dilution. The testing was performed as per the recommended instructions for use, with the virus in clinical matrix applied directly onto the Swab until the saturation of the flocked tip. The estimated LoD concentration for verification was selected as the concentration in between the dilution factor that returned 5/5 positive test outcomes (100%) and the next dilution factor that returned 0/5 positive (0%) based on the qualitative result. Source: https://www.fda.gov/media/144592/download.",,RADx-rad DCC,RADx-rad_Performance_Metrics_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template_v.csv,RADx-rad,f7e0bd952316ae1af6b04c8b489803e792e1ac54b99b3f3233c63b58524f164e0c03f05a3d2e226ba3aadf077d61e56f18fe4ae7f37c3d445fc87fb42d2821c3
