variable_name,section_header,ui,label,value_constraints,field_note,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
sample_id,Sample,text,Unique identifier for a spiked (contrived) sample,,,,RADx-rad DCC,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,52e63c0328d05dfbd62ea2b2ff751d677841fae7ceca69a9d5afc30225d759166e8d9ddafc7e14726e6a3b18ef21c031c44539be81a24e58a57808ac810f7d59
sample_group,Sample,text,Unique identifier for a grouping of samples or runs,,,,RADx-rad DCC,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,7de971765b0949536b03aadc85d0b54fa11bae8af515cb32d7a526144936f68c8920ad87b5ac44bc3619f6701a04790d8786ca92050872be225690222bb9af43
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,RADx-rad Minimum CDE,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,709b897787c15ced01812e2c3024503f029c0d8c9238331e63785fa5dab27870f8f8db225eee15ad9d865b644cd0246ddc6ea33b32af8873b437f7df98dae8df
cohort_id,Clinical,text,Identifier for groups of patients,,,,RADx-rad DCC,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,e64cd724922cb6165244e9c8e2ec0062ed8d01e9e58fd94ac13922bb6ed333a8cd83fb35739e81d28909aded3fed50aae27e3045701e2ed34c51e82e433e4d70
protocol_id,Technology Metadata,text,Unique name or identifier for biosensor protocol,,example: ddPCR_SARS-CoV-2,,RADx-rad DCC,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,4cb35f7745c2f6977fc86074a9172da312217e7f1156025eae6ad5e84a8d602f34cbdd753e35f658427bf5d862ee3181b573c936ea2f033ac2cafeae1b74d6d3
technology_platform,Technology Metadata,text,Abbreviation or short label for technology,,example: ddPCR,,RADx-rad DCC,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,63a2eacd7cd9b4306b9771c0685794c1aa73445c94357d71f1af72f17b46c54bd1f31279ece9b1887b526d51cf944aec593aa8a8bbf167f32954b095f7c54394
analyte_type,Technology Metadata,list,Type of analyte(s) or target(s) to be detected,antigen|viral RNA|virus|antibody|human IgA|human RBD IgA|human IgG|human RBD IgG|human IgM|human RBD IM| neutralizing antibody|EV RNA | VOC,example: virus,,RADx-rad DCC,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,ac191bec36a40ab9fee087656651d48536150affedf212afd5d5d6f3f6209c3db09ccf4a1428e86c0d2aff904af829ad830ad2f5c06f687de366ed4f6bcb98e4
voc_specimen_type,VOC,category,Specimen type from which VOC was collected,Breath | Skin | Hand odor,,,RADx-rad DCC,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,49e8822bcf2a188021060e585eb03a3ddd25c5200070e4d9720fa0981f57d688fe78bbd223ed66c70459d725b085dc9062bf40628e235152bb85d6e43fa8879e
voc_compound_name,VOC,text,Name of compound/metabolite detected,,Example:  Acetone,,RADx-rad DCC|https://pubchem.ncbi.nlm.nih.gov/,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,17f8f08922c216a1f237128b28e2fc85c26e5b6a09aeeecb916154ee2e6b2d5ab4e6009a2648f9a2b96be0f8821d27073067e036a3ba48a5582ca08913af6ad3
voc_compound_formula,VOC,text,Chemical formula of compound,,Example: C3H6O,,RADx-rad DCC,RADx-rad_Results_Data_Element_Template_v000.xlsx - RADxrad_Data_Element_Template.csv,RADx-rad,ee3c9269dcaabeddb7a6a2ea324fb15683860056060467e1a6dbe7f59657316dfa134340d608668a039cca829f5676274f708605d15fbb28d3050a4929f70f9f
