variable_name,section_header,ui,label,value_constraints,field_note,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
sample_id,Sample,text,Unique identifier for a spiked (contrived) sample,,,,RADx-rad DCC,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,b5cbaae02eca17719296d2e6cdb739790fb0eb3b267417807ecf0a4bf4dcad4c0db544f0452de9c2dd5ac8e68c75c552b48d489263e2f2973e1f7a9876f72f90
sample_media,Sample,text,Media used to prepare the spiked sample,,example: pooled saliva,,RADx-rad DCC,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,26558d1e9db906c67b915b8b3260d2b18d15b00d45f6fb1e3d8cd5316a69b7d3ac8daa3eed3e3552cb6406ba837cef600c936aa2ac6e3179ca6a08d05f694d4f
sample_media_id,Sample,text,"Catalog number, batch number, etc. for the sample media",,,,RADx-rad DCC,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,06f45397f551305fdb96f0312d74ae2a444be0be2641caf2a6baab72394b776ba6b77e1db8052cde0f251a3508c7d45b37382698c66b38af7b443d684a3e2ae7
sample_media_provider,Sample,text,Entity that provided the sample media,,example: Lee Biosolutions,,RADx-rad DCC,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,dc40116ba3d9b87ebd3709bdddc32ac8438b2d1f47e98843dae23a27119e0bf2707700b0e6b7afab061275d108a11e004bce69333cf719a51761ec70e255b2ef
sample_media_provider_url,Sample,text,URL of the sample media provider,,example: https://www.leebio.com/product/1769/saliva-pooled-human-donors-991-05-p-prec,,RADx-rad DCC,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,820219c6eea295b93d20e83127e23cffd1310202d925a77797288d323bf2012a60455b3ccaec1c76ef19ee5740ae32317e1af46461d2b1e27f07e6db02c81ec6
sample_concentration,Sample,float,Concentation of target analyte in the sample,,,,RADx-rad DCC,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,cd0789179f380126f90b28283754a311dcef581873c884d5ba75fed98130f2fe13c86189837198e2d73394156d2d50106c80224d73a29345b0c3b4b00daf9bb1
sample_concentration_unit,Sample,text,Unit of the target analyte concentration,,example: copies/ml,,RADx-rad DCC,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,e11add65e3c6e4787939a4f7c9b854ca2956b7b3df1db6237c7d2f869515067fc0ce392e5cd67befb29ab0170bf14457eb8b24ef09c91dcac045c85cb9e43ef2
sample_concentration_measured,Sample,float,The measured concentation of target analyte in the sample (for verification),,,,,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,11cab3e28fb0afa2cc9e8dfca7929ad5ae9ce2d71d83d84da3e970d6ef88c1e2e32b09592791dc0229011bc95e9f6657a82835a1e16c0295e5a7bd9593cffb28
target_organism_name,Target,text,NCBI organism name,,example: SARS-CoV-2,,RADx-rad DCC|https://www.ncbi.nlm.nih.gov/taxonomy,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,53943b1088e02c6b6585de597da3d999bc8da72b5ea7f56a195ab0a16ba3a24615f186273be2d78f4fac12707ffcebaf12b62c5c041c0335d6e7c8cd71a60613
target_organism_taxonomy_id,Target,text,NCBI taxonomy id for organism,,example: 2697049,,RADx-rad DCC|https://www.ncbi.nlm.nih.gov/taxonomy,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,5af5ce8e3831f1ff9f6f1d3a665cdde5ce5c31191a29151dfbb76207e3d128d2487ed521ce35ec1728685ab0d761e45a4c69a738c8b8a210f90e367728c925d2
isolate_name,Target,text,Name of the isolate,,example: hCoV-19/USA/WA1/2020,,RADx-rad DCC,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,e917f0bce872953294f207e950b68881d185c61a0acac5ad5b15cb08be458893d1e87dc64ee4bc9cc9a5f1eeb9adc69021a7ea2e34828c12160c1540829e835c
target_organism_subtype,Target,text,Subtype of organism,,example (Influenza): H1N1,,RDAx-rad DCC|https://www.ncbi.nlm.nih.gov/taxonomy,RADx-rad_Spiked_Sample_Data_Element_Template_v000.xlsx - RADx-rad_Spiked_Sample_Data_Elements.csv,RADx-rad,c9140ef4f264912db3146126f26e73ab0bfc4f74c7637a544fbc7ae93293e9d308ae96da117eeed7749c61f7ba64f63e26c364b3a189a15be8a2fcae478a00f6
