variable_name,section_header,ui,label,value_constraints,field_note,pattern,min,max,branching_logic,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
state_names,Collection Site,list,"A pipe ""|"" separated list of US state names.",,Use the list of US state names from the US Census: https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx,,,,,,RADx-rad,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,a4b98b96fb9c11ee32e2d18e191e73486d2c4ca032585d230820c6671507d9626968607c34b3cce2eb222ff7fb2f8ac06ded59baf61420364e1f95dd522b4d32
county_names,Collection Site,list,"A pipe ""|"" separated list of names of all counties served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location)",,Use the county names from the US Census: https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,4742862f452d4afbd47a8947bb6ebc23e73a73a5ea4f02f5b9fd04d63e340fc02b177045c62884bdaf7eaf3bcee923a9ea2fd24a8a970499c15e08c0189654e8
county_fips,Collection Site,list,"A pipe ""|"" separated list of the FIPS codes for US counties. This is a 5-digit number consisting of the 2-digit state code followed by the 3-digit county code.",,"Concatenate the 2-digit state code and the 3-digit county code from the US Census. Example California (06) + San Diego County (073) -> 06073 
https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx ",,,,,,RADx-rad,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,116db7ea7626208936cb0f667b6ffe66929ccdf108f4ba21913bbdbdfa10ffa3a5b3b199e51fbfe4329792b76e453b95cf2209b90d1c6b64d396bce51cca6471
zipcode,Collection Site,text,"ZIP code in which this sampling site is located ",,,Zipcode,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,d4d69922ef171db660476ab8cbad71d377ce1d6f2fae9e158edba891ab1271e8945f287c972b08e492eab3d0187ac7949f07c2b74729266511435127e3a02cc5
sample_location,Collection Site,category,"Sample collection location in the wastewater system, whether at a wastewater treatment plant (or other community level treatment infrastructure such as community-scale septic) or upstream in the wastewater system","wwtp, A sampling location at a wastewater treatment plant or other community-scale treatment infrastructure specified in 'wwtp_name' | upstream, A sampling location other than ""wwtp""","If 'sample_location' is ""upstream"", specify in 'sample_location_specify'",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,f2ad4e3b9f43cf402dc079cdbb186fe9b8d3993d53262b3bd3e210af8436aa46da2154d7c510ca98331a1e475e98adf83c28efbb93dd57c2b2af94c527f25870
sample_location_specify,Collection Site,text,"If 'sample_location' is ""upstream"", specify the collection location in the wastewater system; an arbitrary name may be used if you do not wish to disclose the real name.",,"[string, length less than or equal to 40 characters];
[empty], If sample_location is ""upstream"", then this must have a non-empty value",,,,[sample_location] = 'upstream',,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,1c18f98f3129951cfd8704ada114d0553f4e663f3fa03fbb0452798ea750e74a842964ad48642f5d77501200a86c923cc44822baa786d01fd3de2bb34d6066c0
institution_type,Collection Site,category,"If this sample represents wastewater from a single institution, facility, or building, specify the institution type; otherwise, specify ""not institution specific""",not institution specific | correctional | long term care - nursing home | long term care - assisted living | other long term care  | short stay acute care hospital | long term acute care hospital | child day care | k12 | higher ed dorm | higher ed other | social services shelter | other residential building | ship | airplane,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,5e9bc925d7736bc97340fe3bd6d5b5cbf87050a617dd38592ab1f44b275f80e3d4a0fed40f9b3d89b413848ba3fda9f905406d3cdaa11250399a585a396d758d
epaid,WWTP,text,NPDES permit number for the wastewater treatment plant specified in 'wwtp_name',,NPDES permit number (<2-letter abbreviation><#######>),,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,7b4a970b79d78d46f1ae296b2c52f0975299e783b36ca4919287c247269145e3df39e6ff308e3a46d5e8de01c59f1d186ffcea2cc88fddf53c26a61074f63a6d
wwtp_name,WWTP,text,"The name of the Wastewater Treatment Plant (WWTP) to which this wastewater flows. If this wastewater does not flow to a WWTP,  specify an identifiable name for the septic or other treatment system to which this wastewater flows. An arbitrary name may be used if you do not wish to disclose the real name.",,"[string, length less than or equal to 40 characters]",,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,de2438fc0fa1b1cf24ec24972be4bb791df0555769c2f29bdc06d23e752cb84af071d6148c4f67edf8a2c1798fdcf4634d06713aa08830308b4341a672d60322
wwtp_jurisdiction,WWTP,radio,"State, DC, US territory, or Freely Associated State jurisdiction name (2-letter abbreviation) in which the wastewater treatment plant provided in 'wwtp_name' is located","AL, Alabama | AK, Alaska | AS, American Samoa | AZ, Arizona | AR, Arkansas | CA, California | CI, Chicago, IL | CO, Colorado | MP, Commonwealth of Northern Mariana Islands | CT, Connecticut | DE, Delaware | DC, District of Columbia | FM, Federated States of Micronesia | FL, Florida | GA, Georgia | GU, Guam | HI, Hawaii | HO, Houston, TX | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LC, Los Angeles County, CA | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NZ, New York City, NY | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | PH, Philadelphia, PA | PR, Puerto Rico | MH, Republic of the Marshall Islands | PW, Republic of Palau | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | VI, U.S. Virgin Islands | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia | WI, Wisconsin | WY, Wyoming",,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,177d8621c7b17d2bf329bd4cc1ceec656a48a9e8ed8c0bb6ae521cbfb80ad967fbdae857ee7ce14ed899b3d9ded70f6386ff337b5e1f02b8619cdae140909b36
capacity_mgd,WWTP,float,Wastewater treatment plant design capacity,,,,0,,,million gallons/day,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,eeacc54727ddb9e921d43910cca690f6674525446ece800e5b7287c0965d633d86ef521fe38786b395b35854fb97ed27552f5c7e6cc0149cf84784cda0fed1a5
industrial_input,WWTP,float,Approximate average percentage of wastewater from industrial sources that is received by the wastewater treatment plant specified in 'wwtp_name',,,,0,100,,percent,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,b1a140936529df2dd145533ef2e7b265069892fea5c8243d58c6bbdf227e1b6ea56111c12eac28154c99c10c2da079f5862e3e19d39a0dd583256fd79fda7d69
stormwater_input,WWTP,category,"Does the wastewater treatment plant specified in 'wwtp_name' treat water from a combined sewer system (i.e., a sewer system that collects both sewage and stormwater)?",Yes | No,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,f7a54e7951b380593cb7c52333ca8556eb35f58c9f09e6321df6c9ccb5663419514b3b3aef849d99d09d92a93ccafaaecdc5feaa01b0a570511341db2824dd34
influent_equilibrated,WWTP,category,Is influent to the wastewater treatment plant specified in 'wwtp_name' ever stored prior to treatment to equilibrate or modulate the influent flow rate?,Yes | No,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,5eed97d0d6137f372aecac53c640276bd04532abe18a7f67f2240b90ebe7fcc4db95c30e182d4bfde42a962f1f092639803298414930cd48a344ec20e210aea4
sample_type,Collection Method,category,"Type of sample collected, whether grab or composite. If composite, also provide the duration of sampling and type of composite, as listed in the Value Set (e.g., ""24-hr flow-weighted composite""). A grab sample is defined as an individual sample collected without compositing or adding other samples, regardless of whether the sample matrix is liquid wastewater or sludge.","24-hr flow-weighted composite | 12-hr flow-weighted composite | 8-hr flow-weighted composite | 6-hr flow-weighted composite | 3-hr flow-weighted composite | 24-hr time-weighted composite | 12-hr time-weighted composite | 8-hr time-weighted composite | 6-hr time-weighted composite | 3-hr time-weighted composite | 24-hr manual composite | 12-hr manual composite | 8-hr manual composite | 6-hr manual composite | 3-hr manual composite | grab ",,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,dfc2b7a96fda55e219016a2f3490b5a0ea3e4819c03e29ea0b68c8b7e92d680984e7cf29d3de781d0ce82676b633d96bc50955fe0f41a931bfc98d1c57215eb6
composite_freq,Collection Method,float,"Frequency of sub-sample collection (for composite samples only): for flow-weighted, the number of sub-samples collected per million gallons of flow; for time-weighted, the number of sub-samples per hour. Flow-weighted example: a value of 5 would indicate 5 sub-samples per million gallons, or 1 sub-sample per 200,000 gallons",,If flow-weighted composite: number per million gallons; if time-weighted or manual composite: number per hour,,0,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,996c0d63de67b4298c23334e2cf7cd3ea7a5bb1ed5af798a18ba49b276a969055033e8ff3e123c1dd1341a02f0d7d96af43592fe2bed0869f79cb1beb01eb780
sample_matrix,Collection Method,category,Wastewater matrix from which the sample was collected,,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,a3e9966b37802a96651e31bf724a38466400344fdceb1879db882cbcb356e3d851248c925f28f163a4b8069f8936d7bac458d53c67046f9c69c350dfa45acf3b
collection_storage_time,Collection Method,float,Duration of time the sample was stored after collection and prior to reaching the lab,,,,0,,,hour,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,9bd775ee72dbb91dd63163e4b06ab1ab1153896ab23b11af8f850b7fe6d707adfb17f8b6abcc23729ff88e3ce2a41e2c23555450705ea879e8b235cf43572d6c
collection_storage_temp,Collection Method,float,Temperature at which the sample was stored after collection and prior to reaching the lab,,,,,,,celsius,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,70f49f0594e38b0381d739889cb124ec4eb49cfc8e338f07e90aa3a9fa00869a6c291b15e07c3289642b01a670e01f14f31b052c5e51a9035450485686a45ae2
pretreatment,Collection Method,category,"Was the sample treated with any chemicals prior to reaching the lab (for example, addition of stabilizers)?",Yes | No,,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,ac9f447c36fd9218f02c7464324c74d2fedda214ee185697fde9fdc7a67d100ae461061a205f555e40f119fcd1e9f3a6e56e6cfaf09d403f7cfa7882538c384e
pretreatment_specify,Collection Method,text,"If 'pretreatment' is ""yes"", then specify the chemicals used",,,,,,[pretreatment] = 'Yes',,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,407f8c8f12b04a5b7348066bc17d18f4ed9d73562c677b9b520f8694a8288c34e6dca00b5eeabfad62e6c3fc59027440a8881415e0784a35eb9acab547c475e2
sample_collect_date,Sample,date,"The date of sample collection; for composite samples, specify the date on which sample collection began",,,date_ymd,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,16c21d66afea65dd3c1708fb8594260956ed7403e49fa3c10d06adb5a62857545ae6a907e9a748f211d55cc2cbe52d74cb604322a8dd350a97d6990c7e9f2fad
sample_collect_time,Sample,time,"The local time of sample collection; for composite samples, specify the time at which sample collection began",,,time,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,RADx-rad_Wastewater_Data_Element_Template__V006 - Data dictionary.csv,RADx-rad,ffe07ba681194822d69fb7bd2d328e03cb40ed999c60ea9baa442f14a9a1a2ed4e92753dbae987cd7344b7de2b31369a73bf2698b398d9fb403716636ef23998
