variable_name,section_header,ui,label,value_constraints,field_note,units,CDE Reference,source_file,source_directory,Digest (variable_name|source_file|source_directory)
sample_id,Sample,text,Unique identifier for a spiked (contrived) sample,,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,6d48272611a2ecdbd0de9849b24625513f05ede3474595586426ff9875fc11c8fc8cd144ebf8cc82c6a363927ce13d4d57eb0cee2cffdf7efda79725b56fb6d8
sample_media,Sample,text,Media used to prepare the spiked sample,,example: pooled saliva,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,59692d70dc7bea5f4fda7ed795d31c1a1c452f0204924cba7d4b0c79e465dc6597e4934e0d329a76145906557e4ebdd8d7f743fd5a5b38a005745322efe2ebbf
sample_media_id,Sample,text,"Catalog number, batch number, etc. for the sample media",,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,78392f9ed575d29a5a547a0183b006ba874061673f1675f35ec3fcd2dcf954b21424ae47cdf895198baf0110ebef9f3fc690d76e6b852d049b19a870ec452dc9
sample_media_provider,Sample,text,Entity that provided the sample media,,example: Lee Biosolutions,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,db3c6d3cfca0a280b0ce850f3ed0dfebda6299c3a2dd9dcd6355cf7a13eb4878cd9fa3dc81c5b5fafa4a79568781b131a7d160bc9105044c2b0904d4db499141
sample_media_provider_url,Sample,text,URL of the sample media provider,,example: https://www.leebio.com/product/1769/saliva-pooled-human-donors-991-05-p-prec,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,2092411187eb6da769e34fbc70ef6d7e85b42642689ce073c70d2a9ae19bb4984ed81a268862d882495aaa9f1864504832112338ee76af9c97d34877d338c669
sample_concentration,Sample,float,Concentation of target analyte in the sample,,,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,8bde4df760e2d75972186e30db12992fbcc9c45165e34041794c1f1e7be6c64b04c11be4ee4d843f624ddbf0b2462ef8707eee1030cbb3b5a937893a47321cd6
sample_concentration_unit,Sample,text,Unit of the sample concentration,,exmaple: copies/ml,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,9c9914fc5eb619ce10fc2f599332b3d138721b2b627bef135997a0c1f580adf871422738ed0ca948934a2a07d9e1c8d70722933fab60393adb7eea8f11c3f8b3
target_organism_name,Target,text,NCBI organism name,,example: SARS-CoV-2,,https://www.ncbi.nlm.nih.gov/taxonomy,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,3caf5e5d1731e32b55ed292ccda2e6b73dd2975113a08fac75ae97008be7b8fc351379d111b75dfcfeb2cea71c07bbe5dbdf18d4335fb2ccc40f975976f057fa
target_taxonomy_id,Target,text,NCBI taxonomy id for organism,,example: 2697049,,https://www.ncbi.nlm.nih.gov/taxonomy,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,92f8ffdcc9bea3c7c95140a61860e694c64cbf66ac452ecc80119f31ea213c68cebc0643214e0385f9b51601750b3a986a417839f1ee15f3032d0956f99daa57
isolate_name,Target,text,Name of the isolate,,example: hCoV-19/USA/WA1/2020,,,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,73e868ec25d6e218fa1fef19ed497e4a45905e7e244eb08f352e81116ac07418b005e9d7855cb1c6f41ef21840da3d963974b9dfd705880f23b68bbf86306b09
target_subtype,Target,text,Subtype of organism,,example (Influenza): H1N1,,https://www.ncbi.nlm.nih.gov/taxonomy,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,2649902a8c7122c8605427909d423f2ccad064ce0d52aab033a0cdd221194ba4866a8d3de21dc25fefc1237749e3531528b41b4dceeba095ffadaa1714a3636b
gisaid_id,Target,text,GISAID isolate id of the original isolate,,example: EPI_ISL_751801,,https://www.gisaid.org,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,0f4ab93d3b5426ca6bcad885d2a0240db27fd02b53a46bf17925f7a7206391b5f43a04fff782b4c0e5b65c53c7ad5dee1741316820faf4b206c11acc47a7e0d8
gisaid_clade,Target,text,GISAID clade for SARS-CoV-2 variant,,example: GRY,,https://www.gisaid.org,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,00e1e097bb6311993b2b918270bc5472029a1b8df60c5c4a51db0825478f917a0cd4090e0a6b10fa374b022222163dcb2e128a4ff93f91a153b60745c0621886
nucleotide_db_id,Target,text,"Nucleotide Sequence Database id, e.g., GenBank or ENA id of the original isolate",,example: MN985325.1,,https://www.ncbi.nlm.nih.gov/genbank |  https://www.ebi.ac.uk/ena,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,c18698a341f8350a57cd92a46791835280de86668082fc471a478a3d0cd8fafbe6821c0e79ce37d7d6ef4c6836f0c55b94ecc0fbd6ebc71dece06bd10a01d7c5
pango_lineage,Target,text,Pango lineage for SARS-CoV-2 variant,,example: B.1.1.7,,https://cov-lineages.org,Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad,2028c43bff999c24350705028b9a3cc082d8c5f7503a3497bdad81d546abf3ea25f4a79b990b7a804fdd447380d7c4557049c00accafd4d85df887653b5f4886
