variable_name,datatype,description,Value Set,units,required,Dependent Fields,source_file,source_directory,Digest (variable_name|source_file|source_directory)
reporter,,,,,,,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,2bb225696fe4bee1b1adbbebcea4bad8dd61d150cc8a92a6966e12c79b8899cca5eb31f77fc4e53d15086ec458c44b0132387452741d1d46cec4a29be9a20b9c
reporting_jurisdiction,category,"The CDC Epidemiology and Laboratory Capacity (ELC) jurisdiction, most frequently a state, reporting these data (2-letter abbreviation)","AL, Alabama;
AK, Alaska;
AS, American Samoa;
AZ, Arizona;
AK, Arkansas;
CA, California;
CI, Chicago, IL;
CO, Colorado;
MP, Commonwealth of Northern Mariana Islands;
CT, Connecticut;
DE, Delaware;
DC, District of Columbia;
FM, Federated States of Micronesia;
FL, Florida;
GA, Georgia;
GU, Guam;
HI, Hawaii;
HO, Houston, TX;
ID, Idaho;
IL, Illinois;
IN, Indiana;
IA, Iowa;
KS, Kansas;
KY, Kentucky;
LC, Los Angeles County, CA;
LA, Louisiana;
ME, Maine;
MD, Maryland;
MA, Massachusetts;
MI, Michigan;
MN, Minnesota;
MS, Mississippi;
MO, Missouri;
MT, Montana;
NE, Nebraska;
NV, Nevada;
NH, New Hampshire;
NJ, New Jersey;
NM, New Mexico;
NY, New York;
NZ, New York City, NY;
NC, North Carolina;
ND, North Dakota;
OH, Ohio;
OK, Oklahoma;
OR, Oregon;
PA, Pennsylvania;
PH, Philadelphia, PA;
PR, Puerto Rico;
MH, Republic of the Marshall Islands;
PW, Republic of Palau;
RI, Rhode Island;
SC, South Carolina;
SD, South Dakota;
TN, Tennessee;
TX, Texas;
VI, U.S. Virgin Islands;
UT, Utah;
VT, Vermont;
VA, Virginia;
WA, Washington;
WV, West Virginia;
WI, Wisconsin;
WY, Wyoming",[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,7698190d46c35314298f5b96e906b99ea7b191c7abb180fb18684482726dacea1c9c17f57807885ecf69ac90b4af34043788509d066f9d471ff50e4ca4130a42
collection site,,,,,,,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,e993078fd864b7edd730d3854b31b776e4022a35bc6714658eb75d926d61783c1b2cf29ea135456d1834ceb6b447a3b924838ad996341e87921b931da55facc2
county_names,list (comma-separated strings),"Names of all counties served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location); if there are cities/jurisdictions served that are not within a county (e.g., independent cities), list those in 'other_jurisdiction'","[string];
[empty]",[none],required,Either 'county_names' or 'other_jurisdiction' must have a non-empty value,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,d12ae0964aab982131301a57bb8c5db51dfc8e02eaa84250107f1d70b5403447b9639579c41c76a2ad1d4f0bbcc99a6db2469c6497a7d8c81b5d4a52c4e2c6b3
other_jurisdiction,list (comma-separated strings),"Some geographic locations are not contained within a county or counties (e.g., independent cities). Use this field to specify names of jurisdictions that are not within a county that are served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location); list counties served in 'county_names'","[string];
[empty]",[none],required,Either 'county_names' or 'other_jurisdiction' must have a non-empty value,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,6787975dbaf4479bb8a26572d0b35c65dd8ece215f493c49270092f6b857dd2e89b8a68dd1ad4cb8d79446df8695fbdb02969d62d659ebd3ca431c8dd1e2259d
zipcode,zip code (#####),"ZIP code in which this sampling site is located ",[ZIP code],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,4e3bc762ff4efd6cc939a4b9ba9f0432a577fee26b8c19358bf4a3fb185b88dc8646598542d2202794b5dc28ceb584e2e1bf101f5fc99035e7ab8f955beb3950
population_served,integer,"Estimated number of persons served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location)",[greater than or equal to 0],[none],required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,52f280f74f0493252c9b7c2a00b36f2078579290edd90e51a4cfe68365f4433ed09b7b8f4393b20bc1fca5c92a86211e79003ade887ccd43d964bee85a6ec400
sewage_travel_time,float,"What is the approximate sewage travel time, on average, from sewage source to this sampling site (i.e., this wastewater treatment plant or, if 'sample_location' is ""upstream"", then this upstream location)? This should be specified as a duration in hours, not a time of day.","[greater than or equal to 0];
[empty]",hours,not required,None,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,f251c54470f34fb7b5706c0edbd46dc8dd9a8ad1f659d1b9650db2ffbb354b9c81393f27921f72266fa6e473b2c14ab70364be4d34762884b60b2aad195c8177
sample_location,category,"Sample collection location in the wastewater system, whether at a wastewater treatment plant (or other community level treatment infrastructure such as community-scale septic) or upstream in the wastewater system","wwtp;
upstream",[none],required,"If 'sample_location' is ""upstream"", specify in 'sample_location_specify'",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,b089d8f745ef9a5dcdba2b00738921dea8a04897abe85cf60b2171c83262cae94ea38ccca3d7138b9f3b3eb8aa5cfdf70f36d097712167ccbd30fde7e0b9839a
sample_location_specify,string,"If 'sample_location' is ""upstream"", specify the collection location in the wastewater system; an arbitrary name may be used if you do not wish to disclose the real name.","[string, length less than or equal to 40 characters];
[empty]",[none],required,"If sample_location is ""upstream"", then this must have a non-empty value",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source,26478b79ebd4e27e5addb8ca73e75751e3c8c6cd8e86e0144dacbe14fe3bb7c16456f22a6c64db142d4b5ebd49e48b43e21236fab0e001944a8fb90b6c654c7e
