Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,phi_id,branching_logic,required,form_name,Description,source_file,source_directory
study_id,,text,Study ID,,,,,,,,,intake_form_cdes,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
chills,"Symptoms ",radio,Chills,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
diarrhea,"Symptoms ",radio,Diarrhea,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
height_embedding,Health status,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 36px;"" border=""0""> <tbody> <tr style=""border-style: none;""> <td style=""width: 60%; height: 36px;"">What is your height?</td> <td style=""height: 36px; width: 32.2489%;"" colspan=""3"">{height_feet} feet<br />{height_inches} in</td> </tr> </tbody> </table></div>",,,,,,,,,intake_form_cdes,height in feet and inches,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
econsent,Health status,radio,"I understand that my rights include the right to obtain this electronic record in non-electronic form (as a hard copy paper version). I understand that I can request a copy of this electronic record by contacting Dr. Jokerst and providing a mailing address: jjokerst@ucsd.edu; 858-246-0896

I understand that I have the right to withdraw my agreement to use an electronic record by contacting Dr. Jokerst: jjokerst@ucsd.edu; 858-246-0896

","1, I agree | 2, I disagree",,,,,,,y,consent,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
consent_pg1,Health status,descriptive,,,,,,,,,,consent,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
consent_pg2,Health status,descriptive,,,,,,,,,,consent,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
consent_pg3,Health status,descriptive,,,,,,,,,,consent,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
consent_pg4,Health status,descriptive,,,,,,,,,,consent,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
consent_pg5,Health status,descriptive,,,,,,,,,,consent,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
consent_pg6,Health status,descriptive,,,,,,,,,,consent,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
first_name,Health status,text,First name.,,,,,,y,,y,consent,,rad_016_114-01_JVJ_DICT_origcopy_v1.csv,phs002524
