Id,Section,Label,Enumeration,ui,pattern,min,max,branching_logic,Units,CDE Reference,header,source_file,source_directory
study_id,Identity,RADx-rad Study ID; Subject ID; Datavent ID,,text,,,,,,RADx-rad Minimum CDE,Identity,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
chills,Symptoms,Chills,"1, Yes | 0, No",radio,,,,,,RADx-rad Minimum CDE,Symptoms,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
diarrhea,Symptoms,Diarrhea,"1, Yes | 0, No",radio,,,,,,RADx-rad Minimum CDE,Symptoms,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
state_names,Collection Site,"A pipe ""|"" separated list of US state names.",,list,,,,,,RADx-rad,Collection Site,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
county_names,Collection Site,"A pipe ""|"" separated list of names of all counties served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location)",,list,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Collection Site,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
county_fips,Collection Site,"A pipe ""|"" separated list of the FIPS codes for US counties. This is a 5-digit number consisting of the 2-digit state code followed by the 3-digit county code.",,list,,,,,,RADx-rad,Collection Site,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
zipcode,Collection Site,"ZIP code in which this sampling site is located ",,text,Zipcode,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Collection Site,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
sample_location,Collection Site,"Sample collection location in the wastewater system, whether at a wastewater treatment plant (or other community level treatment infrastructure such as community-scale septic) or upstream in the wastewater system","wwtp, A sampling location at a wastewater treatment plant or other community-scale treatment infrastructure specified in 'wwtp_name' | upstream, A sampling location other than ""wwtp""",category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Collection Site,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
institution_type,Collection Site,"If this sample represents wastewater from a single institution, facility, or building, specify the institution type; otherwise, specify ""not institution specific""",not institution specific | correctional | long term care - nursing home | long term care - assisted living | other long term care  | short stay acute care hospital | long term acute care hospital | child day care | k12 | higher ed dorm | higher ed other | social services shelter | other residential building | ship | airplane,category,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,Collection Site,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
epaid,WWTP,NPDES permit number for the wastewater treatment plant specified in 'wwtp_name',,text,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,WWTP,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
wwtp_name,WWTP,"The name of the Wastewater Treatment Plant (WWTP) to which this wastewater flows. If this wastewater does not flow to a WWTP,  specify an identifiable name for the septic or other treatment system to which this wastewater flows. An arbitrary name may be used if you do not wish to disclose the real name.",,text,,,,,,NWSS_DCIPHER_Data_Dictionary_v2.0.0_20210319,WWTP,rad_159_9-02W1_b01_DICT_origcopy_v1.csv,phs002527
