Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Unit,CDE Reference,source_file,source_directory
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minimum CDE,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
protocol_id,Technology Metadata,text,Unique name or identifier for biosensor protocol,,example: ddPCR_SARS-CoV-2,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
technology_platform,Technology Metadata,text,Abbreviation or short label for technology,,example: ddPCR,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
technology_description,Technology Metadata,text,Short description of technology,,example: Droplet Digital PCR,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
technology_reference,Technology Metadata,url,"URL of publication, preprint, or website that describes technology",,,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
biorecognition_type,Technology Metadata,list,Type of molecular entity used for biosensor fabrication,aptamer | antibody | antigen | nanobody | primer | receptor,Multiple entities can be specified as list if biosenor uses a combination of molecular entities,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
analyte_type,Technology Metadata,list,Type of analyte(s) or target(s) to be detected,antigen | viral RNA | virus | antibody | human IgA | human IgG | human IgM | neutralizing antibody | EV RNA | VOC,example: virus,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
signal_detection,Technology Metadata,category,Type of signal generated by the methods or assay,amperometric | chemiluminescent | chromatographic | colorimetric | displacement | fluorogenic |  gas-chromatograpic | impedimetric | MS peak area | olfactory perception | Raman scattering intensity | voltammetric,example: amerometric,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
surface,Technology Metadata/Immobilization,text,Type of plate or electrode used in the methods or assay,,examples: polystyrene | gold electrode | carbon electrode,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
immobilization_reagent_name,Technology Metadata/Immobilization,text,Reagent used to immobilize a capture probe to a surface,,example: pyrrole,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
immobilization_reagent_inchi_key,Technology Metadata/Immobilization,text,InChI Key of the immobilization agent,,example: UAIUNKRWKOVEES-UHFFFAOYSA-N,,,,,RADx-rad DCC|https://pubchem.ncbi.nlm.nih.gov/|https://iupac.org/who-we-are/divisions/division-details/inchi/,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
immobilization_reagent_source,Technology Metadata/Immobilization,text,Supplier of reagent,,example: Sigma Aldrich,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
immobilization_reagent_source_id,Technology Metadata/Immobilization,text,Unique identifier or catalog number of immobilization reagent given by supplier,,,,,,,RADx-rad DCC,rad_018_778-01_DICT_NAB_DICT_transformcopy_v1.csv,phs002544
