Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,required,source_file,source_directory
subject_id,demographics,Identity,text,Participant ID,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
chills,symptoms,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,y,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
diarrhea,symptoms,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,y,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
participant redcap id,,Health Status,,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
shifting_days_for_date,,Health Status,,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
shifting_years_for_age,,Health Status,,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
shifting_dates,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
date of first sample collection,,Health Status,date,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of samples collected (choice=whole blood),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of samples collected (choice=plasma),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of sample collection (choice=prospective),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
type of sample collection (choice=retrospective),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
diagnoses (choice=covid-19),,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
"diagnoses (choice=mis-c (for mis-c, also check covid-19))",,Health Status,checkbox,,,,,,,,,rad_023_618-01_DICT_UCSF_origcopy_v1.csv,phs002553
