Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Unit,CDE Reference,source_file,source_directory
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minimum CDE,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
aptamer_sequence,Aptamer Characterization,sequence,"Aptamer DNA sequence, in full",,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
bli_aptamer_concentration,Aptamer Characterization,float,Concentration of aptamer used in BLI study,,,0,,,nanomolar,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
bli_protein_strain,Aptamer Characterization,text,Virus strain of protein used in BLI study,,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
bli_protein_part,Aptamer Characterization,text,Part of spike protein used in BLI study,,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
bli_protein_origin,Aptamer Characterization,text,Place of manufacture of protein used in BLI study,,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
bli_time,Aptamer Characterization,float,Time (x-axis) of measurement taken,,,0,,,seconds,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
bli_binding,Aptamer Characterization,float,Binding (y-axis) of measurement taken,,,,,,nanometer,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
bli_fit,Aptamer Characterization,float,Fit of binding curve (Y-axis) based on measurement taken,,,,,,nanometer,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
detection_type,Aptamer Application,dropdown,What detection method was the aptamer applied to?,LFA | ELISA,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
detection_sample_id,Aptamer Application,text,What sample was used in the detection?,,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
detection_buffer,Aptamer Application,text,What buffer the sample in?,,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
detection_protein_concentration,Aptamer Application,float,What is the concentration of protein sample used?,,,,,,nanomolar,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
detection_virus_concentration,Aptamer Application,float,What is the concentration of the inactivated virus sample used?,,,,,,copies/mL,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
detection_intensity_background,Aptamer Application,float,"What was the intensity of the background? (0 being black, 256 being white)",,,0,256,,pixel value,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
detection_intensity_control,Aptamer Application,float,"What was the intensity of the control band? (0 being black, 256 being white)",,,0,256,,pixel value,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
detection_intensity_test,Aptamer Application,float,"What was the intensity of the test band? (0 being black, 256 being white)",,,0,256,,pixel value,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
selex_round_number,selex,float,Check awardee,,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
selex_rank,selex,float,Check awardee,,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
selex_read_count,selex,float,Check awardee,,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
selex_sequence,selex,text,Check awardee,,,,,,,,rad_014_316-01_SNAP4_DICT_origcopy_v1.csv,phs002565
