Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,Description,source_file,source_directory
study_id,form_1,,text,Study ID,,,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
chills,form_1,"Symptoms ",radio,Chills,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
diarrhea,form_1,"Symptoms ",radio,Diarrhea,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
mucus_membrane_changes,form_1,"Symptoms ",radio,Mucus membranen changes,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
mucus_membrane_changes_desc,form_1,"Symptoms ",text,Describe mucus membrane changes,,,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
respiratory_symptoms,form_1,"Symptoms ",radio,Respiratory symptoms,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
covid_contacts,form_1,Other,radio,Known contact with suspected/confirmed COVID patients,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
others_in_contact_family,form_1,Other,text,"Others is contact (family, friends)with similar symptoms",,,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
wheezing,form_1,"Symptoms ",radio,Wheezing,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
rhinorrhea_congestion,form_1,"Symptoms ",radio,Rhinorrhea/Congestion,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
joint_pain,form_1,"Symptoms ",radio,Joint pain,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
recent_ed_visit,form_1,Other,radio,"Recent CHOP ED visit (in the prior 7 days) ","1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
cerebral_palsy,form_1,Other,radio,Cerebral palsy,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
inflammatory_bowel_disease,form_1,Other,radio,Inflammatory bowel disease,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
cardiac_history,form_1,Other,radio,Cardiac History,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
any_documented_past_medical_history,form_1,Other,radio,Any documented past medical history,"1, Yes | 0, No",,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
tmax,form_1,"Symptoms ",text,Temperature Max,,,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
rr_initial,form_1,"Symptoms ",text,Respiratory rate,,,,,,,,rad_023_594-01_prevailmarch15_DICT_origcopy_v1.csv,phs002603
