Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,Branching_Logic,Unit,CDE_Reference,source_file,source_directory
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,,RADx-rad Minimum CDE,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
chills,Symptoms,radio,Are you currently experiencing  chills,"1, Yes | 0, No",Self reported symptoms,,,,,,RADx-rad Minimum CDE,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
diarrhea,Symptoms,radio,Are you currently experiencing  diarrhea,"1, Yes | 0, No",Self reported symptoms,,,,,,RADx-rad Minimum CDE,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
enrollment_type,Enrollment,radio,Enrollment type,"1, Retrospective | 0, Prospective",,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
suspected_dx,Enrollment,dropdown,Enrollment Cohort (Suspected Diagnosis):,"1, Subgroup A1 (Covid+)|2, Subgroup A2 (MIS-C)|3, Subgroup A3 (Mild-Asymptomatic)|4, Subgroup B1 (Inflammatory/Kawasaki)|5, Subgroup B2 (Respiratory Viral)|6, Subgroup B3 (Healthy Control)",Cohort at Enrollment,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
definitive_dx,Enrollment,dropdown,Definitive Cohort (Confirmed Diagnosis):,"1, Subgroup A1 (Covid+)|2, Subgroup A2 (MIS-C)|3, Subgroup A3 (Mild-Asymptomatic)|4, Subgroup B1 (Inflammatory/Kawasaki)|5, Subgroup B2 (Respiratory Viral)|6, Subgroup B3 (Healthy Control)|96, Other",Confirmed Cohort per Clinician review/agreement,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
enroll_age,Enrollment,calc,Age at enrollment (months),"round(datediff([dob],[enrollmt_date],'M','ymd'),0)",,,,,,months,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
mortality_flag,Mortality,radio,Patient Expired?,"1, Yes | 0, No",,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
expired_age,Mortality,calc,Age at Death,"round(datediff([baseline_arm_1][dob],[definitive_diagnos_arm_1][expired_date],M"""," "," ",,,,months,[mortality_flag] = '1',Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
expired_cohort_dx_yn,Mortality,radio,Cause of Death Related to Cohort Diagnosis?,"1, Yes | 0, No",,,,,[mortality_flag] = '1',,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
complex_patient_flag,Complex Co-morbidities,radio,Complex Patient?,"1, Yes | 0, No",Complex patient flag per EMR review,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_age,MIS-C CRF,radio,Age < 21,"1, Yes | 0, No",Months,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_fever,MIS-C CRF,radio,"Fever >38.0 C for >=24 hours, or report of subjective fever lasting >=24 hours, AND","1, Yes | 0, No",,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_1,MIS-C CRF,radio,Elevated C-reactive protein (CRP),"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_2,MIS-C CRF,radio,Erythrocyte sedimentation rate (ESR),"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_3,MIS-C CRF,radio,Fibrinogen,"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
misc_inflam_markers_4,MIS-C CRF,radio,Procalcitonin,"1, Yes | 0, No",Laboratory markers of inflammation,,,,,,,Rad_023_613-01_2022_DICT_origcopy_v1.csv,phs002609
