Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Units,CDE Reference,source_file,source_directory
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minumum CDE,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minumum CDE,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minumum CDE,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_id,Sample,text,Unique identifier for a spiked (contrived) sample,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_media,Sample,text,Media used to prepare the spiked sample,,example: pooled saliva,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_concentration,Sample,float,Concentation of target analyte in the sample,,,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
sample_concentration_unit,Sample,text,Unit of the sample concentration,,exmaple: copies/ml,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
target_organism_name,Target,text,NCBI organism name,,example: SARS-CoV-2,,,,,https://www.ncbi.nlm.nih.gov/taxonomy,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
target_taxonomy_id,Target,text,NCBI taxonomy id for organism,,example: 2697049,,,,,https://www.ncbi.nlm.nih.gov/taxonomy,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
isolate_name,Target,text,Name of the isolate,,example: hCoV-19/USA/WA1/2020,,,,,,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
target_subtype,Target,text,Subtype of organism,,example (Influenza): H1N1,,,,,https://www.ncbi.nlm.nih.gov/taxonomy,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
gisaid_id,Target,text,GISAID isolate id of the original isolate,,example: EPI_ISL_751801,,,,,https://www.gisaid.org,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
pango_lineage,Target,text,Pango lineage for SARS-CoV-2 variant,,example: B.1.1.7,,,,,https://cov-lineages.org,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
who_label,Target,text,WHO label for SARS-CoV-2 variant,,example: Alpha,,,,,https://www.who.int/en/activities/tracking-SARS-CoV-2-variants,rad_018_807-01_DICT_origcopy_v1.csv,phs002709
