Id,Label,Datatype,Enumeration,source_file,source_directory
site,Site,string,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
research_test,Research Test Assigned,integer,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
standard_result,Standard Test Result,integer,"""0""=[Negative For Covid 19]|""1""=[Positive For Covid 19]|""77""=[Inconclusive]|""88""=[No Result]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
standard_form_dt,Standard Form Date,datetime,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
research_datetime,Research Test Date,datetime,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
standard_datetime,At what date and time was the Standard Test administered?,datetime,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_performed,The test sample collection was performed by:,integer,"""1""=[Study Staff]|""2""=[The Participant, Supervised By Study Staff]|""10""=[Parent/Guardian]|""11""=[Pediatric Participant]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_method,What was the sample collection method of the Standard Test?,integer,"""1""=[Anterior Nares]|""2""=[Saliva]|""3""=[Mid-Turbinate]|""4""=[Nasopharyngeal]|""99""=[Other]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_location,What was the sample collection location of the Standard Test?,integer,"""1""=[Left]|""2""=[Right]|""3""=[Both]|""99""=[Other]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_concerns,Are there any concerns about the test sample collection?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_adverse_event,Did any adverse events occur during the research test sample collection?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_adverse_what__1,What adverse event(s) occurred? Epistaxis (nose bleed),boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_adverse_what__2,What adverse event(s) occurred? Nasal pain,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_adverse_what__3,What adverse event(s) occurred? Headache,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_adverse_what__4,What adverse event(s) occurred? Ear discomfort,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_adverse_what__5,What adverse event(s) occurred? Rhinorrhea (runny nose),boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_adverse_what__99,What adverse event(s) occurred? Other,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_adverse_attrib,Was any adverse event attributable to research?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_result_time,What is the date and time of results?,datetime,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
performed_lab,What was the time the test was performed by the lab?,datetime,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
internal_flags,"Were there any internal flag samples or machine issues? (e.g. power outage, spills, dry wells, carrier over contamination identified or human errors.)",integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
internal_flags_desc,Please describe the internal flags or machine issues.,string,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
internal_cont_res,Were there any internal control results including cycle threshold?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
int_cont_result,What was the internal control result?,string,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_qs_result,"What was the Quantitation Standard Result, if applicable?",string,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_d_result,"What was the D testing result, if applicable?",string,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_cycle_time,What is the cycle threshold value?,string,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_cycle_time_ind,Were there cycle threshold values reported for individual targets?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
stand_cycle_time_tar,What were the cycle thresholds for each target?,string,,dictionary_tier2_3_2023-03-28_v1.csv,phs002736
frequent,I think that I would like to use this system frequently.,integer,"""1""=[Strongly Disagree]|""2""=[Disagree]|""3""=[Neutral]|""4""=[Agree]|""5""=[Strongly Agree]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
complex,I found the system unnecessarily complex.,integer,"""1""=[Strongly Disagree]|""2""=[Disagree]|""3""=[Neutral]|""4""=[Agree]|""5""=[Strongly Agree]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
easy,I thought the system was easy to use.,integer,"""1""=[Strongly Disagree]|""2""=[Disagree]|""3""=[Neutral]|""4""=[Agree]|""5""=[Strongly Agree]",dictionary_tier2_3_2023-03-28_v1.csv,phs002736
