Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,Unit,CDE Reference,form_name,source_file,source_directory
study_id,,text,Study ID,,,,,,,,RADx-rad Minimum CDE,form_1,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
chills,"Symptoms ",radio,Chills,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
diarrhea,"Symptoms ",radio,Diarrhea,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
vital signs (vs),"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
study id,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
date of ed visit,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
date and time of vs,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
day of hospitalization,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
temperature in centigrade,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
heart rate/min,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
respiratory rate/min,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
systolic bp mmhg,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
diastolic bp mmhg,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pulse ox in percent,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
weight in kg,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
labs,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
study id,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
day of hospitalization,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
date and time of order,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
wbc,"Symptoms ",,,,,,,,,K/CUMM,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
absolute lymphocyte count,"Symptoms ",,,,,,,,,K/CUMM,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
absolute neutrophil count,"Symptoms ",,,,,,,,,K/CUMM,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
hemoglobin,"Symptoms ",,,,,,,,,gm/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
platelets,"Symptoms ",,,,,,,,,K/CUMM,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
d dimer,"Symptoms ",,,,,,,,,mg/L FEU,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
esr,"Symptoms ",,,,,,,,,mm/hr,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
pt,"Symptoms ",,,,,,,,,Second(s),,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
ptt,"Symptoms ",,,,,,,,,Second(s),,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
inr,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
fibrinogen,"Symptoms ",,,,,,,,,mg/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
crp,"Symptoms ",,,,,,,,,mg/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
albumin,"Symptoms ",,,,,,,,,gms.dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
alt,"Symptoms ",,,,,,,,,Units/Liter,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
ast,"Symptoms ",,,,,,,,,Units/Liter,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
bilirubin,"Symptoms ",,,,,,,,,mg/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
ferritin,"Symptoms ",,,,,,,,,ng/mL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
ldh,"Symptoms ",,,,,,,,,Units/Liter,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
cpk,"Symptoms ",,,,,,,,,Units/Liter,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
serum sodium,"Symptoms ",,,,,,,,,mMol/L,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
serum potassium,"Symptoms ",,,,,,,,,mMol/L,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
serum chloride,"Symptoms ",,,,,,,,,mMol/L,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
serum bicarbonate,"Symptoms ",,,,,,,,,mMol/L,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
blood urea nitrogen,"Symptoms ",,,,,,,,,mg/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
creatinine,"Symptoms ",,,,,,,,,mg/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
serum glucose,"Symptoms ",,,,,,,,,mg/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
troponin,"Symptoms ",,,,,,,,,ng/L,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
brain natriuretic peptide,"Symptoms ",,,,,,,,,pg/mL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
capillary blood gas ph,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
capillary blood gas pco2,"Symptoms ",,,,,,,,,mmHg,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
capillary blood gas po2,"Symptoms ",,,,,,,,,mmHg,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
capillary blood gas base excess,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
capillary blood gas hco3,"Symptoms ",,,,,,,,,mEq/L,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
capillary blood gas lactate,"Symptoms ",,,,,,,,,mmol/L,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
csf nucleated cell count,"Symptoms ",,,,,,,,,mg/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
csf rbc,"Symptoms ",,,,,,,,,cells/CUMM,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
csf protein,"Symptoms ",,,,,,,,,mg/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
csf glucose,"Symptoms ",,,,,,,,,mg/dL,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine ph,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine specific gravity,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine glucose,"Symptoms ",radio,,1= Negative 2= Positive,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine protein,"Symptoms ",radio,,1= Negative 2= Positive,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine leukocyte esterase,"Symptoms ",radio,,1= Negative 2= Positive ( Trace/1+/2+ and 3+),,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine nitrite,"Symptoms ",radio,,1= Negative 2= Positive,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine red cell count/hpf,"Symptoms ",radio,,"1= < 5, 2= 5-10 , 3= >10-50 4= >50",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
urine white cell count/hpf,"Symptoms ",radio,,"1= < 5, 2= 5-10 , 3= >10-20 4= >20-50 5= >50-100 ",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
blood culture,"Symptoms ",radio,," 1= Negative 2= Positive",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
blood culture result if positive,"Symptoms ",,,,,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
csf culture,"Symptoms ",radio,," 1= Negative 2= Positive",,,,,,,,,rad_023_610-01_SPITS_MISC_DICT_origcopy_v1.csv,phs002549
